;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_13:58:20:051188;1742907500.0511885;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1742907474.8073142;25.243874311447144;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-03-25_13:58:23:162483;1742907503.162484;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1742907500.0511885;3.111295461654663;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-03-25_13:58:23:271227;1742907503.2702336;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.162484;0.10774970054626465;0.0;0.0;0.0;-0.0;0.954929658551372;1114.4903354140386;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-80.12013405444976;-20.0;-20.299999999999997
2025-03-25_13:58:23:379045;1742907503.3780708;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.2702336;0.10783720016479492;0.0;0.0;0.0;-0.0;198.52315994996263;884.5518038142355;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66111008377144;-20.0;-20.449999999999996
2025-03-25_13:58:23:488599;1742907503.4875965;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.3780708;0.10952568054199219;0.0;0.0;0.0;-0.0;208.58065246227125;886.2091792074177;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.60545398841904;-20.0;-20.599999999999994
2025-03-25_13:58:23:597387;1742907503.596385;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.4875965;0.10878849029541016;0.0;0.0;0.0;-0.0;218.17261680831848;887.8711334596176;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.55050178659823;-20.0;-20.749999999999993
2025-03-25_13:58:23:706024;1742907503.7049186;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.596385;0.10853362083435059;0.0;0.0;0.0;-0.0;227.3710813487606;889.534244826858;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.4956775870794;-20.0;-20.89999999999999
2025-03-25_13:58:23:815995;1742907503.815459;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.7049186;0.11054039001464844;0.0;0.0;0.0;-0.0;236.18782792578529;891.207521313954;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.442527768354275;-20.0;-21.04999999999999
2025-03-25_13:58:23:925673;1742907503.9248786;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.815459;0.10941958427429199;0.0;0.0;0.0;-0.0;244.7281770107185;892.8733052150751;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.388039406440235;-20.0;-21.19999999999999
2025-03-25_13:58:24:035214;1742907504.0342157;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907503.9248786;0.10933709144592285;0.0;0.0;0.0;-0.0;252.9723688804788;894.5450956391978;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.33452762407433;-20.0;-21.349999999999987
2025-03-25_13:58:24:144079;1742907504.14408;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.0342157;0.1098642349243164;0.0;0.0;0.0;-0.0;260.9532825145455;896.2214117543547;-20.0;-21.349999999999987;29.254444106836136;-2.3235579569039935;0.0;-105.86914675881;-35.281747490804186;-20.0;-21.499999999999986
2025-03-25_13:58:24:253677;1742907504.2526789;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.14408;0.10859894752502441;0.0;0.0;0.0;-0.0;268.7197793576163;897.8945796315288;-20.0;-21.499999999999986;29.364093720052033;-2.32006563967957;0.0;-106.73372871450586;-35.22838463192128;-20.0;-21.649999999999984
2025-03-25_13:58:24:361033;1742907504.3590362;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.2526789;0.10635733604431152;0.0;0.0;0.0;-0.0;276.2819879325618;899.5670125957117;-20.0;-21.649999999999984;29.474098798775838;-2.316599348931924;0.0;-107.59976748205872;-35.17485685808957;-20.0;-21.799999999999983
2025-03-25_13:58:24:470044;1742907504.4690447;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.3590362;0.11000847816467285;0.0;0.0;0.0;-0.0;283.5861704874129;901.2607208405165;-20.0;-21.799999999999983;29.584455377782422;-2.3131588771689677;0.0;-108.46725277109786;-35.124975755396704;-20.0;-21.94999999999998
2025-03-25_13:58:24:580195;1742907504.579194;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.4690447;0.11014938354492188;0.0;0.0;0.0;-0.0;290.73555344397323;902.9485685056305;-20.0;-21.94999999999998;29.69515953821429;-2.3097440175330792;0.0;-109.33617430308709;-35.07406213829492;-20.0;-22.09999999999998
