"filename", "language", "Python", "CSV", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\Otter_dl.py", "Python", 21, 0, 21, 21, 63
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\Otter_simulator_DRL.py", "Python", -28, 0, 2, -6, -32
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\iae_training_progress.csv", "CSV", 0, 5837, 0, 1, 5838
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\reward_training_progress.csv", "CSV", 0, 1121, 0, 1, 1122
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\reward_training_progress_station.csv", "CSV", 0, 4717, 0, 1, 4718
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\stationary_tracking\actuator_map_no_disturbance\iae_fin_stationary_act_nd.csv", "CSV", 0, 1766, 0, 1, 1767
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\stationary_tracking\actuator_map_no_disturbance\reward_fin_station_act_nd.csv", "CSV", 0, 1766, 0, 1, 1767
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\straight_tracking\iae_progress_station_allocation.csv", "CSV", 0, 2625, 0, 1, 2626
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\straight_tracking\reward_progress_station_allocation.csv", "CSV", 0, 2625, 0, 1, 2626
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\Otter_api.py", "Python", -8, 0, 10, 3, 5
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\Otter_simulator.py", "Python", -48, 0, -3, -13, -64
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\casadi_control\MPC_control.py", "Python", 43, 0, 31, 37, 111
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\casadi_control\cost_plots.py", "Python", 184, 0, 47, 91, 322
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Control_no_mapping.py", "Python", 275, 0, 145, 145, 565
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_DRL.py", "Python", 369, 0, 0, 138, 507
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_guidance.py", "Python", 111, 0, 20, 46, 177
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_plotter.py", "Python", 1, 0, 2, -1, 2
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\PID_Cascade.py", "Python", 154, 0, 64, 52, 270
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\PID_Controller_v3.py", "Python", 14, 0, -2, 0, 12
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\live_DRL_decoupled.py", "Python", 325, 0, 0, 123, 448
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-04-05.csv", "CSV", 0, -362, 0, -1, -363
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-06-27.csv", "CSV", 0, -146, 0, -1, -147
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-08-59.csv", "CSV", 0, -2, 0, -1, -3
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-09-25.csv", "CSV", 0, -138, 0, -1, -139
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_15-40-53.csv", "CSV", 0, 218, 0, 1, 219
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_15-44-32.csv", "CSV", 0, 62, 0, 1, 63
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_15-45-20.csv", "CSV", 0, 203, 0, 1, 204
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_15-58-06.csv", "CSV", 0, 243, 0, 1, 244
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_16-00-30.csv", "CSV", 0, 41, 0, 1, 42
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-05-04_16-01-12.csv", "CSV", 0, 161, 0, 1, 162
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\main.py", "Python", 81, 0, -8, 32, 105
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\monte_carlo_results.csv", "CSV", 0, 9, 0, 0, 9
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\wave_model1.py", "Python", 1, 0, 0, 4, 5
"Total", "-", 1495, 20746, 329, 681, 23251
