;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:20:11:098778;1742901611.0987787;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1742901582.8817568;28.217021942138672;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-03-25_12:20:14:216870;1742901614.2158685;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1742901611.0987787;3.1170897483825684;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-03-25_12:20:14:325488;1742901614.3244882;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.2158685;0.10861968994140625;0.0;0.0;0.0;-0.0;0.954929658551372;1114.7455712019876;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-80.17475028037413;-20.0;-20.299999999999997
2025-03-25_12:20:14:436781;1742901614.4357853;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.3244882;0.1112971305847168;0.0;0.0;0.0;-0.0;198.48602296952524;884.5601377822072;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66252532746638;-20.0;-20.449999999999996
2025-03-25_12:20:14:546060;1742901614.5450566;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.4357853;0.10927128791809082;0.0;0.0;0.0;-0.0;208.55603011451709;886.2149740305364;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.6064398862959;-20.0;-20.599999999999994
2025-03-25_12:20:14:654585;1742901614.6535845;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.5450566;0.10852789878845215;0.0;0.0;0.0;-0.0;218.17623326863648;887.8702447951304;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.55035031136581;-20.0;-20.749999999999993
2025-03-25_12:20:14:763645;1742901614.7626443;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.6535845;0.10905981063842773;0.0;0.0;0.0;-0.0;227.3642072990035;889.5360018530384;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.49597763831322;-20.0;-20.89999999999999
2025-03-25_12:20:14:872178;1742901614.8711789;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.7626443;0.10853457450866699;0.0;0.0;0.0;-0.0;236.21252943766117;891.2009745526113;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.44140766566348;-20.0;-21.04999999999999
2025-03-25_12:20:14:980341;1742901614.9793308;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.8711789;0.10815191268920898;0.0;0.0;0.0;-0.0;244.7555169102855;892.8658111556637;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.386754832133434;-20.0;-21.19999999999999
2025-03-25_12:20:15:088502;1742901615.0875025;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901614.9793308;0.10817170143127441;0.0;0.0;0.0;-0.0;252.97424545912466;894.5445649510866;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.334436486901595;-20.0;-21.349999999999987
