;current_time;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;target_north_from_observer;target_east_from_observer
2025-11-24_17:12:40:037211;1764000760.0372112;0.0;0.0;59.90871466666667;10.719339833333333;0.0;59.90871466666667;10.719339833333333;0.0;1764000760.0362003;0;1058664.2988066045;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1764000754.8220427;5.215168476104736;0.0;0.0;0.0;-0.0;;;;;;;;;
2025-11-24_17:12:43:049007;1764000763.0479496;-61.129013435579935;-41.02534718183072;59.908714;10.719342166666667;0.0;59.908714;10.719342166666667;0.0;1764000763.0479496;0;0.04987365911813849;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;8.021578833555033;-6.659417373225436;8.508445469068704e-06;1764000760.0372112;3.0107383728027344;0.0;0.0;0.0;-0.0;0.954929658551372;823.9790566068656;-28.021578833555033;-13.340582626774564;31.03514177745832;-2.697261484670001;0.0;-20.0;-20.15
2025-11-24_17:12:43:165458;1764000763.1632648;-99.79275329230575;-30.059833633921308;59.90871383333333;10.719342833333334;0.0;59.90871383333333;10.719342833333334;0.0;1764000763.1632648;0;0.3613439177105669;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;-0.07427382024177034;0.13055852846045785;1.669859292507958e-09;1764000763.0479496;0.11531519889831543;0.0;0.0;0.0;-0.0;312.23855521215063;850.7687324449448;-19.92572617975823;-20.280558528460457;28.431243694517;-2.3473694236742912;0.0;-20.0;-20.299999999999997
2025-11-24_17:12:43:268434;1764000763.2661347;-100.87155465957585;-35.53498878035426;59.908716;10.7193355;0.0;59.908716;10.7193355;0.0;1764000763.2661347;0;4.627824538116427;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;-0.09284227532694261;0.167860965998258;2.3420913888849704e-09;1764000763.1632648;0.10286998748779297;0.0;0.0;0.0;-0.0;211.88005487112616;886.1635254522854;-19.90715772467306;-20.467860965998256;28.55220238787974;-2.342308002506149;0.0;-20.0;-20.449999999999996
2025-11-24_17:12:43:371915;1764000763.369918;-99.24543810490475;-36.03603729276412;59.908718;10.719329333333333;0.0;59.908718;10.719329333333333;0.0;1764000763.369918;0;3.957665007110746;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1485476537017291;-0.2424658239042659;5.396301558380223e-09;1764000763.2661347;0.10378336906433105;0.0;0.0;0.0;-0.0;181.6089680045176;885.3327608037812;-20.14854765370173;-20.20753417609573;28.536089606523987;-2.354732839860777;0.0;-20.0;-20.599999999999994
2025-11-24_17:12:43:472915;1764000763.4725597;-98.01399039770544;-36.16225160470992;59.90871766666667;10.719329833333333;0.0;59.90871766666667;10.719329833333333;0.0;1764000763.4713614;0;0.4583420856948771;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.37136916192395647;-0.5875133067289274;3.652119340280535e-08;1764000763.369918;0.10264158248901367;0.0;0.0;0.0;-0.0;163.09352478926934;883.210919437522;-20.371369161923955;-20.012486693271068;28.55682589469176;-2.365081036906009;0.0;-20.0;-20.749999999999993
2025-11-24_17:12:43:583681;1764000763.5826762;-99.0411425621108;-35.80149810707555;59.90871766666667;10.719329166666666;0.0;59.90871766666667;10.719329166666666;0.0;1764000763.5814958;0;0.3386993073834824;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.33423224648364364;-0.5595364883232058;3.158266415059785e-08;1764000763.4725597;0.11011648178100586;0.0;0.0;0.0;-0.0;185.96912839367127;883.4761079468233;-20.334232246483644;-20.190463511676786;28.65546750395615;-2.3597421573360866;0.0;-20.0;-20.89999999999999
2025-11-24_17:12:43:687644;1764000763.685625;-99.67947395100404;-35.799065338608884;59.90871816666667;10.719327166666666;0.0;59.90871816666667;10.719327166666666;0.0;1764000763.6844923;0;1.2136841306619135;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.33423225258085953;-0.5968389208495084;3.511585769389036e-08;1764000763.5826762;0.10294890403747559;0.0;0.0;0.0;-0.0;192.96790830036275;884.9471408239989;-20.33423225258086;-20.303161079150485;28.7349847939377;-2.3569590856751788;0.0;-20.0;-21.04999999999999
2025-11-24_17:12:43:788651;1764000763.7865431;-99.86304999732893;-35.863835144362106;59.90871816666667;10.719327166666666;0.0;59.90871816666667;10.719327166666666;0.0;1764000763.7865431;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993763961319017;-0.7087462079270231;5.110026479737684e-08;1764000763.685625;0.10091805458068848;0.0;0.0;0.0;-0.0;193.17679947070934;885.7548316076966;-20.38993763961319;-20.341253792072965;28.80132224014789;-2.3573897369466263;0.0;-20.0;-21.19999999999999
2025-11-24_17:12:43:890756;1764000763.8907568;-100.71387479994162;-35.73445794377833;59.90871833333333;10.719326;0.0;59.90871833333333;10.719326;0.0;1764000763.8897867;0;0.6573653792746086;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993763961319017;-0.7087462079270231;5.110026479737684e-08;1764000763.7865431;0.10421371459960938;0.0;0.0;0.0;-0.0;205.34427418209083;886.9695405381517;-20.38993763961319;-20.491253792072964;28.907456458818015;-2.3537161880322506;0.0;-20.0;-21.349999999999987
