;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_14:30:13:917680;1765459813.91768;-20.0;-20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1765459809.3053532;4.6123268604278564;0.0;0.0;0.0;-0.0;;;;;;;
2025-12-11_14:30:17:037361;1765459817.0373616;20.0;-20.0;196.71297093633447;3.2870290636655186;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1765459813.91768;3.1196815967559814;0.0;0.0;0.0;-0.0;918.5441656630594;880.4749728407069;5403687.344084047;1186315.5269152317;5532375.750255424;0.216109734626267;0.0
2025-12-11_14:30:17:152471;1765459817.1524718;19.99970348594013;-19.845983647398356;171.92933460783408;-28.070665392165925;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.0373616;0.11511015892028809;0.0;0.0;0.0;-0.0;644.2513989972415;999.9644403134694;19.99970348594013;-19.845983647398356;28.175365240903776;-0.781540303563879;0.0
2025-12-11_14:30:17:268362;1765459817.2683625;19.99866599353326;-19.673321660090274;188.12250336164732;-11.877496638352692;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.1524718;0.1158907413482666;0.0;0.0;0.0;-0.0;806.4690905477196;947.5584964133946;19.99866599353326;-19.673321660090274;28.053274793903842;-0.7771974893349105;0.0
2025-12-11_14:30:17:381116;1765459817.3811164;19.9968032629708;-19.494303704572992;188.13522460931225;-11.864775390687763;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.2683625;0.11275386810302734;0.0;0.0;0.0;-0.0;806.5837028525508;947.5161872278769;19.9968032629708;-19.494303704572992;27.92669005922628;-0.7726744774901055;0.0
2025-12-11_14:30:17:489692;1765459817.4896922;19.994329687318412;-19.32650696953786;188.13993812571525;-11.860061874284758;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.3811164;0.10857582092285156;0.0;0.0;0.0;-0.0;806.6261652267086;947.5005102166706;19.994329687318412;-19.32650696953786;27.80804004759735;-0.7684158564687281;0.0
2025-12-11_14:30:17:592871;1765459817.5928712;19.991260832393813;-19.16390369248251;188.1495437854073;-11.850456214592686;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.4896922;0.1031789779663086;0.0;0.0;0.0;-0.0;806.7126922418549;947.468561283758;19.991260832393813;-19.16390369248251;27.693062568151394;-0.7642710899081391;0.0
2025-12-11_14:30:17:707332;1765459817.7073328;19.987816569296704;-19.01281915523047;188.1355639282537;-11.8644360717463;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.5928712;0.11446166038513184;0.0;0.0;0.0;-0.0;806.5867597295353;947.5150586721334;19.987816569296704;-19.01281915523047;27.586230323067895;-0.7604038432965781;0.0
2025-12-11_14:30:17:812085;1765459817.8120854;19.983210927768205;-18.841188580658184;188.16274223703653;-11.837257762963477;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.7073328;0.1047525405883789;0.0;0.0;0.0;-0.0;806.8315677051093;947.4246607773712;19.983210927768205;-18.841188580658184;27.464870400487946;-0.7559915748702333;0.0
2025-12-11_14:30:17:939066;1765459817.9383044;19.978274129080063;-18.681820323276174;188.14121141715066;-11.858788582849337;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.8120854;0.1262190341949463;0.0;0.0;0.0;-0.0;806.6376354678661;947.4962752438514;19.978274129080063;-18.681820323276174;27.352181773449892;-0.7518760480101714;0.0
