;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;ugps_lat;ugps_lon;ugps_depth;ugps_x;ugps_y;ugps_z;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_15:22:16:719780;1765462936.7197802;-20.0;-20.0;0.0;0.0;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1765462908.954735;27.765045166015625;0.0;0.0;0.0;-0.0;;;;;;;
2025-12-11_15:22:19:896428;1765462939.889883;19.999998950050873;-19.990835070690235;196.7129709117231;3.287029088276912;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1765462936.7197802;3.170102834701538;0.0;0.0;0.0;-0.0;918.5441657474972;880.474972637593;5403687.344082997;1186315.536080161;5532375.752219648;0.21610973624437282;0.0
2025-12-11_15:22:20:042706;1765462940.0398254;19.999321839769983;-19.7670786431002;175.71007658267456;-24.289923417325447;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462939.889883;0.14994239807128906;0.0;0.0;0.0;-0.0;685.5689142753637;987.9776031070883;19.999321839769983;-19.7670786431002;28.11957098060368;-0.779558043259075;0.0
2025-12-11_15:22:20:181584;1765462940.1815844;19.997576817952847;-19.559717486197016;188.13238794843542;-11.867612051564583;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.0398254;0.14175891876220703;0.0;0.0;0.0;-0.0;806.5581473173567;947.5256217500613;19.997576817952847;-19.559717486197016;27.972944548791542;-0.7743296245040887;0.0
2025-12-11_15:22:20:393269;1765462940.3861432;19.99486955683537;-19.359368177715453;188.07705289533027;-11.92294710466974;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.1815844;0.2045588493347168;0.0;0.0;0.0;-0.0;806.0594706472104;947.7096432173937;19.99486955683537;-19.359368177715453;27.83127637811826;-0.769251334354007;0.0
2025-12-11_15:22:20:508032;1765462940.508032;19.98859517035595;-19.0448789074757;188.21046518370193;-11.78953481629807;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.3861432;0.12188887596130371;0.0;0.0;0.0;-0.0;807.2612513921935;947.2659083973218;19.98859517035595;-19.0448789074757;27.60889982387545;-0.7612257710570687;0.0
2025-12-11_15:22:20:623380;1765462940.6233804;19.984100132045093;-18.872286991033835;188.16580489509272;-11.834195104907268;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.508032;0.11534833908081055;0.0;0.0;0.0;-0.0;806.859149868701;947.4144735159224;19.984100132045093;-18.872286991033835;27.48686003092295;-0.7567925737196897;0.0
2025-12-11_15:22:20:755779;1765462940.746428;19.978836881768608;-18.69899977673399;188.16426081944738;-11.835739180552613;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.6233804;0.1230475902557373;0.0;0.0;0.0;-0.0;806.8452441092859;947.4196095591697;19.978836881768608;-18.69899977673399;27.36432925906673;-0.7523205558339603;0.0
2025-12-11_15:22:20:917044;1765462940.9056134;19.9714569552009;-18.489162855062812;188.1610507861694;-11.838949213830597;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.746428;0.15918540954589844;0.0;0.0;0.0;-0.0;806.8163341688938;947.4302869713805;19.9714569552009;-18.489162855062812;27.215955540720536;-0.7468766616686555;0.0
2025-12-11_15:22:21:065399;1765462941.0480347;19.96225643680414;-18.262743404356662;188.19031752092747;-11.809682479072542;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462940.9056134;0.14242124557495117;0.0;0.0;0.0;-0.0;807.0798755332481;947.3329336859179;19.96225643680414;-18.262743404356662;27.05585849131572;-0.7409666520168579;0.0
2025-12-11_15:22:21:184308;1765462941.184308;19.951643682926928;-18.033742887503074;188.2166457237787;-11.783354276221296;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.0480347;0.13627338409423828;0.0;0.0;0.0;-0.0;807.3168824707918;947.2453466260292;19.951643682926928;-18.033742887503074;26.893939246288294;-0.7349505124659131;0.0
2025-12-11_15:22:21:378624;1765462941.3537574;19.941376207285828;-17.83517514148105;188.18542894358959;-11.814571056410418;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.184308;0.1694493293762207;0.0;0.0;0.0;-0.0;807.0358608137395;947.3491958155349;19.941376207285828;-17.83517514148105;26.75354102484022;-0.7297016359006115;0.0
2025-12-11_15:22:21:537449;1765462941.5325773;19.9259809302077;-17.567707509222796;188.21968314065995;-11.780316859340036;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.3537574;0.17881989479064941;0.0;0.0;0.0;-0.0;807.3442208736459;947.235241411688;19.9259809302077;-17.567707509222796;26.56443229509345;-0.7225830339406758;0.0
2025-12-11_15:22:21:679977;1765462941.6722033;19.91091236441318;-17.331840664403337;188.2560873554811;-11.74391264451889;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.5325773;0.13962602615356445;0.0;0.0;0.0;-0.0;807.6718065860446;947.1141194545513;19.91091236441318;-17.331840664403337;26.397672851969485;-0.7162582481780599;0.0
2025-12-11_15:22:21:792315;1765462941.792316;19.895963277053447;-17.116926259007116;188.29020664926716;-11.709793350732834;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.6722033;0.12011265754699707;0.0;0.0;0.0;-0.0;807.9787107136546;947.0005856883747;19.895963277053447;-17.116926259007116;26.24573335378813;-0.7104558279335196;0.0
2025-12-11_15:22:21:935244;1765462941.9321322;19.88344589346037;-16.948648879034213;188.2615755347251;-11.738424465274893;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.792316;0.1398162841796875;0.0;0.0;0.0;-0.0;807.7211808021698;947.0958581645205;19.88344589346037;-16.948648879034213;26.126770168219295;-0.7058857271375364;0.0
2025-12-11_15:22:22:047260;1765462942.0472608;19.86659089612344;-16.735810924421187;188.32674309502144;-11.673256904978551;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462941.9321322;0.1151285171508789;0.0;0.0;0.0;-0.0;808.3072279967173;946.8789936265393;19.86659089612344;-16.735810924421187;25.976312308176276;-0.7000710259791917;0.0
2025-12-11_15:22:22:174989;1765462942.174989;19.852328969120038;-16.566069928342177;188.30952357239528;-11.69047642760473;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.0472608;0.12772822380065918;0.0;0.0;0.0;-0.0;808.152415376587;946.9363015635242;19.852328969120038;-16.566069928342177;25.856326853768024;-0.6954056616529339;0.0
2025-12-11_15:22:22:298797;1765462942.2977974;19.835566578910708;-16.37679212062403;188.34108280526934;-11.65891719473067;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.174989;0.12280845642089844;0.0;0.0;0.0;-0.0;808.4361269561181;946.8312672865625;19.835566578910708;-16.37679212062403;25.722539176149247;-0.6901733889311255;0.0
2025-12-11_15:22:22:462262;1765462942.448213;19.818353274680923;-16.192278569445122;188.3312137490574;-11.668786250942585;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.2977974;0.15041565895080566;0.0;0.0;0.0;-0.0;808.3474166939938;946.8641143681813;19.818353274680923;-16.192278569445122;25.592127926191832;-0.6850418757835339;0.0
2025-12-11_15:22:22:611143;1765462942.6041892;19.792930460138315;-15.935189377769692;188.38917396654136;-11.610826033458647;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.448213;0.1559760570526123;0.0;0.0;0.0;-0.0;808.8682661107381;946.6711896445927;19.792930460138315;-15.935189377769692;25.410437947923196;-0.6778399383461925;0.0
2025-12-11_15:22:22:744032;1765462942.744032;19.77104479444496;-15.72636033827695;188.4056016198579;-11.59439838014211;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.6041892;0.13984274864196777;0.0;0.0;0.0;-0.0;809.0158293714671;946.6165018758445;19.77104479444496;-15.72636033827695;25.262870417933105;-0.6719443642905956;0.0
2025-12-11_15:22:22:908078;1765462942.8897622;19.75016675143585;-15.536341944879263;188.41027010406978;-11.58972989593022;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.744032;0.14573025703430176;0.0;0.0;0.0;-0.0;809.057759649797;946.6009598838832;19.75016675143585;-15.536341944879263;25.128609347469606;-0.6665435595305046;0.0
2025-12-11_15:22:23:081262;1765462943.0767744;19.71661908145598;-15.247088393571065;188.4636902238564;-11.536309776143607;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462942.8897622;0.1870121955871582;0.0;0.0;0.0;-0.0;809.5374011358689;946.4230991782571;19.71661908145598;-15.247088393571065;24.924260720924174;-0.6582543088642405;0.0
2025-12-11_15:22:23:235727;1765462943.2312198;19.689891913706717;-15.028835158810569;188.48273428804285;-11.517265711957162;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.0767744;0.15444540977478027;0.0;0.0;0.0;-0.0;809.7083227547965;946.3596844484281;19.689891913706717;-15.028835158810569;24.770097492826988;-0.6519441705773531;0.0
2025-12-11_15:22:23:375043;1765462943.373451;19.658618229248;-14.785213317233547;188.54278225801232;-11.457217741987671;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.2312198;0.14223122596740723;0.0;0.0;0.0;-0.0;810.2470208093039;946.1597031979745;19.658618229248;-14.785213317233547;24.59804470927358;-0.6448426677068799;0.0
2025-12-11_15:22:23:536288;1765462943.5132103;19.6322884624391;-14.588742176719304;188.55297531162807;-11.447024688371926;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.373451;0.13975930213928223;0.0;0.0;0.0;-0.0;810.3384284486962;946.1257524814606;19.6322884624391;-14.588742176719304;24.459316191815503;-0.6390700899581336;0.0
