;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-12_14:44:20:286363;1778589860.2858813;0.0;0.0;0.0;0.0;0.0;0.0;11.191876357498632;-2.7562465599147288;-10.350732839851998;-4.226384942005326;59.90855221666666;10.719602583333334;0.0;59.90855221666666;10.719602583333334;0.0;1778589860.2853732;-55.64;0.17059211069196276;0.15;-1.203;2.217;175.646;1.94;3.765;0.967;59.908552033333336;10.719602933333334;0.0;0.020425300870117152;-0.019583874487368372;-6.197966046644909e-10;1778589860.2082348;0.07764649391174316;0.11957047156848562;-0.12010399832233537;3.0656010179579596;175.646;-0.128343511747631;0.11067976814398946;-10.371158140722116;-4.206801067517957;3.0656010179579596;0.46133772930689787;-157.92129518056595;175.646;26.43270481943408;-10.371158140722116;-4.206801067517957;0.46133772930689787;11.191876357498632
2026-05-12_14:44:20:503006;1778589860.5030067;150.0;-0.22201906915368705;0.75;-0.001930600601336409;0.75;-0.001930600601336409;11.191876357498632;-2.7562465599147288;-10.350732839851998;-4.226384942005326;59.90855221666666;10.719602583333334;0.0;59.90855221666666;10.719602583333334;0.0;1778589860.5030067;-53.137;0.0;0.15;-0.147;1.851;175.875;4.547;-4.377;0.864;59.908552033333336;10.719602933333334;0.0;0.020425300870117152;-0.019583874487368372;-6.197966046644909e-10;1778589860.4144058;0.08860087394714355;0.0;0.0;3.0695978219450275;175.87500000000003;0.0;-0.0;-10.371158140722116;-4.206801067517957;3.0695978219450275;0.45734092531982995;-157.92129518056595;175.87500000000003;26.203704819434027;-10.371158140722116;-4.206801067517957;0.45734092531982995;11.191876357498632
2026-05-12_14:44:20:659726;1778589860.6597264;150.0;47.506018276872304;0.75;0.4130958111032374;0.75;0.4130958111032374;11.197330632606642;-2.757252814592624;-10.350732839851998;-4.226384942005326;59.9085523;10.719602433333334;0.0;59.9085523;10.719602433333334;0.0;1778589860.6597264;-50.285;0.0;0.15;0.419;1.071;176.005;2.844;-4.803;1.064;59.908552033333336;10.719602933333334;0.0;0.02970952755469878;-0.02797696363315508;-3.951382190198194e-10;1778589860.6448872;0.01483917236328125;0.0;0.0;3.071866749972619;176.00499999999997;0.0;-0.0;-10.380442367406697;-4.19840797837217;3.071866749972619;0.4540657426143433;-157.97894932672463;176.00499999999997;26.0160506732754;-10.380442367406697;-4.19840797837217;0.4540657426143433;11.197330632606642
2026-05-12_14:44:20:813760;1778589860.8137608;150.0;53.56695793414938;0.75;0.4657996342099946;0.75;0.4657996342099946;11.2065892034455;-2.7583048550867377;-10.350732839851998;-4.226384942005326;59.908552416666666;10.7196023;0.0;59.908552416666666;10.7196023;0.0;1778589860.8137608;-50.387;0.0;0.15;0.419;1.071;176.005;2.844;-4.803;1.064;59.908552033333336;10.719602933333334;0.0;0.042707447390988945;-0.035437487038172184;-1.2280767895667122e-09;1778589860.788384;0.02537679672241211;0.0;0.0;3.071866749972619;176.00499999999997;0.0;-0.0;-10.393440287242987;-4.190947454967153;3.071866749972619;0.45301370212022896;-158.0392268069142;176.00499999999997;25.955773193085793;-10.393440287242987;-4.190947454967153;0.45301370212022896;11.2065892034455
2026-05-12_14:44:20:966367;1778589860.9650927;150.0;61.7946522153657;0.75;0.5373448018727452;0.75;0.5373448018727452;11.222072226058435;-2.7593089986819272;-10.350732839851998;-4.226384942005326;59.90855258333333;10.719602216666667;0.0;59.90855258333333;10.719602216666667;0.0;1778589860.9650927;-55.983;0.0;0.15;0.419;1.071;176.005;2.844;-4.803;1.064;59.908552033333336;10.719602933333334;0.0;0.06127590296293633;-0.04010031403060235;4.977100467873363e-10;1778589860.9536245;0.011468172073364258;0.0;0.0;3.071866749972619;176.00499999999997;0.0;-0.0;-10.412008742814935;-4.1862846279747234;3.071866749972619;0.4520095585250399;-158.09675999694366;176.00499999999997;25.898240003056365;-10.412008742814935;-4.1862846279747234;0.4520095585250399;11.222072226058435
2026-05-12_14:44:21:135004;1778589861.135004;150.0;-0.5584677190616213;0.75;-0.004856241035318446;0.75;-0.004856241035318446;11.233425497904966;-2.760341467845092;-10.350732839851998;-4.226384942005326;59.90855271666667;10.7196021;0.0;59.90855271666667;10.7196021;0.0;1778589861.135004;-65.36;0.0;0.15;-1.016;0.463;176.719;-2.505;1.064;1.544;59.908552033333336;10.719602933333334;0.0;0.07613066728630885;-0.04662827199583248;-9.980373055773484e-10;1778589861.071216;0.06378793716430664;0.0;0.0;3.0843284008318594;176.71900000000002;0.0;-0.0;-10.426863507138307;-4.1797566700094935;3.0843284008318594;0.43851543850263486;-158.15591612247042;176.71900000000002;25.125083877529576;-10.426863507138307;-4.1797566700094935;0.43851543850263486;11.233425497904966
2026-05-12_14:44:21:298880;1778589861.29888;150.0;-14.388445360907193;0.75;-0.12511691618180168;0.75;-0.12511691618180168;11.239958049122574;-2.7615574043124047;-10.350732839851998;-4.226384942005326;59.90855281666666;10.719601916666667;0.0;59.90855281666666;10.719601916666667;0.0;1778589861.29888;-73.523;0.0;0.15;-1.004;0.699;177.001;1.79;1.219;1.603;59.908552033333336;10.719602933333334;0.0;0.08727174040893049;-0.05688649153346487;7.70745828271302e-10;1778589861.2623677;0.03651237487792969;0.0;0.0;3.0892502293224835;177.001;0.0;-0.0;-10.438004580260928;-4.169498450471861;3.0892502293224835;0.432377673544698;-158.22558415020347;177.001;24.773415849796507;-10.438004580260928;-4.169498450471861;0.432377673544698;11.239958049122574
2026-05-12_14:44:21:459693;1778589861.4596932;150.0;-18.762101863992626;0.75;-0.16314871186080546;0.75;-0.16314871186080546;11.240988139161985;-2.7631122231886724;-10.350732839851998;-4.226384942005326;59.908552883333336;10.719601633333333;0.0;59.908552883333336;10.719601633333333;0.0;1778589861.4596932;-74.504;0.715461136834991;0.15;-1.004;0.699;177.001;1.79;1.219;1.603;59.908552033333336;10.719602933333334;0.0;0.09469912364228661;-0.07274010393932204;-9.707041628836954e-10;1778589861.4352233;0.024469852447509766;0.3035319991932353;-0.6478834492306288;3.0892502293224835;177.001;-0.3370126039897244;0.6311157921279454;-10.445431963494284;-4.153644838066004;3.0892502293224835;0.4308228546684303;-158.31466870972088;177.001;24.68433129027909;-10.445431963494284;-4.153644838066004;0.4308228546684303;11.240988139161985
2026-05-12_14:44:21:653795;1778589861.6527956;150.0;-27.68190923230401;0.75;-0.24071225419394793;0.75;-0.24071225419394793;11.240988139161985;-2.7631122231886724;-10.350732839851998;-4.226384942005326;59.908552883333336;10.719601633333333;0.0;59.908552883333336;10.719601633333333;0.0;1778589861.6527956;-71.28;0.0;0.15;-0.362;1.007;177.3;3.74;1.745;1.633;59.908552033333336;10.719602933333334;0.0;0.09469912364228661;-0.07274010393932204;-9.707041628836954e-10;1778589861.5692282;0.08356738090515137;0.0;0.0;3.0944687637859465;177.3;0.0;-0.0;-10.445431963494284;-4.153644838066004;3.0944687637859465;0.4256043202049673;-158.31466870972088;177.3;24.385331290279094;-10.445431963494284;-4.153644838066004;0.4256043202049673;11.240988139161985
2026-05-12_14:44:21:807913;1778589861.8079133;150.0;76.0;0.75;0.6608695652173913;0.75;0.6608695652173913;11.239975660485555;-2.7646830934127204;-10.350732839851998;-4.226384942005326;59.90855293333333;10.719601333333333;0.0;59.90855293333333;10.719601333333333;0.0;1778589861.8079133;-62.069;0.0;0.15;0.09;1.46;177.594;1.003;2.441;1.592;59.908552033333336;10.719602933333334;0.0;0.10026966095024586;-0.08952628155619864;3.4635547901951114e-10;1778589861.7693138;0.038599491119384766;0.0;0.0;3.0996000317868093;177.594;0.0;-0.0;-10.451002500802245;-4.136858660449127;3.0996000317868093;0.4189021819800569;-158.4046729437216;177.594;24.001327056278427;-10.451002500802245;-4.136858660449127;0.4189021819800569;11.239975660485555
