;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-12_14:51:26:628728;1778590286.6287286;0.0;0.0;0.0;0.0;0.0;0.0;10.033723557588326;2.2458055676614186;-6.281260387392502;7.781116111829575;59.90854655;10.71972935;0.0;59.90854655;10.71972935;0.0;1778590286.6287286;-80.112;0.0;0.14;0.698;1.094;128.912;6.24;-1.098;2.786;59.90854665;10.719730283333334;0.0;-0.01114107235294998;-0.05222367431980841;-2.1677018166577078e-10;1778590286.5616257;0.06710290908813477;0.0;0.0;2.249938845330931;128.91200000000003;0.0;-0.0;-6.270119315039552;7.833339786149383;2.249938845330931;-0.004133277669512214;128.6751806339813;128.91200000000003;-0.23681936601871856;-6.270119315039552;7.833339786149383;-0.004133277669512214;10.033723557588326
2026-05-12_14:51:29:770973;1778590289.770973;150.0;-19.501441429401265;0.75;-0.169577751560011;0.75;-0.169577751560011;10.6685102559163;2.1985760021472247;-6.397977129069945;7.6868972060186875;59.908545466666666;10.71971335;0.0;59.908545466666666;10.71971335;0.0;1778590289.770973;-82.628;0.0;0.14;-1.734;0.539;142.597;0.137;1.555;5.243;59.90854665;10.719730283333334;0.0;-0.131835910844673;-0.9474866928967156;6.987061097751823e-08;1778590289.6822898;0.0886831283569336;0.0;0.0;2.4887871534663546;142.59700000000004;0.0;-0.0;-6.266141218225272;8.634383898915402;2.4887871534663546;-0.2902111513191299;125.9691258617814;142.59700000000004;-16.627874138218637;-6.266141218225272;8.634383898915402;-0.2902111513191299;10.6685102559163
2026-05-12_14:51:30:091860;1778590290.0918605;150.0;23.526926369502625;0.75;0.20458196843045762;0.75;0.20458196843045762;10.7430044660559;2.2044173304857675;-6.514693870747388;7.5926783002078;59.908545266666664;10.71971125;0.0;59.908545266666664;10.71971125;0.0;1778590290.0918605;-95.632;3.0325668574693423;0.14;-0.116;0.774;144.033;8.499;-0.629;5.701;59.90854665;10.719730283333334;0.0;-0.15411802593301216;-1.064989970178916;8.98290440504157e-08;1778590290.0712805;0.020580053329467773;-0.0438644718994908;-0.33595976923554777;2.5138500815249927;144.03300000000002;-0.16181367384001966;0.2976732997737947;-6.360575844814376;8.657668270386717;2.5138500815249927;-0.3094327510392252;126.30380932233007;144.03300000000002;-17.72919067766994;-6.360575844814376;8.657668270386717;-0.3094327510392252;10.7430044660559
2026-05-12_14:51:30:386407;1778590290.3864079;133.22067260742188;-7.7103424072265625;0.6661033630371094;-0.06704645571501358;0.6661033630371094;-0.06704645571501358;10.777109955089239;2.213207761544711;-6.6314106124248315;7.498459394396913;59.90854508333334;10.719710083333334;0.0;59.90854508333334;10.719710083333334;0.0;1778590290.3864079;-94.504;0.0;0.14;1.411;0.577;146.018;-0.074;0.624;6.13;59.90854665;10.719730283333334;0.0;-0.1745433060852647;-1.1302695718186102;1.0161173237543952e-07;1778590290.2621696;0.12423825263977051;0.0;0.0;2.54849486717708;146.018;0.0;-0.0;-6.456867306339567;8.628728966215522;2.54849486717708;-0.3352871056323692;126.80746392210824;146.018;-19.210536077891767;-6.456867306339567;8.628728966215522;-0.3352871056323692;10.777109955089239
2026-05-12_14:51:30:794629;1778590290.7946293;150.0;-14.470321918356007;0.75;-0.12582888624657396;0.75;-0.12582888624657396;10.812454264578777;2.2225609451212893;-6.748127354102275;7.404240488586026;59.90854495;10.719708983333334;0.0;59.90854495;10.719708983333334;0.0;1778590290.7946293;-92.716;0.0;0.14;0.477;0.992;147.165;-7.046;2.918;5.817;59.90854665;10.719730283333334;0.0;-0.18939805292172165;-1.1918189096175158;1.1399788198140914e-07;1778590290.5724008;0.2222285270690918;0.0;0.0;2.5685137936974556;147.16500000000002;0.0;-0.0;-6.558729301180553;8.596059398203542;2.5685137936974556;-0.34595284857616626;127.34336186605725;147.16500000000002;-19.821638133942777;-6.558729301180553;8.596059398203542;-0.34595284857616626;10.812454264578777
2026-05-12_14:51:31:013751;1778590291.0137517;150.0;-10.842228198873585;0.75;-0.09428024520759638;0.75;-0.09428024520759638;10.897280268147437;2.2275314373451023;-6.864844095779718;7.310021582775138;59.90854475;10.719706683333333;0.0;59.90854475;10.719706683333333;0.0;1778590291.0127518;-89.777;0.0;0.14;-2.03;1.708;149.55;-2.235;0.126;6.273;59.90854665;10.719730283333334;0.0;-0.21168015419581473;-1.3205129782450085;1.3873222462490453e-07;1778590290.994566;0.019185781478881836;0.0;0.0;2.61013989635752;149.55;0.0;-0.0;-6.6531639415839035;8.630534561020147;2.61013989635752;-0.3826084590124177;127.62815009258433;149.55;-21.92184990741568;-6.6531639415839035;8.630534561020147;-0.3826084590124177;10.897280268147437
2026-05-12_14:51:31:406317;1778590291.4063175;150.0;-14.304113256520237;0.75;-0.12438359353495858;0.75;-0.12438359353495858;10.938968092300382;2.237029060694606;-6.981560837457161;7.215802676964251;59.908544666666664;10.71970555;0.0;59.908544666666664;10.71970555;0.0;1778590291.4063175;-86.38;0.0;0.14;-1.726;1.686;150.818;3.414;-0.698;6.546;59.90854665;10.719730283333334;0.0;-0.22096436050358895;-1.38392744671805;1.5267238663574378e-07;1778590291.1834412;0.22287631034851074;0.0;0.0;2.632270671272808;150.818;0.0;-0.0;-6.760596476953572;8.599730123682301;2.632270671272808;-0.3952416105782022;128.17232382591578;150.818;-22.64567617408422;-6.760596476953572;8.599730123682301;-0.3952416105782022;10.938968092300382
2026-05-12_14:51:31:733923;1778590291.733924;150.0;-10.946542082161738;0.75;-0.09518732245358033;0.75;-0.09518732245358033;11.083087710544184;2.237644909978943;-7.098277579134605;7.121583771153364;59.90854446666667;10.719701916666667;0.0;59.90854446666667;10.719701916666667;0.0;1778590291.733924;-97.076;3.061759314991982;0.14;-0.103;0.785;154.671;-0.349;-1.541;7.358;59.90854665;10.719730283333334;0.0;-0.24324642425620757;-1.5872267713525465;2.002260821726276e-07;1778590291.7131324;0.02079153060913086;0.0;0.0;2.699518207352149;154.671;0.0;-0.0;-6.855031154878397;8.70881054250591;2.699518207352149;-0.46187329737320626;128.20760939072446;154.671;-26.46339060927553;-6.855031154878397;8.70881054250591;-0.46187329737320626;11.083087710544184
2026-05-12_14:51:31:916891;1778590291.9168918;148.46981811523438;6.344341014993602;0.7423490905761718;0.0551681827390748;0.7423490905761718;0.0551681827390748;11.118539535529424;2.2474699870390733;-7.214994320812048;7.027364865342476;59.908544383333336;10.71970095;0.0;59.908544383333336;10.71970095;0.0;1778590291.9168918;-112.275;0.0;0.14;-0.453;1.142;155.929;-3.231;6.199;5.878;59.90854665;10.719730283333334;0.0;-0.25253062865346076;-1.6413155843282983;2.1419696177860104e-07;1778590291.9059696;0.01092219352722168;0.0;0.0;2.7214744493422387;155.92900000000003;0.0;-0.0;-6.962463692158587;8.668680449670774;2.7214744493422387;-0.4740044623031654;128.77054483966074;155.92900000000003;-27.158455160339305;-6.962463692158587;8.668680449670774;-0.4740044623031654;11.118539535529424
2026-05-12_14:51:32:122664;1778590292.1226647;150.0;9.110394675156165;0.75;0.07922082326222753;0.75;0.07922082326222753;11.140062105585194;2.2570417058990753;-7.331711062489491;6.933145959531589;59.9085442;10.719700166666666;0.0;59.9085442;10.719700166666666;0.0;1778590292.1226647;-148.754;0.0;0.14;-0.453;1.142;155.929;-3.231;6.199;5.878;59.90854665;10.719730283333334;0.0;-0.2729559095442404;-1.6851461802757;2.277044720000454e-07;1778590292.1069276;0.015737056732177734;0.0;0.0;2.7214744493422387;155.92900000000003;0.0;-0.0;-7.058755152945251;8.61829213980729;2.7214744493422387;-0.46443274344316343;129.3189639330246;155.92900000000003;-26.61003606697542;-7.058755152945251;8.61829213980729;-0.46443274344316343;11.140062105585194
