;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-11_10:53:22:310516;1778489602.3105159;0.0;0.0;0.0;0.0;0.0;0.0;11.1899415896968;2.7272348771507966;-10.237423029802075;4.493903615886539;59.908531616666664;10.719633;0.0;59.908531616666664;10.719633;0.0;1778489602.2949138;-84.309;0.0;0.38;-0.725;1.251;129.735;0.197;-0.663;-1.248;59.90853156666667;10.7196332;0.0;0.00557053425268691;-0.011190792398251728;-6.163402201803114e-10;1778489602.243026;0.0674898624420166;0.0;0.0;2.264302905074844;129.73500000000004;0.0;-0.0;-10.242993564054762;4.505094408284791;2.264302905074844;0.4629319720759524;156.2590482016202;129.73500000000004;26.52404820162015;-10.242993564054762;4.505094408284791;0.4629319720759524;11.1899415896968
2026-05-11_10:53:22:457452;1778489602.457452;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.19803246348963;2.7260056930633296;-10.237423029802075;4.493903615886539;59.90853163333333;10.719632716666666;0.0;59.90853163333333;10.719632716666666;0.0;1778489602.457452;-83.884;0.0;0.38;-0.594;1.104;129.485;1.12;-0.771;-1.14;59.90853156666667;10.7196332;0.0;0.007427381873687805;-0.02704441475422139;1.2378916511637805e-10;1778489602.4456444;0.011807680130004883;0.0;0.0;2.259939581944858;129.485;0.0;-0.0;-10.244850411675763;4.52094803064076;2.259939581944858;0.46606611111847185;156.1886211411637;129.485;26.703621141163687;-10.244850411675763;4.52094803064076;0.46606611111847185;11.19803246348963
2026-05-11_10:53:22:634857;1778489602.6344492;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.205762713368655;2.7248543825045077;-10.237423029802075;4.493903615886539;59.90853165;10.71963245;0.0;59.90853165;10.71963245;0.0;1778489602.6344492;-80.499;0.0;0.38;-0.248;0.861;129.127;0.712;-0.559;-0.933;59.90853156666667;10.7196332;0.0;0.009284227333348924;-0.04196547116739554;-3.885363558664423e-10;1778489602.5868864;0.04756283760070801;0.0;0.0;2.253691303222718;129.127;0.0;-0.0;-10.246707257135425;4.535869087053934;2.253691303222718;0.4711630792817898;156.12265590523435;129.127;26.995655905234354;-10.246707257135425;4.535869087053934;0.4711630792817898;11.205762713368655
2026-05-11_10:53:22:846404;1778489602.8464048;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.211616284471607;2.724084765218598;-10.237423029802075;4.493903615886539;59.90853166666667;10.719632266666666;0.0;59.90853166666667;10.719632266666666;0.0;1778489602.8371418;-77.035;0.0;0.38;-0.336;0.857;128.909;-0.92;0.258;-0.998;59.90853156666667;10.7196332;0.0;0.011141072545123015;-0.05222369758690743;3.1884505452550727e-11;1778489602.768103;0.07830190658569336;0.0;0.0;2.24988648545337;128.909;0.0;-0.0;-10.248564102347197;4.546127313473446;2.24988648545337;0.4741982797652282;156.07856008291142;128.909;27.169560082911442;-10.248564102347197;4.546127313473446;0.4741982797652282;11.211616284471607
2026-05-11_10:53:23:046962;1778489603.0469625;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.218234210599633;2.7231640258044396;-10.237423029802075;4.493903615886539;59.90853168333334;10.71963205;0.0;59.90853168333334;10.71963205;0.0;1778489603.0469625;-80.077;0.0;0.38;-0.546;0.939;128.754;-1.15;0.569;-0.756;59.90853156666667;10.7196332;0.0;0.012997918456664979;-0.06434705595746934;-2.18584740585559e-10;1778489602.977601;0.06936144828796387;0.0;0.0;2.2471812251127794;128.75400000000002;0.0;-0.0;-10.250420948258741;4.558250671844008;2.2471812251127794;0.4759828006916602;156.0258056004488;128.75400000000002;27.271805600448772;-10.250420948258741;4.558250671844008;0.4759828006916602;11.218234210599633
2026-05-11_10:53:23:417336;1778489603.417337;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.224481959575794;2.722320257286182;-10.237423029802075;4.493903615886539;59.9085317;10.71963185;0.0;59.9085317;10.71963185;0.0;1778489603.417337;-88.161;0.0;0.38;-0.622;0.991;128.691;-0.738;0.644;-0.639;59.90853156666667;10.7196332;0.0;0.014854764242429506;-0.07553784829531436;-5.419395964975648e-10;1778489603.1675894;0.24974751472473145;0.0;0.0;2.246081667684022;128.69099999999997;0.0;-0.0;-10.252277794044504;4.569441464181853;2.246081667684022;0.4762385896021599;155.9774612254666;128.69099999999997;27.286461225466656;-10.252277794044504;4.569441464181853;0.4762385896021599;11.224481959575794
2026-05-11_10:53:23:662609;1778489603.6626093;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.242677913288139;2.7203162754154464;-10.237423029802075;4.493903615886539;59.90853176666667;10.71963135;0.0;59.90853176666667;10.71963135;0.0;1778489603.6626093;-94.441;0.0;0.38;-0.035;1.105;128.407;0.867;-0.608;-0.256;59.90853156666667;10.7196332;0.0;0.022282146600295462;-0.10351482876687057;-1.3757848853213073e-10;1778489603.5618203;0.10078907012939453;0.0;0.0;2.2411249326083595;128.40700000000004;0.0;-0.0;-10.25970517640237;4.597418444653409;2.2411249326083595;0.47919134280708686;155.86264152205274;128.40700000000004;27.455641522052694;-10.25970517640237;4.597418444653409;0.47919134280708686;11.242677913288139
2026-05-11_10:53:23:862013;1778489603.862014;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.246329459412483;2.719189354004937;-10.237423029802075;4.493903615886539;59.90853175;10.719631116666667;0.0;59.90853175;10.719631116666667;0.0;1778489603.862014;-93.204;0.0;0.38;-0.181;0.985;128.384;-1.454;-0.633;0.138;59.90853156666667;10.7196332;0.0;0.020425302101523737;-0.11657075334181707;-1.4482816855510006e-10;1778489603.7758143;0.08619976043701172;0.0;0.0;2.2407235068804;128.384;0.0;-0.0;-10.257848331903599;4.610474369228355;2.2407235068804;0.4784658471245371;155.79807368138762;128.384;27.41407368138763;-10.257848331903599;4.610474369228355;0.4784658471245371;11.246329459412483
2026-05-11_10:53:24:013784;1778489604.0137846;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.248685877909447;2.7179197447282335;-10.237423029802075;4.493903615886539;59.908531716666666;10.719630866666666;0.0;59.908531716666666;10.719630866666666;0.0;1778489603.9918215;-95.654;0.19972231447356834;0.38;-0.252;0.961;128.386;-1.651;-0.628;0.161;59.90853156666667;10.7196332;0.0;0.016711611326719573;-0.13055924389316134;9.63568324088837e-10;1778489603.9918215;0.021963119506835938;0.0;0.0;2.2407584134654392;128.38599999999997;0.0;-0.0;-10.254134641128795;4.6244628597797;2.2407584134654392;0.47716133126279425;155.72533042820186;128.38599999999997;27.339330428201894;-10.254134641128795;4.6244628597797;0.47716133126279425;11.248685877909447
2026-05-11_10:53:24:170498;1778489604.1704986;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;11.249753301245098;2.71650709781396;-10.237423029802075;4.493903615886539;59.90853166666667;10.7196306;0.0;59.90853166666667;10.7196306;0.0;1778489604.1704986;-103.822;0.36826745009779993;0.38;-0.531;0.877;128.405;-1.416;-0.43;0.325;59.90853156666667;10.7196332;0.0;0.011141075228514843;-0.14548030053528707;1.5868585542810898e-09;1778489604.1272502;0.04324841499328613;-0.12880324282565034;-0.34500817300338216;2.2410900260233184;128.40499999999997;-0.19034728863867967;0.3152599316586843;-10.24856410503059;4.639383916421826;2.2410900260233184;0.47541707179064163;155.64439172207182;128.40499999999997;27.239391722071833;-10.24856410503059;4.639383916421826;0.47541707179064163;11.249753301245098
