;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-11_10:58:43:057326;1778489923.0573266;0.0;0.0;0.0;0.0;0.0;0.0;11.136942190905557;-3.0471684528887146;-11.130038419103805;-1.0593605567856716;59.90854616666667;10.719806916666666;0.0;59.90854616666667;10.719806916666666;0.0;1778489923.0573266;162.986;0.11555064029594929;0.37;-0.117;0.893;158.729;2.741;3.331;-0.865;59.90854655;10.719807083333333;0.0;-0.04270744761593996;-0.00932565629033448;2.397004573995165e-10;1778489922.8894937;0.1678328514099121;-0.11063659336435329;-0.03333908639322008;2.7703436683980796;158.729;0.09100473085440804;0.0712045604924334;-11.087330971487864;-1.050034900495337;2.7703436683980796;0.4656731858927916;-174.58989181593196;158.729;26.681108184067984;-11.087330971487864;-1.050034900495337;0.4656731858927916;11.136942190905557
2026-05-11_10:58:43:221663;1778489923.2216635;150.0;84.46710968017578;0.75;0.734496605914572;0.75;0.734496605914572;11.120041314005602;-3.047277229241853;-11.130038419103805;-1.0593605567856716;59.90854601666667;10.719806866666667;0.0;59.90854601666667;10.719806866666667;0.0;1778489923.2216635;154.703;0.0;0.37;0.075;1.286;158.617;1.15;3.094;-0.774;59.90854655;10.719807083333333;0.0;-0.05941905682500749;-0.012123353125868697;-5.084616477857296e-10;1778489923.1829271;0.03873634338378906;0.0;0.0;2.7683888996358457;158.617;0.0;-0.0;-11.070619362278798;-1.047237203659803;2.7683888996358457;0.46751917830188816;-174.59612424187762;158.617;26.786875758122406;-11.070619362278798;-1.047237203659803;0.46751917830188816;11.120041314005602
2026-05-11_10:58:43:664871;1778489923.6648715;150.0;52.279701232910156;0.75;0.4546060976774796;0.75;0.4546060976774796;11.084216206675816;-3.047647561639082;-11.130038419103805;-1.0593605567856716;59.9085457;10.719806733333334;0.0;59.9085457;10.719806733333334;0.0;1778489923.6648715;162.783;0.0;0.37;-0.587;1.301;158.359;-2.196;-1.972;-0.401;59.90854655;10.719807083333333;0.0;-0.09469912321069662;-0.01958387843007221;7.69021443747242e-10;1778489923.538584;0.12628746032714844;0.0;0.0;2.763885950165701;158.35900000000004;0.0;-0.0;-11.035339295893108;-1.0397766783555995;2.763885950165701;0.47165179537480384;-174.6173427252558;158.35900000000004;27.02365727474418;-11.035339295893108;-1.0397766783555995;0.47165179537480384;11.084216206675816
2026-05-11_10:58:43:840693;1778489923.8406935;150.0;11.36286735534668;0.75;0.09880754222040591;0.75;0.09880754222040591;11.069077265401875;-3.0478571846462157;-11.130038419103805;-1.0593605567856716;59.90854556666667;10.719806666666667;0.0;59.90854556666667;10.719806666666667;0.0;1778489923.8406935;176.055;0.0;0.37;-0.877;0.947;158.296;-0.642;-1.377;-0.135;59.90854655;10.719807083333333;0.0;-0.10955388658249342;-0.023314140887636746;1.3945544302673696e-09;1778489923.8089132;0.031780242919921875;0.0;0.0;2.7627863927369436;158.296;0.0;-0.0;-11.020484532521312;-1.036046415898035;2.7627863927369436;0.4725417297964274;-174.6293532388534;158.296;27.074646761146628;-11.020484532521312;-1.036046415898035;0.4725417297964274;11.069077265401875
2026-05-11_10:58:44:083656;1778489924.0836565;150.0;33.02324676513672;0.75;0.287158667522928;0.75;0.287158667522928;11.055353133894407;-3.048502995187476;-11.130038419103805;-1.0593605567856716;59.90854545;10.719806516666667;0.0;59.90854545;10.719806516666667;0.0;1778489924.0836565;168.62;0.0;0.37;-0.674;0.931;158.18;1.867;0.822;-0.575;59.90854655;10.719807083333333;0.0;-0.12255180503588897;-0.031707231863047684;1.7849236325084838e-09;1778489924.0041547;0.07950186729431152;0.0;0.0;2.760761810804631;158.18000000000004;0.0;-0.0;-11.007486614067917;-1.027653324922624;2.760761810804631;0.47392050118747875;-174.6663554572327;158.18000000000004;27.153644542767253;-11.007486614067917;-1.027653324922624;0.47392050118747875;11.055353133894407
2026-05-11_10:58:44:217667;1778489924.2176676;150.0;24.326541900634766;0.75;0.21153514696204145;0.75;0.21153514696204145;11.042238138496913;-3.0485617541976326;-11.130038419103805;-1.0593605567856716;59.908545333333336;10.719806483333333;0.0;59.908545333333336;10.719806483333333;0.0;1778489924.2176676;158.363;0.0;0.37;-0.36;1.134;158.071;1.997;1.288;-0.486;59.90854655;10.719807083333333;0.0;-0.1355497229723825;-0.03357236329047605;1.3984354368945517e-09;1778489924.2176676;0.0;-0.17645225866109054;-0.02531995160128718;2.758859401919956;158.07099999999997;0.1542295478166413;0.08938537976630344;-10.994488696131423;-1.0257881934951956;2.758859401919956;0.47576415106199743;-174.66972210052302;158.07099999999997;27.259277899476995;-10.994488696131423;-1.0257881934951956;0.47576415106199743;11.042238138496913
2026-05-11_10:58:44:421561;1778489924.421561;150.0;39.65506362915039;0.75;0.34482664025348164;0.75;0.34482664025348164;11.027274353973924;-3.0486050202286443;-11.130038419103805;-1.0593605567856716;59.9085452;10.71980645;0.0;59.9085452;10.71980645;0.0;1778489924.421561;145.253;0.0;0.37;-0.124;1.162;157.872;0.39;-0.939;-0.987;59.90854655;10.719807083333333;0.0;-0.1504044889267877;-0.03543749467767664;1.6037893235676393e-09;1778489924.3969479;0.024613142013549805;0.0;0.0;2.7553861967084883;157.872;0.0;-0.0;-10.979633930177018;-1.023923062107995;2.7553861967084883;0.4791940902424532;-174.67220106149628;157.872;27.455798938503673;-10.979633930177018;-1.023923062107995;0.4791940902424532;11.027274353973924
2026-05-11_10:58:44:793200;1778489924.7932;150.0;40.55031967163086;0.75;0.3526114754054857;0.75;0.3526114754054857;11.012310592192698;-3.048648403860884;-11.130038419103805;-1.0593605567856716;59.90854506666667;10.719806416666668;0.0;59.90854506666667;10.719806416666668;0.0;1778489924.7932;162.156;0.0;0.37;-0.257;0.809;157.626;-1.118;-1.884;-0.864;59.90854655;10.719807083333333;0.0;-0.1652592528268949;-0.037302626089332394;2.9995687600425924e-09;1778489924.5922463;0.20095372200012207;0.0;0.0;2.7510926867485814;157.62599999999998;0.0;-0.0;-10.96477916627691;-1.0220579306963393;2.7510926867485814;0.4834442165701205;-174.67468676052354;157.62599999999998;27.699313239476442;-10.96477916627691;-1.0220579306963393;0.4834442165701205;11.012310592192698
2026-05-11_10:58:45:014772;1778489925.0147722;150.0;64.73761749267578;0.75;0.5629358042841373;0.75;0.5629358042841373;10.976663733931662;-3.0488576553803513;-11.130038419103805;-1.0593605567856716;59.90854475;10.719806316666666;0.0;59.90854475;10.719806316666666;0.0;1778489925.0147722;168.918;0.0;0.37;-0.563;0.678;157.434;0.009;1.519;-0.276;59.90854655;10.719807083333333;0.0;-0.2005393162146752;-0.04289802045869824;2.785105451819092e-09;1778489924.9983673;0.01640486717224121;0.0;0.0;2.747741654584752;157.43399999999997;0.0;-0.0;-10.92949910288913;-1.0164625363269735;2.747741654584752;0.48658599721448326;-174.68667598944575;157.43399999999997;27.87932401055432;-10.92949910288913;-1.0164625363269735;0.48658599721448326;10.976663733931662
2026-05-11_10:58:45:312789;1778489925.3086934;150.0;28.424327850341797;0.75;0.24716806826384172;0.75;0.24716806826384172;10.963290415535214;-3.0491713530030107;-11.130038419103805;-1.0593605567856716;59.908544633333335;10.719806233333333;0.0;59.908544633333335;10.719806233333333;0.0;1778489925.3086934;169.765;0.0;0.37;-0.486;1.486;157.348;0.31;1.565;0.456;59.90854655;10.719807083333333;0.0;-0.21353723572855696;-0.047560848971372735;3.6373355993823964e-09;1778489925.2033513;0.10534214973449707;0.0;0.0;2.746240671428038;157.348;0.0;-0.0;-10.916501183375248;-1.0117997078142988;2.746240671428038;0.48777328274853815;-174.7046495392674;157.348;27.947350460732604;-10.916501183375248;-1.0117997078142988;0.48777328274853815;10.963290415535214
