;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-11_11:20:05:303497;1778491205.303498;0.0;0.0;0.0;0.0;0.0;0.0;10.022992183088219;2.1150425128054793;-5.182210720317286;8.552467015442303;59.908518783333335;10.719612466666668;0.0;59.908518783333335;10.719612466666668;0.0;1778491205.303498;-74.905;0.0;0.35;0.016;1.474;121.217;2.054;-2.968;0.135;59.90851871666667;10.719612866666667;0.0;0.007427382623080412;-0.022381593294589257;-2.0817463915884238e-09;1778491205.2463174;0.05718064308166504;0.0;0.0;2.115635759389967;121.21700000000004;0.0;-0.0;-5.189638102940367;8.574848608736893;2.115635759389967;-0.0005932465844877832;121.18300947449833;121.21700000000004;-0.03399052550170119;-5.189638102940367;8.574848608736893;-0.0005932465844877832;10.022992183088219
2026-05-11_11:20:08:349444;1778491208.3489053;150.0;33.934226989746094;0.75;0.2950802346934443;0.75;0.2950802346934443;10.33574059452447;2.121329139462034;-5.310497725548921;8.474733854637543;59.90851958333333;10.7196069;0.0;59.90851958333333;10.7196069;0.0;1778491208.3489053;-103.303;10.600282901559304;0.35;-1.14;0.6;122.978;-1.013;0.799;0.649;59.90851871666667;10.719612866666667;0.0;0.09655598175408663;-0.33385875960236344;8.588045767587982e-09;1778491208.333583;0.015322208404541016;0.24237317492940524;-0.9738192438298661;2.146371007517587;122.97800000000001;-0.948844961199605;0.32674441875088256;-5.407053707303008;8.808592614239906;2.146371007517587;-0.02504186805555264;121.54320664929337;122.97800000000001;-1.4347933507066437;-5.407053707303008;8.808592614239906;-0.02504186805555264;10.33574059452447
2026-05-11_11:20:08:612398;1778491208.6123981;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.357217592589322;2.135281199424709;-5.438784730780556;8.397000693832783;59.908519633333334;10.71960655;0.0;59.908519633333334;10.71960655;0.0;1778491208.6123981;-103.362;0.0;0.35;-0.64;1.389;123.094;3.561;3.803;0.734;59.90851871666667;10.719612866666667;0.0;0.10212652064880956;-0.3534426528797266;9.758223611100458e-09;1778491208.5376134;0.07478475570678711;0.0;0.0;2.1483955894498994;123.09399999999997;0.0;-0.0;-5.540911251429366;8.75044334671251;2.1483955894498994;-0.013114390025190215;122.34260080066811;123.09399999999997;-0.7513991993318646;-5.540911251429366;8.75044334671251;-0.013114390025190215;10.357217592589322
2026-05-11_11:20:08:921900;1778491208.9219003;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.385621703773648;2.1490770992356785;-5.567071736012191;8.319267533028023;59.9085197;10.719606116666666;0.0;59.9085197;10.719606116666666;0.0;1778491208.9178154;-101.388;0.0;0.35;0.374;2.003;123.279;1.806;-0.775;0.81;59.90851871666667;10.719612866666667;0.0;0.10955390480668478;-0.37768937774783273;1.0718646401008947e-08;1778491208.796433;0.12546730041503906;0.0;0.0;2.151624448566089;123.27899999999998;0.0;-0.0;-5.676625640818876;8.696956910775857;2.151624448566089;-0.0025473493304106753;123.13304763442197;123.27899999999998;-0.14595236557800795;-5.676625640818876;8.696956910775857;-0.0025473493304106753;10.385621703773648
2026-05-11_11:20:09:335327;1778491209.3286076;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.433543742642868;2.16209298013262;-5.695358741243826;8.241534372223263;59.9085198;10.71960535;0.0;59.9085198;10.71960535;0.0;1778491209.3286076;-100.146;0.09481843696255098;0.35;0.12;1.209;123.52;-2.846;-4.27;1.413;59.90851871666667;10.719612866666667;0.0;0.12069498331007694;-0.42058742920303743;1.3472720473972633e-08;1778491209.0948915;0.23371601104736328;0.02383465050297817;-0.09177388203308226;2.155830692063396;123.52;-0.08967341518772852;0.030809326454670764;-5.816053724553903;8.6621218014263;2.155830692063396;0.00626228806922402;123.87880267646166;123.52;0.35880267646166547;-5.816053724553903;8.6621218014263;0.00626228806922402;10.433543742642868
2026-05-11_11:20:09:750292;1778491209.750293;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.489357614975173;2.174583623204519;-5.823645746475461;8.163801211418503;59.9085199;10.71960445;0.0;59.9085199;10.71960445;0.0;1778491209.750293;-110.907;0.0;0.35;-1.259;0.366;124.291;-0.832;0.414;2.056;59.90851871666667;10.719612866666667;0.0;0.13183606206147552;-0.47094601146088366;1.852329416934806e-08;1778491209.5414553;0.20883774757385254;0.0;0.0;2.169287180596272;124.29099999999998;0.0;-0.0;-5.955481808536937;8.634747222879387;2.169287180596272;0.00529644260824691;124.5944638078858;124.29099999999998;0.30346380788580957;-5.955481808536937;8.634747222879387;0.00529644260824691;10.489357614975173
2026-05-11_11:20:10:045895;1778491210.0458956;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.543261447355604;2.186314100222175;-5.951932751707096;8.086068050613743;59.90851993333333;10.719603533333334;0.0;59.90851993333333;10.719603533333334;0.0;1778491210.0458956;-115.308;0.23771946899424992;0.35;-0.382;0.731;124.977;4.088;1.037;1.959;59.90851871666667;10.719612866666667;0.0;0.1355497605154508;-0.5222371606737654;2.162132710370468e-08;1778491209.9435997;0.1022958755493164;0.018151745439487707;-0.23702544183358792;2.1812601392649533;124.977;-0.20461987810454246;0.1210010389351667;-6.087482512222547;8.608305211287508;2.1812601392649533;0.005053960957221548;125.2665706326727;124.977;0.2895706326726923;-6.087482512222547;8.608305211287508;0.005053960957221548;10.543261447355604
2026-05-11_11:20:10:456535;1778491210.4565356;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.592646361610406;2.1978980976079403;-6.080219756938731;8.008334889808983;59.90851993333333;10.7196027;0.0;59.90851993333333;10.7196027;0.0;1778491210.4565356;-117.644;0.0;0.35;-0.147;1.807;126.076;-2.947;1.696;3.597;59.90851871666667;10.719612866666667;0.0;0.13554976747308112;-0.568865478698886;2.565314237423788e-08;1778491210.417051;0.039484500885009766;0.0;0.0;2.200441307744371;126.07600000000001;0.0;-0.0;-6.215769524411812;8.577200368507869;2.200441307744371;-0.0025432101364306625;125.93028479276764;126.07600000000001;-0.14571520723236725;-6.215769524411812;8.577200368507869;-0.0025432101364306625;10.592646361610406
2026-05-11_11:20:10:643045;1778491210.6430457;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.628109292749285;2.2102264925534034;-6.208506762170366;7.930601729004224;59.90851991666667;10.719602183333333;0.0;59.90851991666667;10.719602183333333;0.0;1778491210.6430457;-127.386;0.0;0.35;-0.147;1.807;126.076;-2.947;1.696;3.597;59.90851871666667;10.719612866666667;0.0;0.13369292660989296;-0.59777503602318;2.7336201198491228e-08;1778491210.6250598;0.017985820770263672;0.0;0.0;2.200441307744371;126.07600000000001;0.0;-0.0;-6.3421996887802585;8.528376765027405;2.200441307744371;0.009785184809032454;126.63664979131309;126.07600000000001;0.5606497913130861;-6.3421996887802585;8.528376765027405;0.009785184809032454;10.628109292749285
2026-05-11_11:20:11:079310;1778491211.0793107;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.681369341459156;2.2165178284282683;-6.336793767402001;7.852868568199465;59.90851953333333;10.71960075;0.0;59.90851953333333;10.71960075;0.0;1778491211.0793107;-140.802;0.0;0.35;-0.795;0.933;133.262;0.195;1.951;21.168;59.90851871666667;10.719612866666667;0.0;0.09098549248828858;-0.677975750787246;3.5100499680418284e-08;1778491211.054183;0.025127649307250977;0.0;0.0;2.325860667792684;133.26200000000003;0.0;-0.0;-6.427779259890289;8.530844318986711;2.325860667792684;-0.10934283936441558;126.9971167844421;133.26200000000003;-6.2648832155579335;-6.427779259890289;8.530844318986711;-0.10934283936441558;10.681369341459156
