;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-11_11:14:37:462791;1778490877.4627912;0.0;0.0;0.0;0.0;0.0;0.0;10.011366696860005;2.1601076650015356;-5.560490329619673;8.311494889260661;59.908566633333336;10.719697483333334;0.0;59.908566633333336;10.719697483333334;0.0;1778490877.4627912;-46.481;0.0;0.36;-0.814;1.266;124.445;-1.341;1.919;2.954;59.9085666;10.719697683333333;0.0;0.003713690840372059;-0.011190780503269677;-1.1195022534861432e-10;1778490877.4006078;0.062183380126953125;0.0;0.0;2.1719749876443437;124.44500000000002;0.0;-0.0;-5.5642040204600445;8.322685669763931;2.1719749876443437;-0.011867322642808098;123.76505249844708;124.44500000000002;-0.6799475015529421;-5.5642040204600445;8.322685669763931;-0.011867322642808098;10.011366696860005
2026-05-11_11:14:40:622731;1778490880.6227312;150.0;-16.427011489868164;0.75;-0.14284357817276663;0.75;-0.14284357817276663;10.256380641043455;2.1738486374028576;-5.685162752958583;8.228087534316366;59.90856778333333;10.719693766666667;0.0;59.90856778333333;10.719693766666667;0.0;1778490880.6227312;-38.964;0.1526712530381697;0.36;-0.638;1.42;130.255;0.21;-1.315;1.806;59.9085666;10.719697683333333;0.0;0.13183603876618094;-0.21915277900748312;5.714233565490279e-09;1778490880.542397;0.08033418655395508;0.023114034077134478;-0.15091140756392715;2.273378617185214;130.25500000000002;-0.13010804786961616;0.07987745228662675;-5.816998791724764;8.44724031332385;2.273378617185214;-0.09952997978235656;124.55235222344857;130.25500000000002;-5.7026477765514425;-5.816998791724764;8.44724031332385;-0.09952997978235656;10.256380641043455
2026-05-11_11:14:40:835834;1778490880.8358347;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.267409348920108;2.1881424646337733;-5.809835176297493;8.14468017937207;59.9085678;10.719693616666667;0.0;59.9085678;10.719693616666667;0.0;1778490880.8358347;-38.575;0.0;0.36;-0.56;1.003;130.596;0.559;-2.308;1.767;59.9085666;10.719697683333333;0.0;0.13369288531035506;-0.22754586387187106;5.77139114971148e-09;1778490880.8358347;0.0;0.0;0.0;2.279330189934514;130.59599999999998;0.0;-0.0;-5.943528061607847;8.372226043243941;2.279330189934514;-0.09118772530074093;125.37132819686921;130.59599999999998;-5.224671803130771;-5.943528061607847;8.372226043243941;-0.09118772530074093;10.267409348920108
2026-05-11_11:14:41:248765;1778490881.2487652;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.284981847530595;2.2025335204375502;-5.934507599636403;8.061272824427775;59.90856785;10.719693416666667;0.0;59.90856785;10.719693416666667;0.0;1778490881.2330034;-35.281;0.0;0.36;-0.422;0.713;131.053;0.35;0.269;1.674;59.9085666;10.719697683333333;0.0;0.13926342263520716;-0.23873664382270207;5.68200702460997e-09;1778490881.030987;0.21777820587158203;0.0;0.0;2.2873063446161286;131.053;0.0;-0.0;-6.07377102227161;8.300009468250476;2.2873063446161286;-0.08477282417857834;126.19587495716287;131.053;-4.857125042837119;-6.07377102227161;8.300009468250476;-0.08477282417857834;10.284981847530595
2026-05-11_11:14:41:636310;1778490881.6363108;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.315850100567317;2.216957569039256;-6.059180022975313;7.977865469483479;59.908567966666666;10.719693066666666;0.0;59.908567966666666;10.719693066666666;0.0;1778490881.6363108;-43.045;0.0;0.36;-0.464;1.355;131.675;0.23;0.503;1.557;59.9085666;10.719697683333333;0.0;0.1522613423838264;-0.25832050838759674;5.799289395924667e-09;1778490881.438657;0.19765377044677734;0.0;0.0;2.298162292563534;131.67500000000004;0.0;-0.0;-6.211441365359139;8.236185977871076;2.298162292563534;-0.08120472352427788;127.02231206553219;131.67500000000004;-4.652687934467835;-6.211441365359139;8.236185977871076;-0.08120472352427788;10.315850100567317
2026-05-11_11:14:41:825103;1778490881.8251035;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.343895036246769;2.230528490225258;-6.183852446314223;7.894458114539184;59.908568;10.7196927;0.0;59.908568;10.7196927;0.0;1778490881.8185644;-41.929;0.0;0.36;-0.384;1.172;132.023;0.368;-2.039;2.075;59.9085666;10.719697683333333;0.0;0.15597503556788433;-0.27883693830596146;8.121849984221718e-09;1778490881.8185644;0.006539106369018555;0.0;0.0;2.3042360383604734;132.023;0.0;-0.0;-6.339827481882107;8.173295052845145;2.3042360383604734;-0.07370754813521563;127.79986857359476;132.023;-4.223131426405216;-6.339827481882107;8.173295052845145;-0.07370754813521563;10.343895036246769
2026-05-11_11:14:42:086807;1778490882.0868077;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.37220757651311;2.244835855841475;-6.308524869653133;7.811050759594888;59.908568083333336;10.71969245;0.0;59.908568083333336;10.71969245;0.0;1778490882.0868077;-24.681;0.0;0.36;-0.824;0.615;132.831;-1.977;0.331;1.723;59.9085666;10.719697683333333;0.0;0.16525926302297778;-0.29282541257031797;9.66179262984479e-09;1778490882.069781;0.017026662826538086;0.0;0.0;2.318338298716588;132.83100000000002;0.0;-0.0;-6.47378413267611;8.103876172165206;2.318338298716588;-0.07350244287511298;128.61962023935462;132.83100000000002;-4.211379760645403;-6.47378413267611;8.103876172165206;-0.07350244287511298;10.37220757651311
2026-05-11_11:14:42:362106;1778490882.3621068;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.413831766149517;2.2591013468125345;-6.433197292992043;7.727643404650593;59.908568233333334;10.71969205;0.0;59.90856816666667;10.71969225;0.0;1778490882.3621068;-30.462;0.0;0.36;-1.115;0.921;133.186;-0.61;2.087;2.141;59.9085666;10.719697683333333;0.0;0.18197087425034073;-0.3152069714765069;1.0037048372990576e-08;1778490882.3621068;0.0;0.0;0.0;2.324534217561168;133.186;0.0;-0.0;-6.615168167242383;8.042850376127099;2.324534217561168;-0.06543287074863358;129.4369726646783;133.186;-3.749027335321723;-6.615168167242383;8.042850376127099;-0.06543287074863358;10.413831766149517
2026-05-11_11:14:42:582600;1778490882.582601;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.445153657836359;2.2730911345235545;-6.557869716330953;7.644236049706297;59.9085683;10.7196918;0.0;59.9085683;10.7196918;0.0;1778490882.582601;-59.052;0.9467618684131155;0.36;-0.897;1.405;133.682;2.177;2.308;2.949;59.9085666;10.719697683333333;0.0;0.18939825815294187;-0.3291954459746106;1.110066960574585e-08;1778490882.5658724;0.016728639602661133;0.44399210449961635;-0.8361991668395116;2.3331910506510596;133.682;-0.9113714678410173;0.25643728879864797;-6.747267974483895;7.973431495680908;2.3331910506510596;-0.06009991612750509;130.23852845680372;133.682;-3.443471543196272;-6.747267974483895;7.973431495680908;-0.06009991612750509;10.445153657836359
2026-05-11_11:14:42:872673;1778490882.8726735;150.0;110.0;0.75;0.9565217391304348;0.75;0.9565217391304348;10.475554729235402;2.2865350088350387;-6.682542139669863;7.560828694762002;59.90856831666667;10.719691533333334;0.0;59.90856831666667;10.719691533333334;0.0;1778490882.8726735;-126.168;0.0;0.36;0.259;1.889;135.247;1.899;0.522;5.589;59.9085666;10.719697683333333;0.0;0.1912551062307318;-0.34411648578514736;1.2046526873255026e-08;1778490882.7903636;0.08230996131896973;0.0;0.0;2.3605054534447714;135.24700000000004;0.0;-0.0;-6.873797245900595;7.904945180547149;2.3605054534447714;-0.07397044460973268;131.00880571515611;135.24700000000004;-4.238194284843912;-6.873797245900595;7.904945180547149;-0.07397044460973268;10.475554729235402
