;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-12_14:40:42:738756;1778589642.7387567;0.0;0.0;0.0;0.0;0.0;0.0;10.049546471368988;2.6875757815201005;-9.001743938040809;4.3552963244704195;59.9085443;10.719719866666667;0.0;59.9085443;10.719719866666667;0.0;1778589642.7387567;-40.291;0.43437318293218125;0.15;-1.608;1.38;154.648;-5.276;0.441;3.029;59.908544033333335;10.7197208;0.0;0.029709528011504182;-0.052223677836609764;7.886282807345601e-10;1778589642.6709626;0.0677940845489502;0.246505425229229;-0.3576522576235065;2.699116781624191;154.64800000000002;-0.375904454793185;0.21766006275215574;-9.031453466052312;4.407520002307029;2.699116781624191;-0.01154100010409076;153.98674940267557;154.64800000000002;-0.6612505973244442;-9.031453466052312;4.407520002307029;-0.01154100010409076;10.049546471368988
2026-05-12_14:40:45:875530;1778589645.87553;150.0;13.79958021229711;0.75;0.11999634967214878;0.75;0.11999634967214878;10.370199443385166;2.669139000728145;-9.067073382907866;4.220270165399807;59.90854553333333;10.719711883333334;0.0;59.90854553333333;10.719711883333334;0.0;1778589645.8596382;-29.17;0.0;0.15;1.126;1.765;161.386;-2.556;-3.621;2.039;59.908544033333335;10.7197208;0.0;0.16711613061739372;-0.4989226176814392;2.315443477229895e-08;1778589645.7796671;0.09586286544799805;0.0;0.0;2.8167170666235686;161.386;0.0;-0.0;-9.23418951352526;4.719192783081246;2.8167170666235686;-0.14757806589542355;152.93039967548867;161.386;-8.455600324511321;-9.23418951352526;4.719192783081246;-0.14757806589542355;10.370199443385166
2026-05-12_14:40:46:181650;1778589646.1816506;113.17838287353516;68.74772644042969;0.5658919143676758;0.5978063168733017;0.5658919143676758;0.5978063168733017;10.40908045126556;2.680852131378292;-9.132402827774923;4.085244006329194;59.90854575;10.7197111;0.0;59.90854575;10.7197111;0.0;1778589646.1816506;-39.971;0.0;0.15;-1.784;0.334;162.535;-5.291;-0.548;3.375;59.908544033333335;10.7197208;0.0;0.1912551295350447;-0.5427531993753809;2.5531731909222977e-08;1778589646.0811675;0.10048317909240723;0.0;0.0;2.8367708997289833;162.535;0.0;-0.0;-9.323657957309967;4.627997205704576;2.8367708997289833;-0.1559187683506913;153.60151262662743;162.535;-8.933487373372566;-9.323657957309967;4.627997205704576;-0.1559187683506913;10.40908045126556
2026-05-12_14:40:46:491850;1778589646.4918501;150.0;46.74396646433863;0.75;0.4064692736029446;0.75;0.4064692736029446;10.46038041621838;2.6907064180200857;-9.19773227264198;3.9502178472585823;59.90854598333333;10.719709933333334;0.0;59.90854598333333;10.719709933333334;0.0;1778589646.4918501;-39.834;5.843585828553881;0.15;-1.359;1.142;163.394;5.372;3.029;2.366;59.908544033333335;10.7197208;0.0;0.21725097665457957;-0.6080327894956319;3.2887315759566604e-08;1778589646.4852746;0.006575584411621094;0.0;0.0;2.851763278003615;163.394;0.0;-0.0;-9.41498324929656;4.558250636754214;2.851763278003615;-0.16105685998352914;154.16612166131435;163.394;-9.227878338685658;-9.41498324929656;4.558250636754214;-0.16105685998352914;10.46038041621838
2026-05-12_14:40:46:792325;1778589646.7923253;148.7373504638672;61.91164871741985;0.7436867523193359;0.5383621627601726;0.7436867523193359;0.5383621627601726;10.486627818343353;2.702829350318739;-9.263061717509038;3.81519168818797;59.9085461;10.719709366666667;0.0;59.9085461;10.719709366666667;0.0;1778589646.7923253;-32.136;0.0;0.15;-0.029;1.336;163.999;2.798;-1.034;2.505;59.908544033333335;10.7197208;0.0;0.23024890039392631;-0.6397400186357706;3.5054582361859765e-08;1778589646.6609445;0.13138079643249512;0.0;0.0;2.8623225199781803;163.999;0.0;-0.0;-9.493310617902964;4.454931706823741;2.8623225199781803;-0.1594931696594415;154.86071451735;163.999;-9.13828548264999;-9.493310617902964;4.454931706823741;-0.1594931696594415;10.486627818343353
2026-05-12_14:40:46:997039;1778589646.9970396;150.0;51.35944497996363;0.75;0.44660386939098806;0.75;0.44660386939098806;10.505479706744921;2.7154786301043066;-9.328391162376095;3.680165529117358;59.90854616666667;10.719708966666667;0.0;59.90854616666667;10.719708966666667;0.0;1778589646.9970396;-28.576;0.0;0.15;0.079;1.222;164.193;0.37;-1.542;2.529;59.908544033333335;10.7197208;0.0;0.2376762858731461;-0.6621215922480215;3.8880800926066605e-08;1778589646.9940152;0.0030243396759033203;0.0;0.0;2.86570845872705;164.193;0.0;-0.0;-9.56606744824924;4.34228712136538;2.86570845872705;-0.15022982862274326;155.58546486294318;164.193;-8.607535137056841;-9.56606744824924;4.34228712136538;-0.15022982862274326;10.505479706744921
2026-05-12_14:40:47:296127;1778589647.296128;105.85072326660156;67.91930862952923;0.5292536163330078;0.5906026837350368;0.5292536163330078;0.5906026837350368;10.539935912128174;2.726824335232559;-9.393720607243152;3.545139370046746;59.9085463;10.71970825;0.0;59.9085463;10.71970825;0.0;1778589647.296128;-33.686;0.29755261633238195;0.15;-0.344;0.891;165.088;-1.598;-0.432;2.103;59.908544033333335;10.7197208;0.0;0.25253105743102305;-0.7022219112124614;4.4727816242429164e-08;1778589647.220446;0.07568192481994629;0.12267435350340783;-0.271087739447517;2.8813291555323985;165.088;-0.1883033652362332;0.23038967452330347;-9.646251664674175;4.247361281259208;2.8813291555323985;-0.15450482029983936;156.23552588239198;165.088;-8.852474117608002;-9.646251664674175;4.247361281259208;-0.15450482029983936;10.539935912128174
2026-05-12_14:40:47:509167;1778589647.5091674;119.0515365600586;68.32181338606209;0.595257682800293;0.5941027250961921;0.595257682800293;0.5941027250961921;10.568181618847529;2.7393241752052035;-9.459050052110209;3.410113210976134;59.90854641666667;10.7197078;0.0;59.90854641666667;10.7197078;0.0;1778589647.5091674;-44.924;0.0;0.15;-0.547;0.731;165.839;0.526;-0.216;3.005;59.908544033333335;10.7197208;0.0;0.26552898193833535;-0.7274011804780226;4.626371193083845e-08;1778589647.4887683;0.020399093627929688;0.0;0.0;2.8944365782148758;165.83899999999997;0.0;-0.0;-9.724579034048544;4.137514391454157;2.8944365782148758;-0.15511240300967222;156.95171395741343;165.83899999999997;-8.887286042586545;-9.724579034048544;4.137514391454157;-0.15511240300967222;10.568181618847529
2026-05-12_14:40:47:832871;1778589647.8328714;130.7013702392578;67.75909949993265;0.653506851196289;0.5892095608689796;0.653506851196289;0.5892095608689796;10.59504599734087;2.7510671440478114;-9.524379496977266;3.2750870519055217;59.90854648333333;10.71970725;0.0;59.90854648333333;10.71970725;0.0;1778589647.8328714;-51.764;0.21079733936611675;0.15;-0.547;0.731;165.839;0.526;-0.216;3.005;59.908544033333335;10.7197208;0.0;0.2729563703460963;-0.7581758441412957;5.178696302343688e-08;1778589647.682688;0.15018343925476074;0.049455442255265346;-0.20491382948734502;2.8944365782148758;165.83899999999997;-0.09808424082176725;0.18658778091356937;-9.797335867323362;4.033262896046818;2.8944365782148758;-0.14336943416706438;157.6245365110485;165.83899999999997;-8.214463488951493;-9.797335867323362;4.033262896046818;-0.14336943416706438;10.59504599734087
2026-05-12_14:40:48:152518;1778589648.1521256;150.0;44.89585060908877;0.75;0.39039870094859797;0.75;0.39039870094859797;10.632743931680118;2.759132847995306;-9.589708941844323;3.1400608928349096;59.9085465;10.719706;0.0;59.9085465;10.719706;0.0;1778589648.1521256;-57.171;1.5551403775217751;0.15;-1.02;2.489;168.371;-5.369;4.0;6.259;59.908544033333335;10.7197208;0.0;0.27481323053789053;-0.8281182648216668;6.04839930362644e-08;1778589648.1305046;0.021620988845825195;0.08588194086043291;-1.5527671705805004;2.9386283148753733;168.37100000000004;-0.3971161006744729;1.503582520643157;-9.864522172382214;3.9681791576565764;2.9386283148753733;-0.17949546688006723;158.08666730604193;168.37100000000004;-10.284332693958103;-9.864522172382214;3.9681791576565764;-0.17949546688006723;10.632743931680118
