;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-11_11:47:56:698460;1778492876.6984603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.908543216666665;10.719745266666667;0.0;59.908543216666665;10.719745266666667;0.0;1778492876.6984603;144.628;0.2964963397329286;0.33;-0.715;0.79;148.759;2.429;-0.219;1.137;59.90854336666666;10.7197452;0.0;-0.01671160896323777;0.0037302630199137214;-4.57807688460099e-10;1778492876.6407096;0.057750701904296875;0.0;0.0;2.596334341974245;148.75900000000001;0.0;-0.0;;;;;;;
2026-05-11_11:48:00:963377;1778492879.940813;132.7320818515525;9.323528831830393;0.6636604092577625;0.08107416375504689;0.6636604092577625;0.08107416375504689;11.163380056820301;3.0601929547083397;-11.143128300975683;0.9114228809914868;59.90854038333333;10.719746083333334;0.0;59.90854038333333;10.719746083333334;0.0;1778492879.940813;145.456;0.0;0.33;-0.61;0.821;151.799;-2.735;-2.21;0.882;59.908540566666666;10.7197461;0.0;-0.02042530265909341;-0.0009325658003415394;-1.9905002299203112e-10;1778492879.883331;0.057482004165649414;0.0;0.0;2.649392351234873;151.79900000000004;0.0;-0.0;-11.126416692012445;0.9076926179715731;2.596334341974245;0.4638586127340947;175.33614080045695;148.75900000000001;26.577140800456927
2026-05-11_11:48:01:020507;1778492880.9633777;128.99236609279413;11.34297291477669;0.6449618304639706;0.09863454708501469;0.6449618304639706;0.09863454708501469;11.160058890975959;3.05974946694138;-11.143128300975683;0.9114228809914868;59.9085396;10.7197464;0.0;59.9085396;10.7197464;0.0;1778492880.9633777;141.929;0.08708719901552006;0.33;-0.066;1.166;152.152;0.492;0.217;0.621;59.908540566666666;10.7197461;0.0;-0.10769704177969885;0.016786184407490884;1.6860311549682372e-09;1778492879.940813;1.0225646495819092;-0.08534593793779963;0.017327755477442915;2.6555533634944126;152.15200000000002;0.08355629204415853;0.024546410984094758;-11.122702998316589;0.9123554467918283;2.649392351234873;0.4103571157065069;175.31073082314447;151.79900000000004;23.51173082314443
2026-05-11_11:48:01:160248;1778492881.0851648;127.40390863273466;12.200733343829107;0.6370195431636733;0.10609333342460094;0.6370195431636733;0.10609333342460094;11.071635737112857;3.060700077702525;-11.143128300975683;0.9114228809914868;59.90853943333333;10.719746483333333;0.0;59.90853943333333;10.719746483333333;0.0;1778492881.0851648;148.686;0.15720025840856097;0.33;-0.117;1.198;152.324;-0.305;0.032;0.873;59.908540566666666;10.7197461;0.0;-0.12626549572689227;0.021449013561694097;1.491200316006136e-09;1778492880.9633777;0.12178707122802734;-0.15246654476505866;0.038286733617830346;2.658555329807843;152.32400000000004;0.15280566469585408;0.03691002682980005;-11.035431259195983;0.8946366965839959;2.6555533634944126;0.40514671420811244;175.3651968077178;152.15200000000002;23.213196807717786
2026-05-11_11:48:01:289639;1778492881.213266;133.03130659723334;9.161958035958607;0.6651565329861667;0.07966920031268354;0.6651565329861667;0.07966920031268354;11.052751673424233;3.0609848184869035;-11.143128300975683;0.9114228809914868;59.90853943333333;10.719746483333333;0.0;59.90853943333333;10.719746483333333;0.0;1778492881.213266;151.294;0.0;0.33;-0.132;1.198;152.353;-0.314;-0.018;0.835;59.908540566666666;10.7197461;0.0;-0.12626549572689227;0.021449013561694097;1.491200316006136e-09;1778492881.0851648;0.12810111045837402;0.0;0.0;2.6590614752909207;152.35299999999998;0.0;-0.0;-11.01686280524879;0.8899738674297928;2.658555329807843;0.4024294886790605;175.38151125291793;152.32400000000004;23.05751125291791
2026-05-11_11:48:01:382333;1778492881.3166173;123.848039991907;14.120863154430348;0.619240199959535;0.12279011438635085;0.619240199959535;0.12279011438635085;11.052751673424233;3.0609848184869035;-11.143128300975683;0.9114228809914868;59.908539266666665;10.719746516666667;0.0;59.908539266666665;10.719746516666667;0.0;1778492881.3166173;155.149;0.18056749609423814;0.33;-0.19;1.179;152.431;-0.485;-0.264;0.729;59.908540566666666;10.7197461;0.0;-0.14483395340943542;0.023314145231965788;2.3609829924442494e-09;1778492881.213266;0.10335135459899902;-0.17966341858399776;0.018046514024981686;2.6604228321074768;152.431;0.16761560122784397;0.06715378523040258;-11.01686280524879;0.8899738674297928;2.6590614752909207;0.4019233431959828;175.38151125291793;152.35299999999998;23.028511252917944
2026-05-11_11:48:01:495037;1778492881.4258099;132.88844422408414;9.239108248680356;0.6644422211204207;0.08034007172765527;0.6644422211204207;0.08034007172765527;11.034093333040103;3.0610178010507934;-11.143128300975683;0.9114228809914868;59.908539266666665;10.719746516666667;0.0;59.908539266666665;10.719746516666667;0.0;1778492881.4258099;154.985;0.0;0.33;-0.19;1.179;152.431;-0.485;-0.264;0.729;59.908540566666666;10.7197461;0.0;-0.14483395340943542;0.023314145231965788;2.3609829924442494e-09;1778492881.3166173;0.1091926097869873;0.0;0.0;2.6604228321074768;152.431;0.0;-0.0;-10.998294347566247;0.888108735759521;2.6604228321074768;0.4005949689433166;175.38340101462634;152.431;22.95240101462633
2026-05-11_11:48:01:622195;1778492881.552068;123.0179436689179;14.570235178015002;0.6150897183445895;0.12669769720013047;0.6150897183445895;0.12669769720013047;11.034093333040103;3.0610178010507934;-11.143128300975683;0.9114228809914868;59.90853908333333;10.719746466666667;0.0;59.90853908333333;10.719746466666667;0.0;1778492881.552068;152.192;0.16328462844536565;0.33;-0.423;1.072;152.56;-1.564;-0.76;0.721;59.908540566666666;10.7197461;0.0;-0.1652592530930379;0.020516447993649867;2.8097801307858106e-09;1778492881.4258099;0.12625813484191895;-0.16177412813183017;-0.022158550352567523;2.6626743068425487;152.55999999999997;0.13336245832059776;0.09421424837691962;-10.998294347566247;0.888108735759521;2.6604228321074768;0.4005949689433166;175.38340101462634;152.431;22.95240101462633
2026-05-11_11:48:01:709813;1778492881.65423;121.04352800154071;15.636417701759816;0.6052176400077035;0.13596884958052013;0.6052176400077035;0.13596884958052013;11.01396037330881;3.0606153476506313;-11.143128300975683;0.9114228809914868;59.908538883333335;10.719746433333334;0.0;59.908538883333335;10.719746433333334;0.0;1778492881.65423;143.322;0.21886849894164206;0.33;-0.69;0.962;152.629;-2.368;-1.005;0.657;59.908540566666666;10.7197461;0.0;-0.1875413992035706;0.01865131656928899;2.425669651251461e-09;1778492881.552068;0.10216212272644043;-0.21810574717792044;-0.018256584481463275;2.663878584026425;152.629;0.1852949447442084;0.11648692321976961;-10.977869047882646;0.890906432997837;2.6626743068425487;0.39794104080808257;175.36034213334636;152.55999999999997;22.800342133346394
2026-05-11_11:48:01:822184;1778492881.7641437;132.74899814159676;9.314419814001436;0.6637449907079838;0.08099495490436032;0.6637449907079838;0.08099495490436032;10.991902721027035;3.06028224821826;-11.143128300975683;0.9114228809914868;59.908538883333335;10.719746433333334;0.0;59.908538883333335;10.719746433333334;0.0;1778492881.7641437;140.652;0.0;0.33;-1.01;0.845;152.688;-2.607;-0.953;0.511;59.908540566666666;10.7197461;0.0;-0.1875413992035706;0.01865131656928899;2.425669651251461e-09;1778492881.65423;0.10991358757019043;0.0;0.0;2.664908328285102;152.688;0.0;-0.0;-10.955586901772111;0.8927715644221978;2.663878584026425;0.39640366419183515;175.3412569417133;152.629;22.712256941713314
2026-05-11_11:48:01:927802;1778492881.872139;125.54472057920158;13.204699607349543;0.6277236028960079;0.11482347484651777;0.6277236028960079;0.11482347484651777;10.991902721027035;3.06028224821826;-11.143128300975683;0.9114228809914868;59.90853873333333;10.719746483333333;0.0;59.90853873333333;10.719746483333333;0.0;1778492881.872139;133.262;0.15689736544641206;0.33;-1.208;0.787;152.709;-2.29;-0.712;0.327;59.908540566666666;10.7197461;0.0;-0.2042530091877898;0.021449014012353197;2.7123238655057946e-09;1778492881.7641437;0.10799527168273926;-0.1547439042823408;0.025905740126133326;2.6652748474280212;152.70900000000003;0.14939728674749925;0.04792946897797317;-10.955586901772111;0.8927715644221978;2.664908328285102;0.3953739199331583;175.3412569417133;152.688;22.653256941713302
2026-05-11_11:48:02:030604;1778492881.982217;131.76551403773522;9.845516128397117;0.6588275701886761;0.08561318372519232;0.6588275701886761;0.08561318372519232;10.97501918600571;3.060412646462214;-11.143128300975683;0.9114228809914868;59.90853873333333;10.719746483333333;0.0;59.90853873333333;10.719746483333333;0.0;1778492881.982217;131.276;0.0;0.33;-1.387;0.75;152.709;-0.921;-0.135;0.015;59.908540566666666;10.7197461;0.0;-0.2042530091877898;0.021449014012353197;2.7123238655057946e-09;1778492881.872139;0.11007809638977051;0.0;0.0;2.6652748474280212;152.70900000000003;0.0;-0.0;-10.938875291787893;0.8899738669791336;2.6652748474280212;0.39513779903419266;175.34872821074777;152.70900000000003;22.639728210747737
2026-05-11_11:48:02:170200;1778492882.1096349;129.46438417311703;11.088142840577408;0.6473219208655852;0.09641863339632528;0.6473219208655852;0.09641863339632528;10.97501918600571;3.060412646462214;-11.143128300975683;0.9114228809914868;59.9085386;10.7197466;0.0;59.9085386;10.7197466;0.0;1778492882.1096349;130.89;0.12734368896040457;0.33;-1.385;0.769;152.69;1.184;0.564;-0.158;59.908540566666666;10.7197461;0.0;-0.21910777385687757;0.027976974934287746;4.26401197684001e-09;1778492881.982217;0.12741780281066895;-0.11658311744050855;0.05123272241348012;2.664943234870142;152.69000000000003;0.12709424398904454;0.007966697113442445;-10.938875291787893;0.8899738669791336;2.6652748474280212;0.39513779903419266;175.34872821074777;152.70900000000003;22.639728210747737
2026-05-11_11:48:02:288514;1778492882.2232907;131.41459495334342;10.03501576809414;0.6570729747667171;0.08726100667907949;0.6570729747667171;0.08726100667907949;10.959685266732901;3.0608964082435985;-11.143128300975683;0.9114228809914868;59.9085386;10.7197466;0.0;59.9085386;10.7197466;0.0;1778492882.2232907;135.612;0.0;0.33;-1.028;0.911;152.65;3.339;1.103;-0.099;59.908540566666666;10.7197461;0.0;-0.21910777385687757;0.027976974934287746;4.26401197684001e-09;1778492882.1096349;0.11365580558776855;0.0;0.0;2.6642451031693444;152.65000000000003;0.0;-0.0;-10.924020527118804;0.8834459060571991;2.664943234870142;0.3959531733734565;175.37644571911085;152.69000000000003;22.68644571911082
