;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_13:01:12:948748;1777978872.9487488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.90850115;10.719670616666667;0.0;59.90850115;10.719670616666667;0.0;1777978872.9487488;41.047;0.0;0;-3.817;1.491;154.066;-1.168;-7.407;-4.677;59.90850115;10.719670616666667;0.0;0.0;0.0;-0.0;1777978872.8760335;0.07271528244018555;0.0;0.0;0.0;-0.0;;;
2026-05-05_13:01:15:968110;1777978875.9681108;61.8762705678277;18.125331182302617;0.30938135283913853;0.1576115754982836;0.30938135283913853;0.1576115754982836;11.20714887862526;-3.1252790237955064;-11.179661770676855;-0.1231368883254449;59.90850138333333;10.719671683333333;0.0;59.90850138333333;10.719671683333333;0.0;1777978875.9681108;54.601;0.021560812925932916;0.67;-3.678;-0.739;152.867;3.749;-3.057;-3.598;59.90850115;10.719670616666667;0.0;0.0259958364448358;0.0596842801075528;1.2514668867175116e-09;1777978872.9487488;3.019361972808838;0.0;0.0;0.0;-0.0;-11.20565760712169;-0.1828211684329977;2.6680324676461717
2026-05-05_13:01:16:086461;1777978876.0864618;61.0360124247714;23.249770056524344;0.305180062123857;0.2021719135349943;0.305180062123857;0.2021719135349943;11.252152704524288;-3.115645240710038;-11.179661770676855;-0.1231368883254449;59.90850176666667;10.719673633333333;0.0;59.90850176666667;10.719673633333333;0.0;1777978876.0864618;67.806;0.9900278463140011;0.67;1.078;-0.037;150.751;14.119;4.106;-5.452;59.90850115;10.719670616666667;0.0;0.06870328786654463;0.16879460307831037;3.6894848183532947e-09;1777978875.9681108;0.11835098266601562;0.0;0.0;0.0;-0.0;-11.2483650585434;-0.2919314914037553;2.631101300673972
2026-05-05_13:01:16:201384;1777978876.1999283;60.29887231005719;24.1498875296133;0.30149436155028597;0.2099990219966374;0.30149436155028597;0.2099990219966374;11.268533663356251;-3.110881047289457;-11.179661770676855;-0.1231368883254449;59.9085019;10.7196746;0.0;59.9085019;10.7196746;0.0;1777978876.1999283;60.775;0.49434527023807023;0.67;2.21;2.306;149.005;-6.218;8.247;-5.274;59.90850115;10.719670616666667;0.0;0.0835580543330795;0.22288348057820195;3.7111975575987444e-09;1777978876.0864618;0.11346650123596191;0.0;0.0;0.0;-0.0;-11.263219825009935;-0.34602036890364685;2.600627851934151
2026-05-05_13:01:16:317765;1777978876.317766;0.0;27.20837239700478;0.0;0.23659454258265025;0.0;0.23659454258265025;11.307851698850607;-3.1009200015387566;-11.179661770676855;-0.1231368883254449;59.90850221666667;10.719676633333334;0.0;59.90850221666667;10.719676633333334;0.0;1777978876.317766;39.328;1.010862240973453;0.67;-0.78;3.88;146.708;-3.426;-1.939;-6.599;59.90850115;10.719670616666667;0.0;0.11883812795210506;0.3366566347693925;1.0899870971081693e-08;1777978876.1999283;0.11783766746520996;0.0;0.0;0.0;-0.0;-11.29849989862896;-0.4597935230948374;2.560537639015841
2026-05-05_13:01:16:424245;1777978876.4242456;0.0;28.985083966108327;0.0;0.252044208400942;0.0;0.252044208400942;11.363196702609246;-3.0942998994468818;-11.179661770676855;-0.1231368883254449;59.90850268333333;10.719678016666666;0.0;59.90850268333333;10.719678016666666;0.0;1777978876.4242456;17.552;0.8756939943195188;0.67;0.261;-0.268;144.588;4.515;-15.06;-4.899;59.90850115;10.719670616666667;0.0;0.17082981124865157;0.4140596779590468;1.5127826380467724e-08;1777978876.317766;0.10647964477539062;0.0;0.0;0.0;-0.0;-11.350491581925507;-0.5371965662844917;2.523536658873561
2026-05-05_13:01:16:543230;1777978876.5412116;0.0;28.954349596092758;0.0;0.25177695300950226;0.0;0.25177695300950226;11.390332946188629;-3.0922814612001592;-11.179661770676855;-0.1231368883254449;59.90850291666667;10.71967845;0.0;59.90850291666667;10.71967845;0.0;1777978876.5412116;58.475;0.3039206612384019;0.67;-1.004;-2.323;143.115;-11.516;4.102;-3.497;59.90850115;10.719670616666667;0.0;0.19682565052319995;0.43830641273624754;1.8019059383478364e-08;1777978876.4242456;0.11696600914001465;0.0;0.0;0.0;-0.0;-11.376487421200055;-0.5614433010616924;2.497827958991685
2026-05-05_13:01:16:654027;1777978876.6540275;0.0;31.077060785149285;0.0;0.27023531117521116;0.0;0.27023531117521116;11.4285186128985;-3.0845199618397188;-11.179661770676855;-0.1231368883254449;59.908503216666666;10.719680066666667;0.0;59.908503216666666;10.719680066666667;0.0;1777978876.6540275;65.101;0.85481061637389;0.67;-6.075;1.143;141.6;-7.982;10.01;-4.036;59.90850115;10.719670616666667;0.0;0.2302488820625249;0.5287653910629971;2.6692937554750884e-08;1777978876.5412116;0.11281585693359375;0.0;0.0;0.0;-0.0;-11.40991065273938;-0.651902279388442;2.4713862208239705
2026-05-05_13:01:16:762260;1777978876.7622607;0.0;34.679244120374115;0.0;0.3015586445249923;0.0;0.3015586445249923;11.479827476441685;-3.0727286533227423;-11.179661770676855;-0.1231368883254449;59.9085036;10.719682533333334;0.0;59.9085036;10.719682533333334;0.0;1777978876.7622607;56.02;1.3348615127410985;0.67;-0.931;3.212;139.336;30.794;3.256;-6.674;59.90850115;10.719670616666667;0.0;0.2729563521293896;0.6667852736851161;4.1011871107499154e-08;1777978876.6540275;0.10823321342468262;0.0;0.0;0.0;-0.0;-11.452618122806244;-0.789922162010561;2.4318719665588198
2026-05-05_13:01:16:881480;1777978876.8814805;0.0;36.975588696420914;0.0;0.3215268582297471;0.0;0.3215268582297471;11.510984540292013;-3.0665797891036437;-11.179661770676855;-0.1231368883254449;59.908503833333334;10.719683833333333;0.0;59.908503833333334;10.719683833333333;0.0;1777978876.8814805;46.157;0.6479281646218579;0.67;7.007;1.772;136.556;-10.488;-10.811;-4.779;59.90850115;10.719670616666667;0.0;0.29895220160656344;0.7395254802415384;5.0891729386215445e-08;1777978876.7622607;0.11921977996826172;0.0;0.0;0.0;-0.0;-11.47861397228342;-0.8626623685669833;2.383351813353377
