;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_15:02:05:368365;1778590925.3683658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.9085592;10.719687983333333;0.0;59.9085592;10.719687983333333;0.0;1778590925.3683658;-109.685;0.0;0.14;1.021;0.78;163.348;10.736;-0.461;3.463;59.9085592;10.719687983333333;0.0;0.0;0.0;-0.0;1778590925.3132665;0.0550992488861084;0.0;0.0;2.8509604265476973;163.34799999999998;0.0;-0.0;;;;;;;
2026-05-12_15:02:08:387653;1778590928.3864057;117.41712367050857;66.55307079279407;0.5870856183525429;0.5787223547199485;0.5870856183525429;0.5787223547199485;11.042613566774769;-2.990533499333227;-11.013418950881492;-1.9247345303611159;59.90855833333333;10.719683283333334;0.0;59.90855833333333;10.719683283333334;0.0;1778590928.3864057;-117.331;0.09282473515098943;0.14;-0.115;0.789;169.609;-7.831;-8.183;4.521;59.9085592;10.719687983333333;0.0;-0.09655595836426997;-0.26298340948708193;6.452898028419529e-09;1778590925.3683658;3.0180399417877197;-0.0319929358877456;-0.08713715343717589;2.9602354910150623;169.609;0.015751784149394998;0.09147848245331906;-10.916862992517222;-1.6617511208740339;2.9602354910150623;0.46364760900080526;-171.34494800428308;169.609;26.56505117707794
2026-05-12_15:02:08:490732;1778590928.490733;200.0;40.75884556963831;1.0;0.3544247440838114;1.0;0.3544247440838114;10.952601025878074;-3.0176515590018766;-11.013418950881492;-1.9247345303611159;59.9085579;10.719677783333333;0.0;59.9085579;10.719677783333333;0.0;1778590928.490733;-118.282;2.9858977025553854;0.14;0.389;0.754;175.437;5.061;1.461;4.066;59.9085592;10.719687983333333;0.0;-0.1448339070453525;-0.5707299598493285;2.6815905801447215e-08;1778590928.3864057;0.10432720184326172;-0.4627551379515956;-2.949820803442964;3.0619532798212923;175.437;0.22661478641574154;2.9772858157562303;-10.86858504383614;-1.3540045705117874;3.0619532798212923;0.33241631683129746;-172.89869837188067;175.437;19.046051995716937
2026-05-12_15:02:08:596192;1778590928.5961928;200.0;37.2403220488686;1.0;0.3238288873814661;1.0;0.3238288873814661;10.944029151300436;-3.021245636424283;-11.013418950881492;-1.9247345303611159;59.90855786666667;10.719677066666666;0.0;59.90855786666667;10.719677066666666;0.0;1778590928.5961928;-122.635;0.3818692430059852;0.14;0.619;0.973;176.238;-1.289;0.423;4.111;59.9085592;10.719687983333333;0.0;-0.1485475915787827;-0.6108302681268191;3.01029643018369e-08;1778590928.490733;0.10545992851257324;-0.035214176472606155;-0.38024213407948293;3.0759333671297666;176.238;0.010189804979471372;0.38173326633716853;-10.86487135930271;-1.313904262234297;3.0759333671297666;0.2035804683564173;-173.1046238394278;176.238;11.664301628119318
2026-05-12_15:02:08:701514;1778590928.7015145;200.0;35.55955235137277;1.0;0.30921349870758935;1.0;0.30921349870758935;10.944029151300436;-3.021245636424283;-11.013418950881492;-1.9247345303611159;59.90855786666667;10.719677066666666;0.0;59.90855786666667;10.719677066666666;0.0;1778590928.7004917;-123.061;0.0;0.14;0.25;0.918;176.719;-3.573;-0.794;4.133;59.9085592;10.719687983333333;0.0;-0.1485475915787827;-0.6108302681268191;3.01029643018369e-08;1778590928.5961928;0.10532164573669434;0.0;0.0;3.0843284008318594;176.71900000000002;0.0;-0.0;-10.86487135930271;-1.313904262234297;3.0843284008318594;0.18600630362553616;-173.1046238394278;176.71900000000002;10.657376160572165
2026-05-12_15:02:08:819908;1778590928.8199081;200.0;34.317651585899334;1.0;0.29841436161651597;1.0;0.29841436161651597;10.933972110423227;-3.0246561003082375;-11.013418950881492;-1.9247345303611159;59.908557816666665;10.719676383333333;0.0;59.908557816666665;10.719676383333333;0.0;1778590928.8199081;-121.953;0.3235636947832389;0.14;0.097;0.877;176.879;-3.774;-1.034;4.086;59.9085592;10.719687983333333;0.0;-0.15411812167878006;-0.6490654461585419;3.365954918954639e-08;1778590928.7015145;0.1183936595916748;-0.04705091572647924;-0.32294954107839274;3.08712092763505;176.87900000000002;0.029398208338635635;0.32503221394182286;-10.859300829202713;-1.275669084202574;3.08712092763505;0.17761126992344423;-173.3000290261602;176.87900000000002;10.176376160572211
2026-05-12_15:02:08:939966;1778590928.9399664;200.0;32.25949492929829;1.0;0.2805173472112895;1.0;0.2805173472112895;10.933972110423227;-3.0246561003082375;-11.013418950881492;-1.9247345303611159;59.908557816666665;10.719676383333333;0.0;59.908557816666665;10.719676383333333;0.0;1778590928.9399664;-119.083;0.0;0.14;-0.415;0.752;177.468;-2.529;-0.392;3.596;59.9085592;10.719687983333333;0.0;-0.15411812167878006;-0.6490654461585419;3.365954918954639e-08;1778590928.8199081;0.12005829811096191;0.0;0.0;3.0974009169292964;177.468;0.0;-0.0;-10.859300829202713;-1.275669084202574;3.0974009169292964;0.17140827923629853;-173.3000290261602;177.468;9.820970973839808
2026-05-12_15:02:09:051743;1778590929.051743;200.0;30.139759543802054;1.0;0.2620848655982787;1.0;0.2620848655982787;10.92393688093015;-3.028157623534632;-11.013418950881492;-1.9247345303611159;59.90855776666667;10.719675683333334;0.0;59.90855776666667;10.719675683333334;0.0;1778590929.051743;-114.911;0.35393714592078834;0.14;-0.594;0.862;177.874;-1.026;1.452;3.516;59.9085592;10.719687983333333;0.0;-0.1596886514421262;-0.6882331896510625;3.8487608614024005e-08;1778590928.9399664;0.11177659034729004;-0.049836282767603754;-0.35041097040826147;3.104486953692394;177.87400000000002;0.036802717724300174;0.3520185552363079;-10.853730299439366;-1.2365013407100534;3.104486953692394;0.1611282899420523;-173.50065152889962;177.87400000000002;9.231970973839829
2026-05-12_15:02:09:157019;1778590929.1570194;200.0;27.8971500567468;1.0;0.24258391353692868;1.0;0.24258391353692868;10.912087910953115;-3.0317318207883037;-11.013418950881492;-1.9247345303611159;59.9085577;10.719674966666666;0.0;59.9085577;10.719674966666666;0.0;1778590929.1570194;-113.163;0.3873838619763622;0.14;-0.68;1.172;178.311;-0.672;2.873;3.915;59.9085592;10.719687983333333;0.0;-0.16711602553785088;-0.7283334989125969;4.214759855014627e-08;1778590929.051743;0.10527634620666504;-0.07055121462084366;-0.3809052147650966;3.1121140425236096;178.31100000000004;0.05929363224115863;0.382819176237778;-10.846302925343641;-1.196401031448519;3.1121140425236096;0.15054072995256007;-173.70543794668225;178.31100000000004;8.62534847110035
2026-05-12_15:02:09:262982;1778590929.262982;200.0;26.7999324163857;1.0;0.23304289057726696;1.0;0.23304289057726696;10.912087910953115;-3.0317318207883037;-11.013418950881492;-1.9247345303611159;59.9085577;10.719674966666666;0.0;59.9085577;10.719674966666666;0.0;1778590929.262982;-112.761;0.0;0.14;-0.772;1.413;178.625;-1.719;2.478;4.066;59.9085592;10.719687983333333;0.0;-0.16711602553785088;-0.7283334989125969;4.214759855014627e-08;1778590929.1570194;0.10596251487731934;0.0;0.0;3.1175943763748712;178.625;0.0;-0.0;-10.846302925343641;-1.196401031448519;3.1175943763748712;0.13933944386767294;-173.70543794668225;178.625;7.9835620533177
