;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_15:08:37:288035;1778591317.2880354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.908576733333334;10.719741083333334;0.0;59.908576733333334;10.719741083333334;0.0;1778591317.2880354;-103.27;0.07025199209106577;0.13;-0.353;1.154;112.619;3.142;-1.798;-1.422;59.90857676666667;10.7197411;0.0;-0.003713691281331544;-0.0009325648238475948;1.5917787676063971e-09;1778591317.2335317;0.054503679275512695;-0.06813652455569222;-0.017110126073022296;1.9655723503034945;112.61900000000003;0.010411344244161604;0.0694762283359764;;;;;;;
2026-05-12_15:08:40:303573;1778591320.301564;200.0;0.42452811425921855;1.0;0.0036915488196453787;1.0;0.0036915488196453787;10.0496033293768;1.973450704862202;-3.984476905638564;9.173137074547231;59.90857635;10.7197398;0.0;59.90857651666666;10.719740250000001;0.0;1778591320.301564;-109.106;0.01742343980611854;0.13;0.488;1.752;112.413;-5.61;-1.559;0.407;59.90857676666667;10.7197411;0.0;-0.04642113839627546;-0.07274005268688775;9.642436467338644e-10;1778591320.301564;0.0;-0.008010208587788614;-0.0154729704018832;1.9619769720443854;112.41299999999998;-0.011250001772316583;0.013304650119424777;-3.9380557672422887;9.245877127234118;1.9619769720443854;0.020233437837148927;113.07039646572163;112.41299999999998;1.1592905931089421
2026-05-12_15:08:40:539186;1778591320.539187;200.0;0.9544631502397011;1.0;0.008299679567301748;1.0;0.008299679567301748;10.057320630131349;1.9875286159203363;-4.122939315018431;9.11544685710335;59.9085763;10.71973965;0.0;59.9085763;10.71973965;0.0;1778591320.539187;-112.973;0.0;0.13;-0.038;1.55;112.436;-6.619;-2.781;0.467;59.90857676666667;10.7197411;0.0;-0.05199167464414478;-0.08113313583949673;1.5897719876645233e-09;1778591320.4146926;0.12449431419372559;0.0;0.0;1.9623783977723441;112.43599999999999;0.0;-0.0;-4.0709476403742855;9.196579992942848;1.9623783977723441;0.02515021814799212;113.87700135371327;112.43599999999999;1.4410013537132782
2026-05-12_15:08:40:633363;1778591320.6333637;200.0;1.4200941359892758;1.0;0.012348644660776311;1.0;0.012348644660776311;10.061312863682824;2.0012339037431746;-4.261401724398297;9.05775663965947;59.9085762;10.719739566666666;0.0;59.9085762;10.719739566666666;0.0;1778591320.6333637;-119.242;0.0;0.13;-1.262;0.78;112.522;-4.92;-4.133;0.541;59.90857676666667;10.7197411;0.0;-0.06313274777944285;-0.08579595989772697;1.3938252739487123e-09;1778591320.5651574;0.0682063102722168;0.0;0.0;1.9638793809290593;112.52199999999999;0.0;-0.0;-4.198268976618854;9.143552599557196;1.9638793809290593;0.03735452281411522;114.66225650297395;112.52199999999999;2.140256502973949
2026-05-12_15:08:40:925965;1778591320.9259653;200.0;1.6946716829428192;1.0;0.014736275503850602;1.0;0.014736275503850602;10.057836456870199;2.0120990899997953;-4.399864133778164;9.000066422215589;59.90857583333333;10.719739416666666;0.0;59.90857583333333;10.719739416666666;0.0;1778591320.9259653;-125.257;0.3724633743039792;0.13;-1.368;0.205;112.798;2.934;1.113;0.958;59.90857676666667;10.7197411;0.0;-0.1039833501047944;-0.0941890440451388;3.7827876248064385e-09;1778591320.8656719;0.06029343605041504;-0.3695617441009126;-0.04640131997042425;1.9686964896645636;112.79799999999999;0.10042274904275475;0.35867009447764386;-4.295880783673369;9.094255466260728;1.9686964896645636;0.05034019741720819;115.28478581910186;112.79799999999999;2.8842808518613965
2026-05-12_15:08:41:136980;1778591321.1369803;200.0;2.1183464914256733;1.0;0.018420404273266723;1.0;0.018420404273266723;10.065303660376749;2.0249617805643556;-4.53832654315803;8.942376204771708;59.908575666666664;10.719739266666666;0.0;59.908575666666664;10.719739266666666;0.0;1778591321.1369803;-125.225;0.25814292352166535;0.13;-0.609;0.77;112.949;4.103;3.519;0.899;59.90857676666667;10.7197411;0.0;-0.12255180469432204;-0.10258212762205578;3.107146553937845e-09;1778591321.0580425;0.07893776893615723;-0.2352290271155918;-0.10632532043951085;1.9713319368350755;112.94900000000001;-0.0061913842562609095;0.25806866474894585;-4.415774738463708;9.044958332393763;1.9713319368350755;0.05828877920670461;116.0217637016339;112.94900000000001;3.339701041514085
2026-05-12_15:08:41:577804;1778591321.577804;200.0;2.5214235460861323;1.0;0.02192542213987941;1.0;0.02192542213987941;10.079423735039882;2.036934902245621;-4.676788952537897;8.884685987327828;59.90857545;10.719738966666666;0.0;59.90857545;10.719738966666666;0.0;1778591321.577804;-111.053;0.15976488363547414;0.13;0.066;1.855;113.179;-0.602;1.451;0.695;59.90857676666667;10.7197411;0.0;-0.1466907950609057;-0.11936829472250127;3.3298606094689376e-09;1778591321.3937724;0.18403172492980957;-0.13116754937655653;-0.0912134421760585;1.9753461941146622;113.179;-0.03222245895321225;0.1564817279495121;-4.530098157476991;9.00405428205033;1.9753461941146622;0.06849200830624458;116.707773041567;113.179;3.9243030063227926
2026-05-12_15:08:41:650227;1778591321.6502278;200.0;3.059622286208305;1.0;0.026605411184420044;1.0;0.026605411184420044;10.091228257397235;2.051762006978489;-4.815251361917763;8.826995769883947;59.90857545;10.719738966666666;0.0;59.90857545;10.719738966666666;0.0;1778591321.6502278;-107.011;0.0;0.13;-0.074;1.894;113.229;-1.915;0.185;0.77;59.90857676666667;10.7197411;0.0;-0.1466907950609057;-0.11936829472250127;3.3298606094689376e-09;1778591321.577804;0.07242369651794434;0.0;0.0;1.9762188587406593;113.229;0.0;-0.0;-4.668560566856858;8.946364064606449;1.9762188587406593;0.0755431482378297;117.55730356515878;113.229;4.328303565158784
2026-05-12_15:08:41:729334;1778591321.7293344;200.0;3.4913621965047565;1.0;0.030359671273954406;1.0;0.030359671273954406;10.109921507722692;2.065466210468152;-4.95371377129763;8.769305552440066;59.908575383333336;10.7197388;0.0;59.908575383333336;10.7197388;0.0;1778591321.7293344;-105.349;0.24327490393869408;0.13;-0.696;1.55;113.388;-3.289;-2.857;0.964;59.90857676666667;10.7197411;0.0;-0.15411817659760219;-0.128693942932472;4.955161683750653e-09;1778591321.6803281;0.04900622367858887;-0.15155996482017337;-0.19029518110054178;1.9789939322513304;113.388;-0.11449752027597924;0.2146462129575826;-4.799595594700028;8.897999495372538;1.9789939322513304;0.09033236231429154;118.34249658670493;113.388;5.1756631140555145
2026-05-12_15:08:41:971196;1778591321.9711967;200.0;4.055110296004955;1.0;0.03526182866091265;1.0;0.03526182866091265;10.132314252529627;2.07943745444798;-5.092176180677496;8.711615334996186;59.90857535;10.719738633333334;0.0;59.90857535;10.719738633333334;0.0;1778591321.9711967;-109.008;0.05346878181746548;0.13;-0.94;1.271;113.464;-2.82;-3.668;1.04;59.90857676666667;10.7197411;0.0;-0.15783186908900862;-0.13801959118632534;3.692943228994494e-09;1778591321.783463;0.18773365020751953;-0.019781709284943553;-0.049674889097105594;1.9803203824828461;113.464;-0.03769075584871405;0.03792515725209837;-4.934344311588488;8.84963492618251;1.9803203824828461;0.1012123436710608;119.14298990129663;113.464;5.7990401269794125
2026-05-12_15:08:42:067874;1778591322.0654473;200.0;4.446614239111345;1.0;0.03866621077488126;1.0;0.03866621077488126;10.150451211144206;2.0941199554564314;-5.230638590057363;8.653925117552305;59.90857535;10.719738633333334;0.0;59.90857535;10.719738633333334;0.0;1778591322.0654473;-119.007;0.0;0.13;-1.141;0.263;113.764;0.941;-4.137;1.478;59.90857676666667;10.7197411;0.0;-0.15783186908900862;-0.13801959118632534;3.692943228994494e-09;1778591321.987161;0.07828640937805176;0.0;0.0;1.9855563702388288;113.76399999999998;0.0;-0.0;-5.072806720968354;8.79194470873863;1.9855563702388288;0.11146083177591315;119.98423524177747;113.76399999999998;6.38623524177748
2026-05-12_15:08:42:251331;1778591322.2513318;200.0;4.926394248197981;1.0;0.04283821085389549;1.0;0.04283821085389549;10.176728369299894;2.107760392329906;-5.369100999437229;8.596234900108424;59.9085753;10.71973845;0.0;59.9085753;10.71973845;0.0;1778591322.2513318;-142.525;0.0;0.13;-0.887;-0.101;113.938;2.696;-2.441;1.516;59.90857676666667;10.7197411;0.0;-0.16340240404193646;-0.1482778042343838;5.0688639396945234e-09;1778591322.191693;0.05963873863220215;0.0;0.0;1.9885932431372995;113.93800000000002;0.0;-0.0;-5.205698595395293;8.744512704342808;1.9885932431372995;0.12017944015876392;120.7657747053422;113.93800000000002;6.885774705342208
2026-05-12_15:08:42:346174;1778591322.3461747;200.0;5.39439996241393;1.0;0.046907825760121126;1.0;0.046907825760121126;10.200915483680564;2.1215671865245103;-5.507563408817096;8.538544682664543;59.90857525;10.71973835;0.0;59.90857525;10.71973835;0.0;1778591322.3461747;-148.682;0.10318958154647244;0.13;-0.503;-0.131;114.081;3.463;0.791;1.18;59.90857676666667;10.7197411;0.0;-0.1689729417051983;-0.15387319325788928;4.8742009733926395e-09;1778591322.26966;0.07651472091674805;-0.07280347620065007;-0.0731282680831255;1.9910890639676513;114.08100000000002;-0.03705804369592457;0.09630571705338703;-5.3385904671118976;8.692417875922432;1.9910890639676513;0.13372647206749466;121.55684574129874;114.08100000000002;7.661962458641536
2026-05-12_15:08:42:428180;1778591322.4281802;200.0;5.9781531550508245;1.0;0.05198394047870282;1.0;0.05198394047870282;10.22529363627183;2.136059074079105;-5.6460258181969625;8.480854465220663;59.90857525;10.71973835;0.0;59.90857525;10.71973835;0.0;1778591322.4281802;-179.085;0.0;0.13;-0.503;-0.131;114.081;3.463;0.791;1.18;59.90857676666667;10.7197411;0.0;-0.1689729417051983;-0.15387319325788928;4.8742009733926395e-09;1778591322.3639135;0.06426668167114258;0.0;0.0;1.9910890639676513;114.08100000000002;0.0;-0.0;-5.477052876491764;8.634727658478552;1.9910890639676513;0.14497001011145372;122.38716973535519;114.08100000000002;8.306169735355168
2026-05-12_15:08:42:570062;1778591322.569023;200.0;6.492169122569397;1.0;0.056453644544081714;1.0;0.056453644544081714;10.247742249242249;2.1498726348600368;-5.784488227576829;8.423164247776782;59.90857518333333;10.71973835;0.0;59.90857518333333;10.71973835;0.0;1778591322.569023;153.71;0.0;0.13;0.122;1.038;114.213;1.507;7.641;0.372;59.90857676666667;10.7197411;0.0;-0.17640032367241118;-0.15387319349543827;5.173634867738919e-09;1778591322.4972358;0.07178711891174316;0.0;0.0;1.993392898580284;114.21300000000002;0.0;-0.0;-5.608087903904418;8.577037441272221;1.993392898580284;0.15878357089238548;123.17862846815001;114.21300000000002;9.097628468149995
