;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_14:59:40:190944;1778590780.1909447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.908561166666665;10.719840216666666;0.0;59.908561166666665;10.719840216666666;0.0;1778590780.1909447;-81.096;0.0;0.14;0.467;1.62;165.77;-3.729;-2.994;0.362;59.9085611;10.71984075;0.0;0.007427381997169421;-0.029842086327170333;-4.039526491084189e-10;1778590780.1436508;0.047293901443481445;0.0;0.0;2.8932323010310004;165.77;0.0;-0.0;;;;;;;
2026-05-12_14:59:43:215257;1778590783.2152576;200.0;-2.682519757721473;1.0;-0.02332625876279542;1.0;-0.02332625876279542;10.182191288089404;2.8676287640396154;-9.730039986540604;2.312752010121481;59.90856175;10.71983285;0.0;59.90856175;10.71983285;0.0;1778590783.2152576;-94.861;335.4299393808416;0.14;-0.445;1.349;168.457;-2.708;0.012;1.664;59.9085611;10.71984075;0.0;0.07241700180553146;-0.44203589802458393;1.5398740171868042e-08;1778590783.2152576;0.0;0.0147353465247265;-0.06444641352935741;2.9401292980320877;168.457;-0.02733326150578179;0.06019438071329632;-9.802456988346135;2.754787908146065;2.9401292980320877;-0.027615244035355424;164.30302538978657;168.457;-1.5822369334496862
2026-05-12_14:59:43:377017;1778590783.3726096;200.0;-1.8211293102965191;1.0;-0.01583590704605669;1.0;-0.01583590704605669;10.190008951200141;2.8798881161776055;-9.766912229434746;2.1673544939667844;59.90856178333333;10.719832366666667;0.0;59.90856178333333;10.719832366666667;0.0;1778590783.3726096;-93.362;0.0;0.14;-0.64;1.32;168.572;-2.227;-0.48;1.502;59.9085611;10.71984075;0.0;0.07613069778206852;-0.46908028779931316;1.6466800485670507e-08;1778590783.3198776;0.052731990814208984;0.0;0.0;2.9421364266718815;168.57200000000003;0.0;-0.0;-9.843042927216814;2.6364347817660976;2.9421364266718815;-0.06224831049427593;165.0054345268581;168.57200000000003;-3.566565473141922
2026-05-12_14:59:43:449198;1778590783.4365826;200.0;0.03102174823995618;1.0;0.0002697543325213581;1.0;0.0002697543325213581;10.189111365926538;2.894608934999142;-9.80378447232889;2.0219569778120876;59.90856178333333;10.719832366666667;0.0;59.90856178333333;10.719832366666667;0.0;1778590783.4365826;-92.209;0.0;0.14;-0.64;1.32;168.572;-2.227;-0.48;1.502;59.9085611;10.71984075;0.0;0.07613069778206852;-0.46908028779931316;1.6466800485670507e-08;1778590783.4365826;0.0;0.0;0.0;2.9421364266718815;168.57200000000003;0.0;-0.0;-9.879915170110957;2.491037265611401;2.9421364266718815;-0.04752749167273951;165.8488753163089;168.57200000000003;-2.723124683691139
2026-05-12_14:59:43:580425;1778590783.5804253;200.0;-1.1928039732223124;1.0;-0.010372208462802715;1.0;-0.010372208462802715;10.20072676192273;2.9066549900066168;-9.840656715223032;1.8765594616573906;59.90856181666667;10.71983185;0.0;59.90856181666667;10.71983185;0.0;1778590783.5804253;-91.642;0.0;0.14;-0.566;1.24;168.866;2.232;-0.04;0.908;59.9085611;10.71984075;0.0;0.07984439293015223;-0.49798980810688104;1.920757223411451e-08;1778590783.5432441;0.03718113899230957;0.0;0.0;2.9472676946727443;168.86599999999999;0.0;-0.0;-9.920501108153184;2.374549269764272;2.9472676946727443;-0.04061270466612754;166.5390634280196;168.86599999999999;-2.326936571980373
2026-05-12_14:59:43:773709;1778590783.773709;200.0;-0.681137307480227;1.0;-0.0059229331085237135;1.0;-0.0059229331085237135;10.208798966131095;2.9183730921325166;-9.877528958117175;1.7311619455026936;59.9085618;10.7198313;0.0;59.9085618;10.7198313;0.0;1778590783.773709;-91.613;0.25770750276686694;0.14;-0.566;1.24;168.866;2.232;-0.04;0.908;59.9085611;10.71984075;0.0;0.07798755156580583;-0.5287644595620636;2.1973777304673536e-08;1778590783.660843;0.11286616325378418;-0.016451709802265665;-0.2726649915970346;2.9472676946727443;168.86599999999999;-0.03651070712565874;0.2707098532806172;-9.955516509682981;2.2599264050647574;2.9472676946727443;-0.025913155035498292;167.21046122373696;168.86599999999999;-1.484714417402229
2026-05-12_14:59:43:831881;1778590783.820475;200.0;1.3953298496285398;1.0;0.012133303040248173;1.0;0.012133303040248173;10.213670515767827;2.933055177807347;-9.914401201011318;1.5857644293479967;59.9085618;10.7198313;0.0;59.9085618;10.7198313;0.0;1778590783.820475;-91.466;0.0;0.14;0.028;1.135;169.001;1.961;-0.954;0.598;59.9085611;10.71984075;0.0;0.07798755156580583;-0.5287644595620636;2.1973777304673536e-08;1778590783.773709;0.046766042709350586;0.0;0.0;2.949623889162937;169.001;0.0;-0.0;-9.992388752577124;2.11452888891006;2.949623889162937;-0.016568711355589905;168.05168276735424;169.001;-0.9493172326457825
2026-05-12_14:59:44:024700;1778590784.0247009;200.0;-0.0036461421302968477;1.0;-3.170558374171172e-05;1.0;-3.170558374171172e-05;10.230357042652367;2.9448382268825295;-9.95127344390546;1.4403669131932997;59.90856183333333;10.71983075;0.0;59.90856183333333;10.71983075;0.0;1778590784.0247009;-92.556;0.0;0.14;-0.281;0.71;169.138;-2.984;-1.786;0.522;59.9085611;10.71984075;0.0;0.08170124551930462;-0.5595391099760166;2.402231084192019e-08;1778590783.952707;0.07199382781982422;0.0;0.0;2.952014990238169;169.138;0.0;-0.0;-10.032974689424766;1.9999060231693164;2.952014990238169;-0.004785662280407443;168.72680174915772;169.138;-0.2741982508422996
2026-05-12_14:59:44:224902;1778590784.2249029;200.0;0.42133605288038284;1.0;0.003663791764177242;1.0;0.003663791764177242;10.247602478644417;2.957028527288112;-9.988145686799603;1.2949693970386027;59.908561866666666;10.719830283333334;0.0;59.908561866666666;10.719830283333334;0.0;1778590784.2249029;-95.203;0.0;0.14;-0.939;0.465;169.248;-2.69;-0.682;0.765;59.9085611;10.71984075;0.0;0.0854149413384383;-0.5856509345398616;2.71519427080813e-08;1778590784.1678317;0.05707120895385742;0.0;0.0;2.9539348524153626;169.248;0.0;-0.0;-10.073560628138042;1.8806203315784642;2.9539348524153626;0.0050135370499431176;169.4252545133942;169.248;0.28725451339421004
2026-05-12_14:59:44:432465;1778590784.4324653;200.0;0.7765954046267443;1.0;0.006753003518493428;1.0;0.006753003518493428;10.264216305361355;2.969324050068762;-10.025017929693746;1.1495718808839057;59.908561883333334;10.71982985;0.0;59.908561883333334;10.71982985;0.0;1778590784.4324653;-99.174;0.42861676157892575;0.14;-1.074;0.549;169.38;0.841;0.959;0.775;59.9085611;10.71984075;0.0;0.08727179158520414;-0.6098976289860489;2.9532923044583992e-08;1778590784.37573;0.05673527717590332;0.03272831894358808;-0.4273654003841795;2.9562386870279953;169.38;-0.11092878892396799;0.41401344433999365;-10.11228972127895;1.7594695098699547;2.9562386870279953;0.017686812838840993;170.1297360756324;169.38;1.0133797287033872
