;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_12:17:41:707413;1778581061.7074134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.90857963333333;10.71979425;0.0;59.90857963333333;10.71979425;0.0;1778581061.7074134;94.278;397589.90249340556;0.0;-0.539;1.787;125.039;-9.034;-9.789;0.325;0.0;0.0;0.0;5495377.458459724;596320.8165385643;3228163.5980865783;1778581061.506926;0.20048737525939941;0.0;0.0;2.182342243401189;125.03899999999997;0.0;-0.0;;;;;;;
2026-05-12_12:17:46:013217;1778581064.9811604;97.17130532820333;28.527484824797632;0.48585652664101664;0.24806508543302289;0.48585652664101664;0.24806508543302289;5527646.3057777835;-3.033503567973831;-9.835145992707316;5.316944921863798;59.90857796666667;10.719801383333333;0.0;59.90857796666667;10.719801383333333;0.0;1778581064.9811604;92.498;0.0;0.32;-0.556;1.509;126.468;-17.583;-2.612;0.509;59.90857796666667;10.719801383333333;0.0;0.0;0.0;-0.0;1778581064.8967876;0.08437275886535645;0.0;0.0;2.2072829984121887;126.468;0.0;-0.0;-5495387.293605717;-596315.4995936424;2.182342243401189;1.0673394958045659;-173.80695158277717;125.03899999999997;61.15404841722286
2026-05-12_12:17:46:057820;1778581066.0132172;92.78791488522283;30.894515554486542;0.46393957442611417;0.2686479613433612;0.46393957442611417;0.2686479613433612;11.180339887498949;2.6459898524019954;-9.835145992707316;5.316944921863798;59.90857741666667;10.71980385;0.0;59.90857741666667;10.71980385;0.0;1778581066.0132172;70.087;0.14631985292872088;0.32;1.877;0.939;126.071;-9.181;-9.51;-0.089;59.90857796666667;10.719801383333333;0.0;-0.06127589991054301;0.13801958240800377;1.0197285169044612e-09;1778581064.9811604;1.0320568084716797;-0.059372603724482345;0.1337325438629584;2.2003540412817717;126.07100000000003;0.1430522466577658;-0.030749863206984272;-9.835145992707316;5.316944921863798;2.2072829984121887;0.4387068539898067;151.60405117707796;126.468;25.136051177077963
2026-05-12_12:17:46:177514;1778581066.121246;91.44162442922126;31.621512581411842;0.45720812214610634;0.27496967462097255;0.45720812214610634;0.27496967462097255;11.061184577726046;2.6543319923725557;-9.835145992707316;5.316944921863798;59.90857741666667;10.71980385;0.0;59.90857741666667;10.71980385;0.0;1778581066.121246;65.47;0.0;0.32;0.9;0.276;125.991;-13.899;-6.64;-1.118;59.90857796666667;10.719801383333333;0.0;-0.06127589991054301;0.13801958240800377;1.0197285169044612e-09;1778581066.0132172;0.10802888870239258;0.0;0.0;2.1989577778801763;125.99100000000004;0.0;-0.0;-9.773870092796773;5.178925339455795;2.2003540412817717;0.453977951090784;152.08202058949846;126.07100000000003;26.01102058949843
2026-05-12_12:17:46:280597;1778581066.2287345;90.93259127751811;31.896390512877595;0.4546629563875906;0.2773599175032834;0.4546629563875906;0.2773599175032834;11.061184577726046;2.6543319923725557;-9.835145992707316;5.316944921863798;59.90857741666667;10.71980385;0.0;59.90857741666667;10.71980385;0.0;1778581066.2287345;59.781;0.0;0.32;0.337;0.016;125.939;-14.673;-5.123;-1.32;59.90857796666667;10.719801383333333;0.0;-0.06127589991054301;0.13801958240800377;1.0197285169044612e-09;1778581066.121246;0.10748839378356934;0.0;0.0;2.198050206669139;125.93900000000002;0.0;-0.0;-9.773870092796773;5.178925339455795;2.1989577778801763;0.45537421449237936;152.08202058949846;125.99100000000004;26.091020589498424
2026-05-12_12:17:46:382739;1778581066.3339236;92.04339384627035;31.296557414914155;0.46021696923135175;0.2721439775209927;0.46021696923135175;0.2721439775209927;11.061184577726046;2.6543319923725557;-9.835145992707316;5.316944921863798;59.908577466666664;10.719804216666667;0.0;59.908577466666664;10.719804216666667;0.0;1778581066.3339236;61.085;0.20210483686709155;0.32;-1.458;-0.386;125.752;-14.845;-1.83;-1.552;59.90857796666667;10.719801383333333;0.0;-0.055705361981244234;0.15853600665840406;2.328277060731354e-09;1778581066.2287345;0.10518908500671387;0.05295737603329498;0.19504328086027933;2.19478644096791;125.75200000000004;0.12734624479708795;-0.15693724548734045;-9.773870092796773;5.178925339455795;2.198050206669139;0.4562817857034167;152.08202058949846;125.93900000000002;26.14302058949844
2026-05-12_12:17:46:504296;1778581066.4425156;93.68690013311623;30.40906379286359;0.4684345006655811;0.2644266416770747;0.4684345006655811;0.2644266416770747;11.056520319990662;2.656207525923417;-9.835145992707316;5.316944921863798;59.908577566666665;10.719804633333334;0.0;59.908577566666665;10.719804633333334;0.0;1778581066.4425156;102.042;0.23794878537104883;0.32;-3.484;0.044;125.455;-5.297;3.968;-0.932;59.90857796666667;10.719801383333333;0.0;-0.04456428856272851;0.18185012472203446;2.4550045746307703e-09;1778581066.3339236;0.10859203338623047;0.10259567917740472;0.21469455296696419;2.1896028130894862;125.45500000000001;0.11537203630185924;-0.20810794722720233;-9.779440630726072;5.158408915205394;2.19478644096791;0.46142108495550715;152.189480746298;125.75200000000004;26.437480746297965
2026-05-12_12:17:46:624032;1778581066.559102;89.6397851059233;32.59450550954372;0.4481989255296165;0.2834304826916845;0.4481989255296165;0.2834304826916845;11.05552751709131;2.658542928657499;-9.835145992707316;5.316944921863798;59.908577566666665;10.719804633333334;0.0;59.908577566666665;10.719804633333334;0.0;1778581066.5580914;137.725;0.0;0.32;-3.484;0.044;125.455;-5.297;3.968;-0.932;59.90857796666667;10.719801383333333;0.0;-0.04456428856272851;0.18185012472203446;2.4550045746307703e-09;1778581066.4425156;0.11658644676208496;0.0;0.0;2.1896028130894862;125.45500000000001;0.0;-0.0;-9.790581704144588;5.135094797141764;2.1896028130894862;0.46894011556801285;152.32328946642423;125.45500000000001;26.86828946642421
2026-05-12_12:17:46:741114;1778581066.6851132;89.74639420928823;32.53693634538607;0.44873197104644114;0.2829298812642267;0.44873197104644114;0.2829298812642267;11.05552751709131;2.658542928657499;-9.835145992707316;5.316944921863798;59.9085775;10.719804933333334;0.0;59.9085775;10.719804933333334;0.0;1778581066.6851132;160.938;0.1445103424563588;0.32;-1.817;0.975;125.318;14.696;2.884;-0.073;59.90857796666667;10.719801383333333;0.0;-0.05199166977573274;0.19863629047087383;3.347045789831027e-09;1778581066.559102;0.12601113319396973;-0.0589422618838862;0.13321176727297834;2.1872117120142534;125.31799999999997;0.14277028855029122;-0.028917293843742496;-9.790581704144588;5.135094797141764;2.1896028130894862;0.46894011556801285;152.32328946642423;125.45500000000001;26.86828946642421
2026-05-12_12:17:46:833134;1778581066.7928696;90.38674365692589;32.191147620565985;0.4519337182846294;0.2799230227875303;0.4519337182846294;0.2799230227875303;11.041158985925628;2.6595768464697063;-9.835145992707316;5.316944921863798;59.9085775;10.719804933333334;0.0;59.9085775;10.719804933333334;0.0;1778581066.7928696;158.055;0.0;0.32;-1.152;1.069;125.302;16.633;2.37;-0.188;59.90857796666667;10.719801383333333;0.0;-0.05199166977573274;0.19863629047087383;3.347045789831027e-09;1778581066.6851132;0.10775637626647949;0.0;0.0;2.186932459333935;125.302;0.0;-0.0;-9.783154322931583;5.1183086313929245;2.1872117120142534;0.4723651344554529;152.38252859342708;125.31799999999997;27.064528593427116
