;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-12_14:08:47:616079;1778587727.616079;0.0;0.0;0.0;0.0;0.0;0.0;10.053964564349396;2.5402883077003326;-8.258916959284331;5.638287919186609;59.90853615;10.719683316666666;0.0;59.90853615;10.719683316666666;0.0;1778587727.616079;-58.472;0.0;0.0;-0.085;0.842;145.679;4.007;-0.101;3.085;59.90853586666667;10.7196842;0.0;0.03156637492906538;-0.04942599295096248;-1.6553306989020022e-10;1778587727.5525734;0.06350564956665039;0.0;0.0;2.5425782010128195;145.679;0.0;-0.0;-8.290483334213397;5.687713912137571;2.5425782010128195;-0.002289893312486857;145.5477987776593;145.679;-0.13120122234072867;-8.290483334213397;5.687713912137571;-0.002289893312486857;10.053964564349396
2026-05-12_14:08:50:699035;1778587730.6990352;150.0;-27.664777755737305;0.75;-0.2405632848324983;0.75;-0.2405632848324983;10.763597821113262;2.5238378011479115;-8.34349127807213;5.514404164797344;59.908539733333335;10.719671333333334;0.0;59.908539733333335;10.719671333333334;0.0;1778587730.6990352;-46.281;0.0;0.19;-0.427;0.338;153.811;-4.972;2.898;2.83;59.90853586666667;10.7196842;0.0;0.4307882315186981;-0.7199408001728071;5.622460563792231e-08;1778587730.685763;0.013272285461425781;0.0;0.0;2.684508375784999;153.81100000000004;0.0;-0.0;-8.774279509590828;6.234344964970151;2.684508375784999;-0.16067057463708734;144.60525418135325;153.81100000000004;-9.205745818646793;-8.774279509590828;6.234344964970151;-0.16067057463708734;10.763597821113262
2026-05-12_14:08:50:895782;1778587730.8957827;148.29917907714844;43.46648025512695;0.7414958953857422;0.3779693935228431;0.7414958953857422;0.3779693935228431;10.805419355234902;2.5364667942374126;-8.42806559685993;5.390520410408079;59.908539983333334;10.719670683333334;0.0;59.908539983333334;10.719670683333334;0.0;1778587730.8957827;-40.018;0.0;0.19;-1.439;1.424;154.228;-3.248;5.618;2.023;59.90853586666667;10.7196842;0.0;0.4586409228026365;-0.7563108607325134;6.050129661150372e-08;1778587730.888941;0.0068416595458984375;0.0;0.0;2.6917863987658146;154.228;0.0;-0.0;-8.886706519662567;6.146831271140592;2.6917863987658146;-0.155319604528402;145.32884218488155;154.228;-8.899157815118462;-8.886706519662567;6.146831271140592;-0.155319604528402;10.805419355234902
2026-05-12_14:08:51:104671;1778587731.104672;149.22540283203125;43.921173095703125;0.7461270141601563;0.38192324431046193;0.7461270141601563;0.38192324431046193;10.850969512746435;2.5496395952168465;-8.51263991564773;5.266636656018814;59.90854028333333;10.719670116666666;0.0;59.90854028333333;10.719670116666666;0.0;1778587731.104672;-44.015;2.6005987641920507;0.19;-1.439;1.424;154.228;-3.248;5.618;2.023;59.90853586666667;10.7196842;0.0;0.4920641474709759;-0.7880180907199368;6.862238904892237e-08;1778587731.1006505;0.004021406173706055;0.0;0.0;2.6917863987658146;154.228;0.0;-0.0;-9.004704063118705;6.05465474673875;2.6917863987658146;-0.14214680354896814;146.0835880853689;154.228;-8.144411914631107;-9.004704063118705;6.05465474673875;-0.14214680354896814;10.850969512746435
2026-05-12_14:08:51:306600;1778587731.306601;149.07977294921875;45.30658721923828;0.7453988647460937;0.3939703236455503;0.7453988647460937;0.3939703236455503;10.888041322004;2.5622835999824485;-8.59721423443553;5.142752901629549;59.90854048333333;10.719669583333333;0.0;59.90854048333333;10.719669583333333;0.0;1778587731.306601;-51.59;2.567406340788241;0.19;-1.439;1.424;154.228;-3.248;5.618;2.023;59.90853586666667;10.7196842;0.0;0.5143463009016201;-0.817860191044159;7.292339385123192e-08;1778587731.292095;0.014506101608276367;1.536053864253324;-2.057210209198863;2.6917863987658146;154.228;-2.2777212975522785;1.1847198020613834;-9.11156053533715;5.960613092673707;2.6917863987658146;-0.12950279878336612;146.8080361945812;154.228;-7.419963805418811;-9.11156053533715;5.960613092673707;-0.12950279878336612;10.888041322004
2026-05-12_14:08:51:562132;1778587731.5621321;146.2382049560547;48.551368713378906;0.7311910247802734;0.422185814898947;0.7311910247802734;0.422185814898947;10.923144597289655;2.574421947390902;-8.68178855322333;5.0188691472402835;59.90854063333333;10.719669016666666;0.0;59.90854063333333;10.719669016666666;0.0;1778587731.5621321;-42.238;0.0;0.19;-0.171;0.273;155.621;-1.143;-3.119;2.654;59.90853586666667;10.7196842;0.0;0.5310579180830899;-0.8495674238947437;7.817826871980849e-08;1778587731.5052907;0.056841373443603516;0.0;0.0;2.716098835246096;155.62100000000004;0.0;-0.0;-9.212846471306419;5.868436571135027;2.716098835246096;-0.14167688785519417;147.50351227134914;155.62100000000004;-8.117487728650895;-9.212846471306419;5.868436571135027;-0.14167688785519417;10.923144597289655
2026-05-12_14:08:51:740128;1778587731.7401285;150.0;-5.256009101867676;0.75;-0.0457044269727624;0.75;-0.0457044269727624;10.963107700222338;2.586965434016632;-8.766362872011129;4.8949853928510185;59.90854083333333;10.719668500000001;0.0;59.90854083333333;10.719668500000001;0.0;1778587731.7401285;-45.503;0.0;0.19;-0.171;0.273;155.621;-1.143;-3.119;2.654;59.90853586666667;10.7196842;0.0;0.5533400704003009;-0.8784769575832534;8.506323667667459e-08;1778587731.7401285;0.0;0.0;0.0;2.716098835246096;155.62100000000004;0.0;-0.0;-9.31970294241143;5.773462350434272;2.716098835246096;-0.12913340122946382;148.22220111538226;155.62100000000004;-7.398798884617753;-9.31970294241143;5.773462350434272;-0.12913340122946382;10.963107700222338
2026-05-12_14:08:51:977949;1778587731.9779499;145.77294921875;59.16135787963867;0.72886474609375;0.5144465902577275;0.72886474609375;0.5144465902577275;11.004155202327041;2.599183606394024;-8.850937190798929;4.7711016384617535;59.90854101666667;10.71966795;0.0;59.90854101666667;10.71966795;0.0;1778587731.9779499;-51.214;0.0;0.19;-0.171;0.273;155.621;-1.143;-3.119;2.654;59.90853586666667;10.7196842;0.0;0.5737653796091925;-0.90925162310956;9.073326576181096e-08;1778587731.9133842;0.06456565856933594;0.0;0.0;2.716098835246096;155.62100000000004;0.0;-0.0;-9.42470257040812;5.680353261571313;2.716098835246096;-0.11691522885207206;148.92225082597014;155.62100000000004;-6.6987491740298815;-9.42470257040812;5.680353261571313;-0.11691522885207206;11.004155202327041
2026-05-12_14:08:52:296493;1778587732.295485;150.0;-12.202835083007812;0.75;-0.10611160941745924;0.75;-0.10611160941745924;11.04919218323086;2.610945121588155;-8.935511509586728;4.6472178840724885;59.9085412;10.719667316666667;0.0;59.9085412;10.719667316666667;0.0;1778587732.295485;-44.561;0.0;0.19;-0.274;1.382;157.259;-4.536;-2.001;3.113;59.90853586666667;10.7196842;0.0;0.5941906889919689;-0.9446891169759255;9.75804497205246e-08;1778587732.1644998;0.13098526000976562;0.0;0.0;2.7446873283937627;157.25900000000001;0.0;-0.0;-9.529702198578697;5.591907001048414;2.7446873283937627;-0.13374220680560756;149.59613600727286;157.25900000000001;-7.662863992727148;-9.529702198578697;5.591907001048414;-0.13374220680560756;11.04919218323086
2026-05-12_14:08:52:699817;1778587732.6998172;138.84808349609375;38.429443359375;0.6942404174804687;0.3341690726902174;0.6942404174804687;0.3341690726902174;11.120215065353849;2.6214516283870526;-9.020085828374528;4.5233341296832235;59.908541516666666;10.719666266666668;0.0;59.908541516666666;10.719666266666668;0.0;1778587732.6998172;-39.159;0.0;0.19;-1.657;0.898;158.133;3.116;3.228;1.877;59.90853586666667;10.7196842;0.0;0.6294707688902113;-1.0034407504713172;1.1071152866692913e-07;1778587732.4643316;0.23548555374145508;0.0;0.0;2.759941506056194;158.13300000000004;0.0;-0.0;-9.64955659726474;5.526774880154541;2.759941506056194;-0.13848987766914123;150.1981145042752;158.13300000000004;-7.934885495724859;-9.64955659726474;5.526774880154541;-0.13848987766914123;11.120215065353849
