;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-05_15:04:51:248093;1777986291.2480938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.9084813;10.7195771;0.0;59.9084813;10.7195771;0.0;1777986291.2480938;-72.989;0.36332171790767936;0.57;-3.184;2.733;169.774;-0.533;2.452;1.399;59.90848116666667;10.719577433333333;0.0;0.014854763431998855;-0.018651348765497306;-8.613458574863175e-10;1777986291.1915505;0.05654335021972656;0.0;0.0;2.9631152842808532;169.774;0.0;-0.0;;;;;;;
2026-05-05_15:04:55:477975;1777986294.467129;136.39683401822475;7.345564473324494;0.6819841700911238;0.06387447368108255;0.6819841700911238;0.06387447368108255;11.189369489823203;-2.8583954526611564;-10.728808160681307;-3.1452623819481556;59.908483016666665;10.71956705;0.0;59.908483016666665;10.71956705;0.0;1777986294.467129;-71.161;0.0;0.57;-1.987;-0.67;176.697;-1.987;-3.022;3.838;59.90848283333333;10.719567383333333;0.0;0.020425300795621004;-0.018651347741367952;-7.509678174449919e-10;1777986294.4128566;0.05427241325378418;0.0;0.0;3.0839444283964204;176.697;0.0;-0.0;-10.743662924113305;-3.1266110331826584;2.9631152842808532;0.46167457023757663;-163.77399561687076;169.774;26.45200438312923
2026-05-05_15:04:55:576381;1777986295.4779758;141.01273561347884;4.85291247293003;0.7050636780673942;0.04219923889504374;0.7050636780673942;0.04219923889504374;11.19471824426854;-2.8585344965456;-10.728808160681307;-3.1452623819481556;59.90848341666667;10.719563883333333;0.0;59.90848341666667;10.719563883333333;0.0;1777986295.4779758;-73.335;0.18074551151062285;0.57;-1.915;0.745;179.031;-12.694;-8.177;3.465;59.90848283333333;10.719567383333333;0.0;0.06498959841976681;-0.1958391502060747;2.844380193184337e-09;1777986294.467129;1.0108468532562256;0.04408610214355568;-0.1752864955694667;3.124680413137968;179.031;-0.047044143498923;0.17451586888787346;-10.749233461476928;-3.1266110342067877;3.0839444283964204;0.340706382237566;-163.78196224461647;176.697;19.521037755383528
2026-05-05_15:04:55:672216;1777986295.5944896;137.471207301961;6.7653291574337;0.6873560365098049;0.058828949195075655;0.6873560365098049;0.058828949195075655;11.18951149355124;-2.8748525793178974;-10.728808160681307;-3.1452623819481556;59.90848343333333;10.71956345;0.0;59.90848343333333;10.71956345;0.0;1777986295.5944896;-73.286;0.20871143471497608;0.57;-1.915;0.745;179.031;-12.694;-8.177;3.465;59.90848283333333;10.719567383333333;0.0;0.06684644531866012;-0.220085901868028;4.74541699338471e-09;1777986295.4779758;0.11651372909545898;0.015936721906583205;-0.20810209964259313;3.124680413137968;179.031;-0.019453747793957272;0.20780282644264642;-10.793797759101075;-2.949423231742081;3.124680413137968;0.2836523147237209;-164.71691951721425;179.031;16.252080482785747
2026-05-05_15:04:55:907336;1777986295.687916;149.26453881531424;0.39701383778586935;0.7463226940765711;0.003452294241616255;0.7463226940765711;0.003452294241616255;11.18493700526124;-2.876987480354162;-10.728808160681307;-3.1452623819481556;59.90848343333333;10.71956345;0.0;59.90848343333333;10.71956345;0.0;1777986295.687916;-72.703;0.0;0.57;-3.292;0.113;-179.998;1.318;1.833;3.977;59.90848283333333;10.719567383333333;0.0;0.06684644531866012;-0.220085901868028;4.74541699338471e-09;1777986295.5944896;0.09342646598815918;0.0;0.0;-3.1415577470047533;-179.998;-0.0;0.0;-10.795654605999967;-2.9251764800801277;3.124680413137968;0.28151741368745675;-164.83924033627034;179.031;16.129759663729704
2026-05-05_15:04:55:998437;1777986295.907336;142.2295125966146;4.195865505915903;0.711147562983073;0.03648578700796438;0.711147562983073;0.03648578700796438;11.18493700526124;-2.876987480354162;-10.728808160681307;-3.1452623819481556;59.90848353333333;10.719562833333333;0.0;59.90848353333333;10.719562833333333;0.0;1777986295.907336;-71.934;0.16524951494888215;0.57;-1.797;1.019;-179.526;13.576;6.826;3.029;59.90848283333333;10.719567383333333;0.0;0.0779875208143896;-0.2545908944808741;6.275711429692965e-09;1777986295.687916;0.2194199562072754;0.05077512405118271;-0.15725548946993168;-3.1333197929353402;-179.526;-0.04947244861867512;0.15767015893476272;-10.795654605999967;-2.9251764800801277;-3.1415577470047533;0.26457026665059136;-164.83924033627034;-179.998;15.158759663729679
2026-05-05_15:04:56:072283;1777986296.010266;130.83313375734895;10.349644476813076;0.6541656687867448;0.08999690849402675;0.6541656687867448;0.08999690849402675;11.186724925108793;-2.880225053827188;-10.728808160681307;-3.1452623819481556;59.90848365;10.719561966666667;0.0;59.90848365;10.719561966666667;0.0;1777986296.009888;-71.894;0.4895591265273535;0.57;0.873;1.964;-179.131;16.889;4.481;2.587;59.90848283333333;10.719567383333333;0.0;0.09098544393807848;-0.3030843970538126;6.900345239646555e-09;1777986295.907336;0.10293006896972656;0.126279164619153;-0.47113057494599847;-3.1264257423899626;-179.131;-0.11911931893095687;0.472991579125129;-10.806795681495696;-2.8906714874672814;-3.1333197929353402;0.2530947391081524;-165.02473963213822;-179.526;14.501260367861793
2026-05-05_15:04:56:209956;1777986296.1254134;144.56730799809952;2.9312768135499696;0.7228365399904976;0.02548936359608669;0.7228365399904976;0.02548936359608669;11.18686324866719;-2.8847129426667912;-10.728808160681307;-3.1452623819481556;59.90848365;10.719561966666667;0.0;59.90848365;10.719561966666667;0.0;1777986296.12491;-72.054;0.0;0.57;1.48;2.073;-179.031;15.387;2.91;2.608;59.90848283333333;10.719567383333333;0.0;0.09098544393807848;-0.3030843970538126;6.900345239646555e-09;1777986296.010266;0.11514735221862793;0.0;0.0;-3.1246804131379684;-179.031;-0.0;0.0;-10.819793604619386;-2.842177984894343;-3.1264257423899626;0.2417127997231714;-165.28187672157136;-179.131;13.849123278428653
2026-05-05_15:04:56:317038;1777986296.2285554;138.26709169972025;6.335425081246869;0.6913354584986012;0.055090652880407556;0.6913354584986012;0.055090652880407556;11.18686324866719;-2.8847129426667912;-10.728808160681307;-3.1452623819481556;59.90848378333333;10.719561116666666;0.0;59.90848378333333;10.719561116666666;0.0;1777986296.2285554;-71.513;0.48074301928022567;0.57;2.761;1.81;-178.583;3.023;-3.897;3.276;59.90848283333333;10.719567383333333;0.0;0.10584021190204039;-0.35064533178005264;9.309475260121935e-09;1777986296.1254134;0.10314202308654785;0.14402246067538427;-0.4611208244997385;-3.1168613380890333;-178.583;-0.13257545602018345;0.4645413140156122;-10.819793604619386;-2.842177984894343;-3.1246804131379684;0.23996747047117717;-165.28187672157136;-179.031;13.74912327842866
2026-05-05_15:04:56:430202;1777986296.3444188;141.18448989312256;4.760103155749875;0.7059224494656128;0.04139220135434674;0.7059224494656128;0.04139220135434674;11.189257786583221;-2.889161366667561;-10.728808160681307;-3.1452623819481556;59.90848388333333;10.719560483333334;0.0;59.90848388333333;10.719560483333334;0.0;1777986296.3444188;-69.413;0.32061569625940395;0.57;2.171;1.05;-178.213;-8.149;-6.919;3.589;59.90848283333333;10.719567383333333;0.0;0.11698128877824986;-0.38608289087984565;1.0563340223368467e-08;1777986296.2285554;0.11586332321166992;0.09615706305830628;-0.3058565740864551;-3.1104036198566543;-178.213;-0.08657247367565979;0.308706383946914;-10.834648372583347;-2.794617050168103;-3.1168613380890333;0.22769997142147247;-165.53675264230017;-178.583;13.046247357699833
