;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_14:57:48:223328;1777985868.2233284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.9084711;10.719987016666666;0.0;59.9084711;10.719987016666666;0.0;1777985868.2233284;81.654;0.0;0.58;1.229;2.175;-116.913;9.953;-7.197;-3.243;59.9084711;10.719987016666666;0.0;0.0;0.0;-0.0;1777985868.16869;0.05463838577270508;0.0;0.0;-2.0405167883841306;-116.91300000000001;-0.0;0.0;;;
2026-05-05_14:57:52:502020;1777985871.461141;0.00012620585975459662;62.63583224847733;6.31029298772983e-07;0.5446594108563246;6.31029298772983e-07;0.5446594108563246;10.0;1.5665456563259434;0.0;9.85;59.9084704;10.71999395;0.0;59.9084704;10.71999395;0.0;1777985871.461141;54.765;0.0;0.58;-0.293;0.087;-123.599;-0.365;-4.567;0.191;59.90847045;10.719993516666667;0.0;-0.00557053783918523;0.02424676136029129;-9.456331481749736e-10;1777985871.3867235;0.0744175910949707;0.0;0.0;-2.1572095021724715;-123.59900000000002;-0.0;0.0;0.04085059234896345;9.610330091411102;-2.103191561823247
2026-05-05_14:57:52:639531;1777985872.528062;0.00024260591471563387;-62.63820991268165;1.2130295735781693e-06;-0.5446800861972317;1.2130295735781693e-06;-0.5446800861972317;10.0;1.569043657395322;0.0;9.7;59.90847041666667;10.719996883333334;0.0;59.90847041666667;10.719996883333334;0.0;1777985872.528062;24.83;1.2020559107006905;0.58;-0.554;1.466;-126.095;2.906;-6.635;0.232;59.90847045;10.719993516666667;0.0;-0.003713687905740044;0.1883786848228671;2.03880018380051e-09;1777985872.5058563;0.022205829620361328;0.5853381351051479;1.0499131773828236;-2.2007729203022497;-126.095;-1.1932110298117908;-0.1455536010751871;0.016711606804184997;9.534935508310268;-2.2007729203022497
2026-05-05_14:57:52:962879;1777985872.8775172;0.00023040223887253958;-62.638037351405046;1.152011194362698e-06;-0.5446785856643918;1.152011194362698e-06;-0.5446785856643918;9.999915850053153;1.5703996340014257;0.0;9.549999999999999;59.90847041666667;10.719996883333334;0.0;59.90847041666667;10.719996883333334;0.0;1777985872.8775172;21.444;0.0;0.58;0.475;-0.107;-126.213;4.812;-5.77;-0.874;59.90847045;10.719993516666667;0.0;-0.003713687905740044;0.1883786848228671;2.03880018380051e-09;1777985872.6395316;0.23798561096191406;0.0;0.0;-2.202832408819603;-126.213;-0.0;0.0;0.003713687905740044;9.361621315177132;-2.2007729203022497
2026-05-05_14:57:53:057219;1777985872.9822688;0.00044973396611222615;-62.63867546700582;2.2486698305611307e-06;-0.5446841344957027;2.2486698305611307e-06;-0.5446841344957027;9.999661236583636;1.5722097937291641;0.0;9.399999999999999;59.908470666666666;10.719997333333334;0.0;59.908470666666666;10.719997333333334;0.0;1777985872.9822688;29.244;0.7493272178523321;0.58;0.718;-0.77;-126.541;-2.085;-0.587;-1.353;59.90847045;10.719993516666667;0.0;0.02413899695800934;0.21355801242727177;3.180153662976637e-09;1777985872.9628794;0.01938939094543457;0.5745964277329652;0.48096800792862826;-2.2085570887661445;-126.541;-0.7285380964718061;0.17528126369796326;-0.012997922184844737;9.195767664310702;-2.2085570887661445
2026-05-05_14:57:53:222728;1777985873.1254284;0.00032203161654626887;-62.63738450885573;1.6101580827313444e-06;-0.5446729087726585;1.6101580827313444e-06;-0.5446729087726585;9.999127756057906;1.573467614849899;0.0;9.249999999999998;59.908470666666666;10.719997333333334;0.0;59.908470666666666;10.719997333333334;0.0;1777985873.1254284;57.08;0.0;0.58;0.144;-0.637;-126.747;-5.632;1.788;-1.696;59.90847045;10.719993516666667;0.0;0.02413899695800934;0.21355801242727177;3.180153662976637e-09;1777985873.0723276;0.0531008243560791;0.0;0.0;-2.212152467025253;-126.747;-0.0;0.0;-0.02413899695800934;9.036441987572726;-2.212152467025253
2026-05-05_14:57:53:351434;1777985873.261416;0.00018642389704203984;-62.638274298123676;9.321194852101992e-07;-0.5446806460706407;9.321194852101992e-07;-0.5446806460706407;9.99819113062125;1.573725652498685;0.0;9.099999999999998;59.908470683333334;10.71999755;0.0;59.908470683333334;10.71999755;0.0;1777985873.261416;60.226;0.0;0.58;0.144;-0.637;-126.747;-5.632;1.788;-1.696;59.90847045;10.719993516666667;0.0;0.02599584395549344;0.22568139299354922;3.386856904305513e-09;1777985873.2227285;0.03868746757507324;0.0;0.0;-2.212152467025253;-126.747;-0.0;0.0;-0.02599584395549344;8.87431860700645;-2.212152467025253
2026-05-05_14:57:53:468273;1777985873.3869874;0.0001935035074272758;-62.638997863861256;9.67517537136379e-07;-0.5446869379466196;9.67517537136379e-07;-0.5446869379466196;9.996716417708697;1.573354450632766;0.0;8.949999999999998;59.90847065;10.7199978;0.0;59.90847065;10.7199978;0.0;1777985873.3869874;54.64;0.0;0.58;-1.686;0.501;-127.415;-5.218;5.439;-2.262;59.90847045;10.719993516666667;0.0;0.022282151645777737;0.23966990920483378;3.950024290294563e-09;1777985873.3514342;0.0355532169342041;0.0;0.0;-2.223811266428575;-127.415;-0.0;0.0;-0.022282151645777737;8.710330090795164;-2.223811266428575
2026-05-05_14:57:53:567749;1777985873.4968717;0.0006935546158247635;-62.637833071591544;3.467773079123817e-06;-0.5446768093181873;3.467773079123817e-06;-0.5446768093181873;9.994560506648645;1.5733992756399005;0.0;8.799999999999997;59.90847065;10.7199978;0.0;59.90847065;10.7199978;0.0;1777985873.4968717;36.871;0.0;0.58;-2.106;1.481;-127.761;-0.7;6.402;-1.528;59.90847045;10.719993516666667;0.0;0.022282151645777737;0.23966990920483378;3.950024290294563e-09;1777985873.4682736;0.02859807014465332;0.0;0.0;-2.2298501056404754;-127.761;-0.0;0.0;-0.022282151645777737;8.560330090795164;-2.2298501056404754
2026-05-05_14:57:53:715732;1777985873.6302154;0.0006598079370996766;-62.637823883130736;3.299039685498383e-06;-0.5446767294185282;3.299039685498383e-06;-0.5446767294185282;9.991574532007487;1.5730073265685673;0.0;8.649999999999997;59.90847061666667;10.719998016666667;0.0;59.90847061666667;10.719998016666667;0.0;1777985873.6302154;23.839;0.0;0.58;-1.863;2.184;-127.931;3.497;5.5;-0.864;59.90847045;10.719993516666667;0.0;0.01856846339201249;0.25179329021800506;4.710757232212481e-09;1777985873.5834937;0.046721696853637695;0.0;0.0;-2.2328171653688655;-127.931;-0.0;0.0;-0.01856846339201249;8.398206709781991;-2.2328171653688655
2026-05-05_14:57:53:890052;1777985873.8001866;0.0006095198973803204;-62.637912816923425;3.047599486901602e-06;-0.5446775027558559;3.047599486901602e-06;-0.5446775027558559;9.987609422867648;1.5730475351699287;0.0;8.499999999999996;59.90847061666667;10.719998016666667;0.0;59.90847061666667;10.719998016666667;0.0;1777985873.8001866;23.055;0.0;0.58;-1.863;2.184;-127.931;3.497;5.5;-0.864;59.90847045;10.719993516666667;0.0;0.01856846339201249;0.25179329021800506;4.710757232212481e-09;1777985873.7157319;0.08445477485656738;0.0;0.0;-2.2328171653688655;-127.931;-0.0;0.0;-0.01856846339201249;8.248206709781991;-2.2328171653688655
2026-05-05_14:57:53:985678;1777985873.9087389;0.0004758005182679977;-62.638013962920674;2.3790025913399886e-06;-0.5446783822862667;2.3790025913399886e-06;-0.5446783822862667;9.982514964463094;1.5733211395106341;0.0;8.349999999999996;59.90847063333333;10.719998166666667;0.0;59.90847063333333;10.719998166666667;0.0;1777985873.908072;34.048;0.0;0.58;-0.196;2.671;-128.06;8.246;-0.856;-0.257;59.90847045;10.719993516666667;0.0;0.02042530764727471;0.2601863998273101;4.404784455583344e-09;1777985873.8900526;0.018686294555664062;0.0;0.0;-2.2350686401039384;-128.06;-0.0;0.0;-0.02042530764727471;8.089813600172686;-2.2350686401039384
2026-05-05_14:57:54:102112;1777985874.00727;0.003071785419729739;-60.273696655094376;1.5358927098648693e-05;-0.5241191013486467;1.5358927098648693e-05;-0.5241191013486467;9.97614429283539;1.5733688383951483;0.0;8.199999999999996;59.908470683333334;10.719998383333333;0.0;59.908470683333334;10.719998383333333;0.0;1777985874.00727;44.545;1.1478531246044352;0.58;-0.196;2.671;-128.06;8.246;-0.856;-0.257;59.90847045;10.719993516666667;0.0;0.025995847179142634;0.27230977994757194;5.254904317242293e-09;1777985873.9956467;0.011623382568359375;0.4792528766137135;1.043016527156519;-2.2350686401039384;-128.06;-1.1166881883734656;-0.26565821201565054;-0.02042530764727471;7.939813600172686;-2.2350686401039384
2026-05-05_14:57:54:227725;1777985874.1073985;0.00016029626820936952;-62.63907287683702;8.014813410468476e-07;-0.5446875902333654;8.014813410468476e-07;-0.5446875902333654;9.968353245618609;1.5741386751838364;0.0;8.049999999999995;59.908470683333334;10.719998383333333;0.0;59.908470683333334;10.719998383333333;0.0;1777985874.1073985;58.19;0.0;0.58;0.963;1.885;-128.289;3.68;-5.311;-1.472;59.90847045;10.719993516666667;0.0;0.025995847179142634;0.27230977994757194;5.254904317242293e-09;1777985874.102112;0.005286455154418945;0.0;0.0;-2.2390654440910054;-128.289;-0.0;0.0;-0.025995847179142634;7.777690220052423;-2.2390654440910054
2026-05-05_14:57:54:359348;1777985874.2689707;0.00042132961580221284;-62.63745991821905;2.1066480790110643e-06;-0.5446735645062526;2.1066480790110643e-06;-0.5446735645062526;9.959003444461828;1.5744576825824437;0.0;7.899999999999995;59.9084707;10.71999875;0.0;59.9084707;10.71999875;0.0;1777985874.2689707;60.64;0.0;0.58;0.474;0.637;-128.753;-5.379;-4.47;-1.528;59.90847045;10.719993516666667;0.0;0.027852694022990752;0.2928262700929476;6.448971060293851e-09;1777985874.230824;0.0381467342376709;0.0;0.0;-2.247163771820259;-128.753;-0.0;0.0;-0.027852694022990752;7.607173729907047;-2.2446155911123475
2026-05-05_14:57:54:636940;1777985874.4724708;0.0004473585225710122;-62.637362794382256;2.236792612855061e-06;-0.5446727199511501;2.236792612855061e-06;-0.5446727199511501;9.947960437087017;1.5745444540770368;0.0;7.749999999999995;59.9084707;10.719999216666666;0.0;59.9084707;10.719999216666666;0.0;1777985874.4724708;56.5;0.0;0.58;-0.695;0.131;-128.965;-7.476;-2.422;-1.105;59.90847045;10.719993516666667;0.0;0.027852696021902688;0.318938166706353;7.60730500121154e-09;1777985874.4121954;0.06027531623840332;0.0;0.0;-2.250863869834487;-128.965;-0.0;0.0;-0.027852696021902688;7.431061833293642;-2.247163771820259
2026-05-05_14:57:54:817755;1777985874.7207196;0.0014719772859542622;-62.635552490375986;7.359886429771311e-06;-0.5446569781771825;7.359886429771311e-06;-0.5446569781771825;9.935092924372775;1.573866437598756;0.0;7.599999999999994;59.90847065;10.719999633333334;0.0;59.90847065;10.719999633333334;0.0;1777985874.7207196;61.283;0.0;0.58;-1.435;-0.047;-129.155;-5.057;-1.066;-1.775;59.90847045;10.719993516666667;0.0;0.022282159446625822;0.3422523606824718;8.470477109653873e-09;1777985874.6389453;0.08177423477172852;0.0;0.0;-2.2541799954132764;-129.155;-0.0;0.0;-0.022282159446625822;7.257747639317523;-2.2541799954132764
2026-05-05_14:57:54:953928;1777985874.8308654;0.00029460818276231746;-62.63824459244737;1.4730409138115874e-06;-0.5446803877604119;1.4730409138115874e-06;-0.5446803877604119;9.920272712617173;1.5731549341263484;0.0;7.449999999999994;59.9084706;10.720000033333333;0.0;59.9084706;10.720000033333333;0.0;1777985874.827943;87.02;0.0;0.58;-1.563;0.042;-129.873;2.572;1.841;-4.787;59.90847045;10.719993516666667;0.0;0.016711627213266588;0.36463398704896965;9.696927668820243e-09;1777985874.8177552;0.013110160827636719;0.0;0.0;-2.2667114594425954;-129.873;-0.0;0.0;-0.016711627213266588;7.085366012951024;-2.2667114594425954
