;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-08_15:41:36:329838;1778247696.329838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.90847478333333;10.71967815;0.0;59.90847478333333;10.71967815;0.0;1778247696.329838;108.976;0.7201373000367749;0.0;0.664;2.212;142.217;20.898;11.312;-4.038;59.90847485;10.719677283333333;0.0;-0.007427381840275689;0.048493516601457225;7.800963477619383e-11;1778247696.2617135;0.06812453269958496;0.0;0.0;2.4821549023087757;142.217;0.0;-0.0;;;;;;;
2026-05-08_15:41:40:508192;1778247699.505103;133.65182042598965;8.827950704099289;0.6682591021299483;0.07676478873129816;0.6682591021299483;0.07676478873129816;11.16371567836027;2.949933950121845;-10.966731222593683;2.175041675782073;59.90847396666667;10.719693516666666;0.0;59.90847396666667;10.719693516666666;0.0;1778247699.505103;73.293;0.0;0.41;0.664;2.212;142.217;20.898;11.312;-4.038;59.90847396666667;10.719693516666666;0.0;0.0;0.0;-0.0;1778247699.4479694;0.05713367462158203;0.0;0.0;2.4821549023087757;142.217;0.0;-0.0;-10.959303840753408;2.126548159180616;2.4821549023087757;0.4677790478130692;169.0187651843372;142.217;26.801765184337206
2026-05-08_15:41:40:560845;1778247700.5081928;146.06719338602164;2.1236488856309106;0.7303359669301082;0.01846651204896444;0.7303359669301082;0.01846651204896444;11.180339887498949;2.945802511309582;-10.966731222593683;2.175041675782073;59.908474283333334;10.719697966666667;0.0;59.908474283333334;10.719697966666667;0.0;1778247700.5081928;123.266;0.2507079447587138;0.41;3.297;-1.735;136.246;15.266;7.372;0.348;59.90847396666667;10.719693516666666;0.0;0.0352800734144052;0.2489955596032748;4.433264878464516e-09;1778247699.505103;1.0030896663665771;0.03517140550574884;0.24822861599720625;2.377941292672194;136.24599999999998;0.14626098884985073;-0.20362268219872298;-10.966731222593683;2.175041675782073;2.4821549023087757;0.46364760900080615;168.782051177078;142.217;26.565051177077994
2026-05-08_15:41:40:668742;1778247700.610396;141.0522403309064;4.8317157946050955;0.7052612016545319;0.04201491995308779;0.7052612016545319;0.04201491995308779;11.169328815964594;2.968285770528367;-10.966731222593683;2.175041675782073;59.9084741;10.719698533333332;0.0;59.9084741;10.719698533333332;0.0;1778247700.610396;115.319;0.3690361650373225;0.41;3.78;-0.186;136.69;-9.136;10.853;3.226;59.90847396666667;10.719693516666666;0.0;0.014854774137569868;0.2807028607108016;5.056260456333395e-09;1778247700.5081928;0.1022031307220459;-0.19985003524387596;0.3102380610409942;2.385690554551049;136.69;0.3582278467578362;-0.08865946600729296;-11.002011296008089;1.9260461161787985;2.377941292672194;0.5903444778561733;170.070247040013;136.24599999999998;33.82424704001301
2026-05-08_15:41:40:774655;1778247700.717222;135.25116971660117;7.964286327119702;0.6762558485830058;0.06925466371408437;0.6762558485830058;0.06925466371408437;11.143776314602226;2.9707723782308344;-10.966731222593683;2.175041675782073;59.9084741;10.719698533333332;0.0;59.9084741;10.719698533333332;0.0;1778247700.717222;94.789;0.0;0.41;2.835;0.675;136.975;-13.605;10.992;2.937;59.90847396666667;10.719693516666666;0.0;0.014854774137569868;0.2807028607108016;5.056260456333395e-09;1778247700.610396;0.1068260669708252;0.0;0.0;2.390664742919233;136.975;0.0;-0.0;-10.981585996731253;1.8943388150712717;2.385690554551049;0.5850818236797855;170.2127191666691;136.69;33.5227191666691
2026-05-08_15:41:40:908945;1778247700.8495622;144.09418632428796;3.188023596417815;0.7204709316214398;0.027721944316676652;0.7204709316214398;0.027721944316676652;11.143776314602226;2.9707723782308344;-10.966731222593683;2.175041675782073;59.90847396666667;10.719699383333333;0.0;59.90847396666667;10.719699383333333;0.0;1778247700.8495622;81.898;0.3765052671394166;0.41;-0.528;2.35;137.068;-23.541;9.868;-1.248;59.90847396666667;10.719693516666666;0.0;1.428365626016805e-08;0.32826381191159176;8.277123763704835e-09;1778247700.717222;0.1323401927947998;-0.11224677507419585;0.3593840253394209;2.3922878991235876;137.068;0.3269700928213799;-0.18667290800783287;-10.981585996731253;1.8943388150712717;2.390664742919233;0.5801076353116015;170.2127191666691;136.975;33.23771916666909
2026-05-08_15:41:41:000984;1778247700.9300804;127.60590066956868;12.092742330538552;0.6380295033478434;0.10515428113511785;0.6380295033478434;0.10515428113511785;11.121141240915126;2.9747597099072562;-10.966731222593683;2.175041675782073;59.90847396666667;10.719699383333333;0.0;59.90847396666667;10.719699383333333;0.0;1778247700.9300804;66.26;0.0;0.41;-3.437;3.32;136.68;-23.259;7.211;-3.121;59.90847396666667;10.719693516666666;0.0;1.428365626016805e-08;0.32826381191159176;8.277123763704835e-09;1778247700.8495622;0.08051824569702148;0.0;0.0;2.3855160216258495;136.68;0.0;-0.0;-10.96673123687734;1.8467778638704815;2.3922878991235876;0.5824718107836686;170.4411764432469;137.068;33.373176443246884
2026-05-08_15:41:41:116426;1778247701.0413823;149.99877785770403;0.0005614419568338049;0.7499938892885202;4.882103972467869e-06;0.7499938892885202;4.882103972467869e-06;11.121141240915126;2.9747597099072562;-10.966731222593683;2.175041675782073;59.9084741;10.71970075;0.0;59.9084741;10.71970075;0.0;1778247701.0413823;65.377;0.6998981280659657;0.41;-4.319;3.539;136.54;-21.844;5.807;-3.017;59.90847396666667;10.719693516666666;0.0;0.01485478565816707;0.40473435737256314;1.1732240831618945e-08;1778247700.9300804;0.11130189895629883;0.13346377297968054;0.687055173164624;2.3830725606730576;136.54;0.3757142131184007;-0.5905050547887495;-10.96673123687734;1.8467778638704815;2.3855160216258495;0.5892436882814067;170.4411764432469;136.68;33.76117644324689
2026-05-08_15:41:41:212196;1778247701.1439316;129.9672561399641;10.817605525346956;0.6498362806998205;0.09406613500301701;0.6498362806998205;0.09406613500301701;11.123363666546513;2.98176084946887;-10.966731222593683;2.175041675782073;59.9084741;10.71970075;0.0;59.9084741;10.71970075;0.0;1778247701.1439316;68.381;0.0;0.41;-6.468;3.689;136.27;-6.613;-1.759;-0.421;59.90847396666667;10.719693516666666;0.0;0.01485478565816707;0.40473435737256314;1.1732240831618945e-08;1778247701.0413823;0.10254931449890137;0.0;0.0;2.378360171692673;136.27;0.0;-0.0;-10.98158600825185;1.7703073184095102;2.3830725606730576;0.5986882887958123;170.84231219190943;136.54;34.302312191909415
2026-05-08_15:41:41:305181;1778247701.2469356;149.99915841583552;0.0003394662525884667;0.7499957920791777;2.951880457291015e-06;0.7499957920791777;2.951880457291015e-06;11.123363666546513;2.98176084946887;-10.966731222593683;2.175041675782073;59.90847433333333;10.719702166666666;0.0;59.90847433333333;10.719702166666666;0.0;1778247701.2469356;71.788;0.8098915580503102;0.41;-6.492;3.538;136.285;4.712;-5.491;-0.111;59.90847396666667;10.719693516666666;0.0;0.040850632039838235;0.48400260364645503;1.8158645049420885e-08;1778247701.1439316;0.10300397872924805;0.2523771091406358;0.7695648969274584;2.378621971080472;136.285;0.34940978667457556;-0.7306415925590205;-10.98158600825185;1.7703073184095102;2.378360171692673;0.6034006777761967;170.84231219190943;136.27;34.5723121919094
