;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-08_14:51:56:258621;1778244716.2586217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.90853333333333;10.719837683333333;0.0;59.90853333333333;10.719837683333333;0.0;1778244716.2586217;85.329;0.0;0.45;3.559;-0.187;127.951;-25.671;-2.569;-1.085;59.90853333333333;10.719837683333333;0.0;0.0;0.0;-0.0;1778244716.1874752;0.07114648818969727;0.0;0.0;2.233166231219265;127.95100000000002;0.0;-0.0;;;;;;;
2026-05-08_14:52:00:658582;1778244719.6540015;149.985148725322;-0.007765990547228846;0.74992574362661;-6.753035258459866e-05;0.74992574362661;-6.753035258459866e-05;10.0;2.261932571854338;-6.283918849648204;7.78041540607158;59.90853456666667;10.719839783333333;0.0;59.90853456666667;10.719839783333333;0.0;1778244719.6540015;73.179;0.0;0.45;2.052;-0.099;126.007;-16.232;4.823;-0.525;59.908534216666666;10.71983885;0.0;0.03899375660918165;0.052223693105517124;1.487998082388975e-09;1778244719.5787425;0.07525897026062012;0.0;0.0;2.1992370305604947;126.00699999999999;0.0;-0.0;-6.382331663942063;7.715135788974617;2.223217854482897;0.038714717371441054;129.5991899104254;127.381;2.2181899104253846
2026-05-08_14:52:00:758845;1778244720.6874547;149.9413843613924;-0.03147049019778043;0.7497069218069621;-0.0002736564365024385;0.7497069218069621;-0.0002736564365024385;10.0;2.273287155617595;-6.402012391433547;7.687928026453638;59.90853443333334;10.719840583333333;0.0;59.90853443333334;10.719840583333333;0.0;1778244720.6867638;-179.239;0.0;0.45;5.017;1.406;127.157;22.13;6.002;0.224;59.908534216666666;10.71983885;0.0;0.02413899370687753;0.09698685905578147;1.340781295017246e-09;1778244720.6710196;0.01643514633178711;0.0;0.0;2.219308316958429;127.15699999999997;0.0;-0.0;-6.426151385140424;7.590941167397856;2.219308316958429;0.05397883865916597;130.24975963818778;127.15699999999997;3.0927596381878177
2026-05-08_14:52:00:881911;1778244720.81735;149.94744849961123;-0.02810661553448897;0.7497372424980562;-0.0002444053524738171;0.7497372424980562;-0.0002444053524738171;10.00000277897162;2.2863511826630543;-6.52010593321889;7.595440646835695;59.908534233333334;10.7198405;0.0;59.908534233333334;10.7198405;0.0;1778244720.81735;76.726;0.0;0.45;6.233;2.005;127.263;-1.715;1.69;0.539;59.908534216666666;10.71983885;0.0;0.0018568465770728649;0.0923240297389222;1.1257038297395397e-09;1778244720.7752368;0.04211306571960449;0.0;0.0;2.221158365965543;127.26299999999998;0.0;-0.0;-6.521962779795962;7.503116617096773;2.221158365965543;0.06519281669751109;130.99827325133737;127.26299999999998;3.735273251337387
2026-05-08_14:52:01:255173;1778244721.1141896;149.99751891431396;-0.000983077583932998;0.7499875945715698;-8.548500729852157e-06;0.7499875945715698;-8.548500729852157e-06;9.999996150596541;2.3014070026513327;-6.638199475004233;7.502953267217753;59.90853425;10.719840583333333;0.0;59.90853425;10.719840583333333;0.0;1778244721.1141896;46.331;0.07937573384663395;0.45;-3.733;0.874;127.343;-35.205;-2.68;0.414;59.908534216666666;10.71983885;0.0;0.003713691460656774;0.09698685954905059;1.2700634259565913e-09;1778244721.0509593;0.06323027610778809;0.029366388981420265;0.07374362563560065;2.2225546293671385;127.34299999999998;0.040814326566156536;-0.06807861536960653;-6.640056321581305;7.4106292374788305;2.221158365965543;0.08024863668578952;131.86090819377443;127.26299999999998;4.597908193774446
2026-05-08_14:52:01:398716;1778244721.312001;149.98968022786713;-0.005295099203505339;0.7499484011393356;-4.604434090004642e-05;0.7499484011393356;-4.604434090004642e-05;9.9999690240751;2.3202106271065057;-6.756293016789575;7.41046588759981;59.9085345;10.719840916666667;0.0;59.9085345;10.719840916666667;0.0;1778244721.312001;-170.2;0.0;0.45;-7.359;0.446;127.423;-3.167;-3.112;0.275;59.908534216666666;10.71983885;0.0;0.031566375475136646;0.11563817786984135;1.0599510557457448e-09;1778244721.2556765;0.05632448196411133;0.0;0.0;2.223950892768734;127.42299999999997;0.0;-0.0;-6.787859392264712;7.294827709729969;2.2225546293671385;0.09765599773936717;132.9382765146048;127.34299999999998;5.595276514604847
2026-05-08_14:52:01:599814;1778244721.5241382;147.30618825108152;1.4543637805554164;0.7365309412554076;0.012646641570047098;0.7365309412554076;0.012646641570047098;9.999914166550504;2.337511034321957;-6.874386558574918;7.317978507981867;59.90853463333333;10.71984095;0.0;59.90853463333333;10.71984095;0.0;1778244721.5241382;177.41;0.1812651330441989;0.45;-3.79;-0.735;127.718;26.753;-7.07;1.636;59.908534216666666;10.71983885;0.0;0.04642114012781413;0.11750330920130107;2.221475493141556e-09;1778244721.4623084;0.06182980537414551;-0.1201262479694916;-0.1357451030656481;2.229099614062118;127.71800000000003;-0.03388833075466857;0.1780691705382866;-6.928235081235012;7.192082105477524;2.2255216890955296;0.11198934522642734;133.92951683190785;127.513;6.416516831907839
2026-05-08_14:52:01:750519;1778244721.6631372;149.99546426450436;-0.0021449912340562247;0.7499773213225218;-1.865209768744543e-05;0.7499773213225218;-1.865209768744543e-05;9.999828824522961;2.351311011628134;-6.992480100360261;7.225491128363925;59.90853463333333;10.71984095;0.0;59.90853463333333;10.71984095;0.0;1778244721.6631372;165.559;0.0;0.45;-1.503;-1.189;127.929;28.731;-5.334;2.627;59.908534216666666;10.71983885;0.0;0.04642114012781413;0.11750330920130107;2.221475493141556e-09;1778244721.6018162;0.06132102012634277;0.0;0.0;2.2327822587838257;127.929;0.0;-0.0;-7.038901240488075;7.107987819162624;2.2327822587838257;0.1185287528443082;134.72019728892812;127.929;6.791197288928111
2026-05-08_14:52:01:907453;1778244721.8186698;149.9957305730102;-0.001994462935008868;0.749978652865051;-1.734315595659885e-05;0.749978652865051;-1.734315595659885e-05;9.999715723073598;2.3648070534464454;-7.110573642145604;7.133003748745982;59.9085345;10.719840866666667;0.0;59.9085345;10.719840866666667;0.0;1778244721.8186698;119.965;0.0;0.45;2.814;-0.986;128.413;15.207;5.56;1.713;59.908534216666666;10.71983885;0.0;0.03156637549439935;0.1128404799250607;1.071113420181291e-09;1778244721.758892;0.05977773666381836;0.0;0.0;2.2412296523634785;128.413;0.0;-0.0;-7.142140017640004;7.020163268820921;2.236621983138214;0.12818507030823145;135.4934635252494;128.14900000000003;7.344463525249385
2026-05-08_14:52:01:998603;1778244721.9232278;149.95401083142445;-0.018492691686627764;0.7497700541571223;-0.0001608060146663284;0.7497700541571223;-0.0001608060146663284;9.999581156354429;2.379629710716766;-7.228667183930947;7.0405163691280395;59.9085345;10.719840866666667;0.0;59.9085345;10.719840866666667;0.0;1778244721.9232278;91.312;0.0;0.45;3.253;-0.675;128.47;7.619;9.53;0.624;59.908534216666666;10.71983885;0.0;0.03156637549439935;0.1128404799250607;1.071113420181291e-09;1778244721.9074538;0.015774011611938477;0.0;0.0;2.242224490037115;128.47;0.0;-0.0;-7.260233559425346;6.927675889202979;2.242224490037115;0.13740522067965077;136.3427392280077;128.47;7.87273922800769
