;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_13:43:15:585527;1778586195.5855272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.90854516666667;10.71977765;0.0;59.90854516666667;10.71977765;0.0;1778586195.5855272;55.994;0.0;0.0;-0.213;1.286;138.103;10.325;-2.777;-1.992;59.90854516666667;10.71977765;0.0;0.0;0.0;-0.0;1778586195.5347345;0.050792694091796875;0.0;0.0;2.410352056881729;138.103;0.0;-0.0;;;;;;;
2026-05-12_13:43:19:616481;1778586198.8408206;149.9999965977599;1.1791710277513654e-06;0.7499999829887994;1.0253661110881438e-08;0.7499999829887994;1.0253661110881438e-08;10.0;2.4363086401921095;-7.543634165790998;6.566283848015615;59.90854645;10.71978155;0.0;59.90854645;10.71978155;0.0;1778586198.8408206;52.619;0.38292629559286107;0.22;-0.113;-0.006;132.569;-17.929;8.788;-1.573;59.9085463;10.71978125;0.0;0.016711611225730078;0.01678618118848105;-1.6308719045371456e-10;1778586198.7789638;0.061856746673583984;0.2701663460239301;0.2713718727734127;2.313765536076362;132.56899999999996;0.017093916655296776;-0.38254456716813134;-7.608623759728697;6.477690112796455;2.368376888371266;0.06793175182084354;139.59020267426453;135.69800000000004;3.8922026742644804
2026-05-12_13:43:19:725890;1778586199.6590862;140.76538629971952;4.98669136457894;0.7038269314985977;0.04336253360503426;0.7038269314985977;0.04336253360503426;10.0;2.4488703184893446;-7.643803203165126;6.454631871089362;59.908546783333335;10.719782466666667;0.0;59.908546783333335;10.719782466666667;0.0;1778586199.6590862;118.599;0.20142446030737635;0.22;1.05;0.022;131.035;17.545;-6.478;-1.215;59.9085463;10.71978125;0.0;0.05384852180270559;0.06807728920909249;2.1774139782881896e-10;1778586199.6164813;0.042604923248291016;-0.1307486417237238;0.15322077501931344;2.286992185350769;131.03499999999997;0.20141484933310597;-0.0019676580597188936;-7.7032222608132885;6.393082541240012;2.2895578193512014;0.15931249913814316;140.30993382429716;131.18200000000002;9.127933824297168
2026-05-12_13:43:19:901245;1778586199.8045754;149.9999262255205;3.975147707530047e-05;0.7499996311276026;3.45665018046091e-07;0.7499996311276026;3.45665018046091e-07;9.999998396952064;2.4642247172955356;-7.743972240539254;6.3429798941631095;59.90854673333333;10.7197826;0.0;59.90854673333333;10.7197826;0.0;1778586199.8045754;61.458;0.0;0.22;2.836;-0.005;130.466;-3.589;3.692;-2.562;59.9085463;10.71978125;0.0;0.048277985565839676;0.07553781420286028;-1.0360595159575325e-09;1778586199.751858;0.05271744728088379;0.0;0.0;2.2770612619069226;130.46600000000004;0.0;-0.0;-7.792250226105093;6.267442079960249;2.2804297473632715;0.18379496993226407;141.18967607285262;130.65900000000002;10.530676072852598
2026-05-12_13:43:19:976752;1778586199.9110143;138.84581072095418;6.023262182935224;0.6942290536047708;0.05237619289508891;0.6942290536047708;0.05237619289508891;9.999997739251729;2.480895722192998;-7.844141277913382;6.2313279172368565;59.9085468;10.719782883333334;0.0;59.9085468;10.719782883333334;0.0;1778586199.9110143;56.649;0.0;0.22;1.602;0.598;130.135;-12.767;5.165;-2.919;59.9085463;10.71978125;0.0;0.05570536899614635;0.09139142947576474;2.3262855877725919e-10;1778586199.9012454;0.009768962860107422;0.0;0.0;2.271284222082821;130.13500000000002;0.0;-0.0;-7.899846646909528;6.139936487761092;2.2770612619069226;0.20383446028607555;142.14485429371916;130.46600000000004;11.67885429371912
2026-05-12_13:43:20:133746;1778586200.066046;137.2320377921771;6.894699562995602;0.6861601889608855;0.05995390924344002;0.6861601889608855;0.05995390924344002;9.999997884172489;2.4958335636174622;-7.94431031528751;6.119675940310604;59.9085468;10.719782883333334;0.0;59.9085468;10.719782883333334;0.0;1778586200.066046;59.493;0.0;0.22;0.324;1.004;129.906;-16.497;4.879;-2.804;59.9085463;10.71978125;0.0;0.05570536899614635;0.09139142947576474;2.3262855877725919e-10;1778586200.015217;0.05082893371582031;0.0;0.0;2.267287418095753;129.90599999999998;0.0;-0.0;-8.000015684283657;6.028284510834839;2.267287418095753;0.22854614552170904;143.00072956237665;129.90599999999998;13.094729562376669
2026-05-12_13:43:20:327355;1778586200.2531285;136.25276006695762;7.423509536526579;0.6812638003347881;0.06455225683936155;0.6812638003347881;0.06455225683936155;9.99999985263327;2.513693389062854;-8.044479352661638;6.008023963384351;59.908547;10.71978325;0.0;59.908547;10.71978325;0.0;1778586200.2531285;65.346;0.0;0.22;-1.736;1.434;129.597;-16.588;2.85;-2.245;59.9085463;10.71978125;0.0;0.07798751429331624;0.11190787201929843;6.852017564451529e-11;1778586200.1337466;0.11938190460205078;0.0;0.0;2.2618943507070917;129.59700000000004;0.0;-0.0;-8.122466866954953;5.8961160913650525;2.2618943507070917;0.25179903835576223;144.02402218323795;129.59700000000004;14.427022183237911
2026-05-12_13:43:20:415060;1778586200.350456;136.97142913432148;7.035428233610509;0.6848571456716074;0.06117763681400443;0.6848571456716074;0.06117763681400443;10.000007011205437;2.531781013455931;-8.144648390035766;5.896371986458098;59.9085472;10.719783683333333;0.0;59.9085472;10.719783683333333;0.0;1778586200.3496127;111.468;0.0;0.22;-3.511;1.484;129.317;-6.886;-1.026;-1.377;59.9085463;10.71978125;0.0;0.10026966131884654;0.13615457674126508;9.059628811036724e-10;1778586200.331833;0.01862311363220215;0.0;0.0;2.257007428801508;129.31700000000004;0.0;-0.0;-8.244918051354611;5.760217409716833;2.257007428801508;0.27477358465442325;145.06036672237914;129.31700000000004;15.743366722379095
2026-05-12_13:43:20:619210;1778586200.5630765;149.99998292623735;9.088840145530814e-06;0.7499999146311868;7.903339256983317e-08;0.7499999146311868;7.903339256983317e-08;10.000026431339998;2.546557264882913;-8.244817427409894;5.784720009531845;59.908547266666666;10.719783966666666;0.0;59.908547266666666;10.719783966666666;0.0;1778586200.5630765;116.857;0.13571000327582258;0.22;-3.511;1.484;129.317;-6.886;-1.026;-1.377;59.9085463;10.71978125;0.0;0.10769704435714735;0.15200819155663467;3.0238832063322896e-09;1778586200.4340718;0.12900471687316895;0.05757450749342009;0.12289174535343605;2.257007428801508;129.31700000000004;0.05859566555388658;-0.12240814093605347;-8.34508708872874;5.64856543279058;2.257007428801508;0.28954983608140505;145.90698356616934;129.31700000000004;16.589983566169312
2026-05-12_13:43:20:698978;1778586200.6301584;149.9999959886929;1.3538755063321307e-06;0.7499999799434645;1.1772830489844614e-08;0.7499999799434645;1.1772830489844614e-08;10.000068459727164;2.5629904845350424;-8.344986464784022;5.673068032605592;59.908547266666666;10.71978415;0.0;59.908547266666666;10.71978415;0.0;1778586200.6301584;99.964;0.9369795118872454;0.22;-1.758;0.719;128.807;13.848;-2.388;-2.611;59.9085463;10.71978125;0.0;0.10769704462969702;0.16226641298881087;3.1818204182521015e-09;1778586200.6192102;0.01094818115234375;2.4894516584901496e-08;0.9369795118872462;2.2481062496163364;128.80700000000002;0.7301519553050311;-0.5872041619919793;-8.452683509141169;5.521059841048957;2.2481062496163364;0.314884234918706;146.84853769604783;128.80700000000002;18.041537696047797
