simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
0.0,0.0,0.0,20.0,10.0,22.360679774997898,5.0,22.9128784747792,True,1.4819952314281656e-08,2.9639904628563313e-07,-35.281231981068565
0.02,2.31915357855504e-05,0.0,20.0,10.0,22.360659031860095,5.0,22.912858231549954,True,1.4819992422421054e-08,2.9639984844842105e-07,-35.28122022750844
0.04,5.708962678649597e-05,-1.313874405688977e-08,20.0,10.0,22.36062871837379,5.0,22.912828648618717,True,1.4820051035676756e-08,2.9640102071353513e-07,-35.28120305114124
0.06,8.852466013234249e-05,-7.786058820771283e-08,20.0,10.0,22.360600630990284,5.0,22.912801238142908,True,1.4820105344877338e-08,2.9640210689754676e-07,-35.28118713611986
0.08,0.000104820331949,-2.5662150353384525e-07,20.0,10.0,22.360586135657076,5.0,22.912787092148772,True,1.4820133372864493e-08,2.9640266745728987e-07,-35.28117892269063
0.1,9.481408895499307e-05,-6.348853475253164e-07,20.0,10.0,22.360595254669295,5.0,22.912795991391775,True,1.4820115740453354e-08,2.964023148090671e-07,-35.28118408975844
0.12,4.969027522261059e-05,-1.3204735065305591e-06,20.0,10.0,22.360635921210562,5.0,22.91283567786694,True,1.4820037108458246e-08,2.9640074216916495e-07,-35.28120713244769
0.14,-3.639245700442095e-05,-2.443250676199081e-06,20.0,10.0,22.36071341806035,5.0,22.912911307047477,True,1.4819887263642757e-08,2.9639774527285515e-07,-35.28125104401487
0.16,-0.0001658869153845,-4.1550491755197125e-06,20.0,10.0,22.360830007071172,5.0,22.91302508629392,True,1.48196618355244e-08,2.96393236710488e-07,-35.28131710587536
0.18,-0.0003376532051061,-6.6296615412269264e-06,20.0,10.0,22.36098474655105,5.0,22.913176096636818,True,1.4819362649343416e-08,2.963872529868683e-07,-35.281404784137194
0.2,-0.0005469521243502,-1.0062689190186094e-05,20.0,10.0,22.3611734852627,5.0,22.91336028691592,True,1.48189977369321e-08,2.96379954738642e-07,-35.28151172625177
0.22,-0.0007856155516772,-1.4671021110392032e-05,20.0,10.0,22.361389014546845,5.0,22.913570622229447,True,1.481858104131744e-08,2.963716208263488e-07,-35.28163384729779
0.24,-0.0010423664276912,-2.0691712282614213e-05,20.0,10.0,22.3616213539696,5.0,22.9137973626876,True,1.4818131862852908e-08,2.9636263725705817e-07,-35.281765491943524
0.26,-0.0013032587564519,-2.838015916370117e-05,20.0,10.0,22.361858144007847,5.0,22.91402844662479,True,1.4817674098431045e-08,2.963534819686209e-07,-35.28189965705629
0.28,-0.0015522026971791,-3.800741285125728e-05,20.0,10.0,22.362085114472713,5.0,22.91424994772733,True,1.4817235334678351e-08,2.9634470669356703e-07,-35.282028257197354
0.3,-0.0017715415591986,-4.985662165617924e-05,20.0,10.0,22.362286598996228,5.0,22.914446577119122,True,1.4816845852863075e-08,2.963369170572615e-07,-35.28214241616325
0.32,-0.0019426485604929,-6.42186524447528e-05,20.0,10.0,22.362446066865676,5.0,22.914602202383442,True,1.4816537601299637e-08,2.963307520259928e-07,-35.28223276828471
0.34,-0.0020465113509961,-8.138689276969343e-05,20.0,10.0,22.362546643589763,5.0,22.914700355595485,True,1.481634319070415e-08,2.96326863814083e-07,-35.2822897532599
0.36,-0.0020642878514283,-0.000101651748645,20.0,10.0,22.362571605713136,5.0,22.91472471623099,True,1.481629494048275e-08,2.9632589880965503e-07,-35.28230389631717
0.38,-0.0019778049597597,-0.0001252947274468,20.0,10.0,22.362504824378476,5.0,22.91465954406372,True,1.4816424025082268e-08,2.9632848050164536e-07,-35.28226605926999
0.4,-0.0017699879858568,-0.0001525824466885,20.0,10.0,22.362331146919967,5.0,22.914490051591958,True,1.4816759740832789e-08,2.963351948166558e-07,-35.28216765641251
0.42,-0.0014252111515342,-0.000183760804166,20.0,10.0,22.362036707937396,5.0,22.914202707647053,True,1.4817328909448037e-08,2.9634657818896077e-07,-35.28200083043596
0.44,-0.0009295558859786,-0.0002190491651666,20.0,10.0,22.36160915790273,5.0,22.913785460521343,True,1.4818155440889979e-08,2.9636310881779955e-07,-35.281758581623556
0.46,-0.0002710017910788,-0.0002586358021411,20.0,10.0,22.361037832086872,5.0,22.91322790285167,True,1.4819260011176082e-08,2.9638520022352165e-07,-35.281434863260785
0.48,0.000560471699374,-0.000302673694983,20.0,10.0,22.36031383973992,5.0,22.912521358673395,True,1.4820659893602304e-08,2.964131978720461e-07,-35.281024631913716
0.5,0.0015728586382969,-0.0003512771023479,20.0,10.0,22.359430086515957,5.0,22.911658905321435,True,1.482236891804354e-08,2.9644737836087077e-07,-35.28052385995158
0.52,0.0027721667520821,-0.0004045189225073,20.0,10.0,22.35838123739979,5.0,22.910635337260096,True,1.4824397544178703e-08,2.9648795088357406e-07,-35.2799295144341
0.54,0.0041625337367825,-0.0004624279463637,20.0,10.0,22.357163611468756,5.0,22.90944706338376,True,1.4826753065403588e-08,2.9653506130807177e-07,-35.27923949745257
0.56,0.005746353312362,-0.0005249884378861,20.0,10.0,22.355775068926878,5.0,22.90809199676945,True,1.4829439826626889e-08,2.965887965325378e-07,-35.27845258216583
0.58,0.0075244568138108,-0.0005921394306104,20.0,10.0,22.354214848304093,5.0,22.906569395789916,True,1.4832459537535315e-08,2.966491907507063e-07,-35.27756832066059
0.6,0.0094963214948405,-0.0006637743829202,20.0,10.0,22.352483379897258,5.0,22.904879682036817,True,1.483581163112967e-08,2.9671623262259337e-07,-35.27658693839617
0.62,0.0116602959173632,-0.0007397410091487,20.0,10.0,22.3505820839907,5.0,22.903024243387733,True,1.4839493651278463e-08,2.9678987302556924e-07,-35.275509220053685
0.64,0.0140138682177364,-0.0008198393287669,20.0,10.0,22.348513129926673,5.0,22.901005198866375,True,1.4843501715952352e-08,2.9687003431904703e-07,-35.27433637320314
0.66,0.0165538646790864,-0.0009038230130005,20.0,10.0,22.34627925898243,5.0,22.898825225771485,True,1.484783085702924e-08,2.969566171405848e-07,-35.27306992812879
0.68,0.0192766766390498,-0.0009913987017012,20.0,10.0,22.34388358100726,5.0,22.896487361200315,True,1.4852475411223551e-08,2.9704950822447103e-07,-35.271711622759334
0.7,0.022178474635391,-0.0010822248825738,20.0,10.0,22.34132938229468,5.0,22.893994814539983,True,1.4857429389812963e-08,2.9714858779625924e-07,-35.270263293928124
0.72,0.0252554048578236,-0.0011759102672865,20.0,10.0,22.33861994907636,5.0,22.891350795208055,True,1.4862686818819416e-08,2.972537363763883e-07,-35.268726777439234
0.74,0.0285038213679233,-0.001272008290435,20.0,10.0,22.33575835732759,5.0,22.888558307524075,True,1.48682421455094e-08,2.97364842910188e-07,-35.2671037889631
0.76,0.0319203777452875,-0.0013700177551258,20.0,10.0,22.332747391056817,5.0,22.88562007096935,True,1.4874090396569418e-08,2.9748180793138835e-07,-35.26539587772695
0.78,0.0355021513286864,-0.0014693797950979,20.0,10.0,22.329589429825628,5.0,22.882538410425106,True,1.4880227396797262e-08,2.9760454793594525e-07,-35.26360436269999
0.8,0.0392467405056496,-0.0015694745457744,20.0,10.0,22.326286360265563,5.0,22.87931516983365,True,1.4886649942104094e-08,2.977329988420819e-07,-35.26173028232666
0.82,0.0431523351304789,-0.0016696176731226,20.0,10.0,22.32283951158306,5.0,22.875951649273386,True,1.4893355926758382e-08,2.978671185351676e-07,-35.25977435780929
0.84,0.0472178487661622,-0.0017690509321392,20.0,10.0,22.319249533144692,5.0,22.872448485520295,True,1.490034458425243e-08,2.980068916850486e-07,-35.257736923459625
0.86,0.0514428477965634,-0.0018669448524689,20.0,10.0,22.315516459120083,5.0,22.86880571514961,True,1.490761636500363e-08,2.9815232730007257e-07,-35.25561796314437
0.88,0.0558275493086855,-0.0019623958724592,20.0,10.0,22.31163970915991,5.0,22.8650227752207,True,1.491517293877495e-08,2.98303458775499e-07,-35.25341711041541
0.9,0.0603727995638907,-0.0020544240104624,20.0,10.0,22.307618106674653,5.0,22.86109852113933,True,1.492301716320162e-08,2.9846034326403236e-07,-35.25113365860406
0.92,0.0650800360368672,-0.00214197120837,20.0,10.0,22.30344991210606,5.0,22.85703125915139,True,1.4931153023350712e-08,2.9862306046701426e-07,-35.24876657940964
0.94,0.069951364925583,-0.0022238901073517,20.0,10.0,22.299132748702714,5.0,22.85281867394624,True,1.493958578150048e-08,2.9879171563000957e-07,-35.24631448041545
0.96,0.074989365245919,-0.0022989543805173,20.0,10.0,22.294663782346323,5.0,22.848458004160037,True,1.4948321631229684e-08,2.989664326245937e-07,-35.24377570686548
0.98,0.0801970206597087,-0.0023658595828181,20.0,10.0,22.2900397829318,5.0,22.8439461022977,True,1.495736758216761e-08,2.9914735164335223e-07,-35.24114837621431
1.0,0.0855776474535276,-0.0024232248803568,20.0,10.0,22.285257189568814,5.0,22.839279498382353,True,1.4966731337070665e-08,2.993346267414133e-07,-35.23843041486283
1.02,0.0911348213592106,-0.0024695956180963,20.0,10.0,22.28031217717921,5.0,22.834454464965003,True,1.4976421165884487e-08,2.9952842331768975e-07,-35.2356195957075
1.04,0.0968724953907428,-0.0025034286960185,20.0,10.0,22.27520054468218,5.0,22.829466908051295,True,1.498644612951088e-08,2.997289225902176e-07,-35.232713474271414
1.06,0.1027947306294369,-0.0025231148177799,20.0,10.0,22.269917965586036,5.0,22.82431261164138,True,1.499681559335194e-08,2.999363118670388e-07,-35.22970953083948
1.08,0.1089056325098824,-0.0025269830187139,20.0,10.0,22.264460046954085,5.0,22.818987295285798,True,1.5007539115176397e-08,3.0015078230352793e-07,-35.22660520375199
1.1,0.1152092932524812,-0.0025133056091171,20.0,10.0,22.25882238304713,5.0,22.813486666444476,True,1.501862634298638e-08,3.0037252685972763e-07,-35.22339791970299
1.12,0.1217097412387226,-0.0024803033924602,20.0,10.0,22.253000602869665,5.0,22.80780646689457,True,1.5030086924409642e-08,3.006017384881928e-07,-35.22008512060336
1.14,0.1284112340959244,-0.0024261137387949,20.0,10.0,22.24699009398819,5.0,22.8019422032863,True,1.5041931053873106e-08,3.0083862107746213e-07,-35.216664106198124
1.16,0.1353178626659283,-0.0023488345940845,20.0,10.0,22.240786376075484,5.0,22.795889511625223,True,1.5054168740959975e-08,3.010833748191995e-07,-35.21313224638756
1.18,0.1424335235527437,-0.0022465296466886,20.0,10.0,22.23438512768795,5.0,22.7896441834082,True,1.5066809759409983e-08,3.013361951881997e-07,-35.20948699636308
1.2,0.1497618988257001,-0.0021172332647062,20.0,10.0,22.227782206537896,5.0,22.783202185410257,True,1.5079863608589886e-08,3.015972721717977e-07,-35.20572590806552
1.22,0.1573064422638982,-0.0019589551134353,20.0,10.0,22.220973663770803,5.0,22.776559673620504,True,1.5093339486481962e-08,3.0186678972963925e-07,-35.20184663825248
1.24,0.1650711073085582,-0.001769589566309,20.0,10.0,22.21395505309442,5.0,22.769712319238884,True,1.5107247660539384e-08,3.021449532107877e-07,-35.19784655464875
1.26,0.1730595304591186,-0.0015470216571394,20.0,10.0,22.206722207681548,5.0,22.762656066661833,True,1.512159793470463e-08,3.024319586940926e-07,-35.19372317829797
1.28,0.1812750370421504,-0.001289130055591,20.0,10.0,22.199271236244144,5.0,22.755387129652103,True,1.513639965738445e-08,3.0272799314768897e-07,-35.18947418133398
1.3,0.1897206505620232,-0.0009937895717243,20.0,10.0,22.19159851569555,5.0,22.747901984179133,True,1.5151661736051345e-08,3.030332347210269e-07,-35.18509738281769
1.32,0.1983991047016483,-0.0006588731985369,20.0,10.0,22.183700681238133,5.0,22.740197358747025,True,1.5167392656860116e-08,3.033478531372023e-07,-35.18059074311381
1.34,0.2073130687587118,-0.0002822223166697,20.0,10.0,22.175574411593324,5.0,22.732270024881206,True,1.5183600913075283e-08,3.0367201826150563e-07,-35.17595224132081
1.36,0.2164649190097483,0.0001383166642586,20.0,10.0,22.167216649516877,5.0,22.724117012254144,True,1.520029456690621e-08,3.040058913381242e-07,-35.17118000105566
1.38,0.2258567561214059,0.0006048916486787,20.0,10.0,22.158624586430218,5.0,22.71573559368813,True,1.5217481279638674e-08,3.0434962559277347e-07,-35.166272281744604
1.4,0.2354904223865757,0.0011196444809935,20.0,10.0,22.149795647083444,5.0,22.70712327018895,True,1.5235168341720528e-08,3.0470336683441057e-07,-35.16122746993186
