simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
0.0,0.0,0.0,20.0,10.0,22.360679774997898,5.0,22.9128784747792,True,1.4819952314281656e-08,2.9639904628563313e-07,-35.281231981068565
0.02,1.8662153964567964e-05,2.062554165487218e-06,20.0,10.0,22.360662160658627,5.0,22.912861284944547,True,1.4819986372686538e-08,2.9639972745373077e-07,-35.28122200036148
0.04,4.21079848295799e-05,8.886221986222902e-06,20.0,10.0,22.360638138434673,5.0,22.912837841655914,True,1.4820032821294624e-08,2.964006564258925e-07,-35.28120838878178
0.06,5.553487827234629e-05,2.273358800369364e-05,20.0,10.0,22.360619936323545,5.0,22.912820078216257,True,1.4820068016444691e-08,2.9640136032889383e-07,-35.28119807501156
0.08,4.445838551169161e-05,4.535075713024888e-05,20.0,10.0,22.360619728743437,5.0,22.91281987563884,True,1.4820068417817067e-08,2.9640136835634133e-07,-35.28119795739145
0.1,-4.165748640426823e-06,7.796374798502091e-05,20.0,10.0,22.360648634623317,5.0,22.912848084886384,True,1.4820012526174685e-08,2.964002505234937e-07,-35.28121433618064
0.12,-0.0001010307198616,0.0001212491459201,20.0,10.0,22.360715915882135,5.0,22.91291374467212,True,1.4819882433987275e-08,2.963976486797455e-07,-35.2812524593381
0.14,-0.0002537619861531,0.000175348823768,20.0,10.0,22.360828329874387,5.0,22.913023449516935,True,1.481966507839952e-08,2.963933015679904e-07,-35.28131615554151
0.16,-0.0004663934647547,0.0002399272692917,20.0,10.0,22.36098963526195,5.0,22.913180867533264,True,1.4819353197232094e-08,2.9638706394464186e-07,-35.28140755416259
0.18,-0.0007390760039419,0.0003142130474653,20.0,10.0,22.361200312688304,5.0,22.913386467830797,True,1.4818945869034282e-08,2.963789173806856e-07,-35.281526926997216
0.2,-0.0010679808281385,0.0003970636684705,20.0,10.0,22.361457449325588,5.0,22.913637407840746,True,1.4818448735490622e-08,2.9636897470981243e-07,-35.28167262290448
0.22,-0.0014453889510001,0.0004870362072581,20.0,10.0,22.361754787141557,5.0,22.91392758040944,True,1.4817873906484448e-08,2.9635747812968895e-07,-35.28184109526758
0.24,-0.001859950676659,0.0005824746619932,20.0,10.0,22.36208291578671,5.0,22.914247802023088,True,1.4817239584945847e-08,2.9634479169891694e-07,-35.28202701144036
0.26,-0.0022970611746717,0.0006815847808565,20.0,10.0,22.36242957490124,5.0,22.914586107813893,True,1.4816569479895145e-08,2.963313895979029e-07,-35.28222342421013
0.28,-0.0027393326507445,0.0007825498832485,20.0,10.0,22.362780024511544,5.0,22.914928113016032,True,1.4815892088030983e-08,2.9631784176061965e-07,-35.28242198182781
0.3,-0.0031671526557615,0.0008836301242036,20.0,10.0,22.363117499923945,5.0,22.91525745688677,True,1.4815239812631185e-08,2.963047962526237e-07,-35.28261318586808
0.32,-0.0035592751650287,0.0009832850085704,20.0,10.0,22.363423685601425,5.0,22.915556265160113,True,1.4814648046853574e-08,2.962929609370715e-07,-35.282786659769194
0.34,-0.0038934593835905,0.001080263425498,20.0,10.0,22.36367924633218,5.0,22.915805668420838,True,1.4814154147739601e-08,2.96283082954792e-07,-35.28293144973298
0.36,-0.0041470692793182,0.0011736890077098,20.0,10.0,22.363864325441345,5.0,22.91598628832606,True,1.4813796475550555e-08,2.962759295110111e-07,-35.28303630683904
0.38,-0.0042976640083513,0.0012631885375889,20.0,10.0,22.36395901568288,5.0,22.916078697175564,True,1.4813613487549246e-08,2.9627226975098493e-07,-35.28308995356639
0.4,-0.0043235434101634,0.0013489426020286,20.0,10.0,22.36394382476042,5.0,22.916063872249957,True,1.4813642843664618e-08,2.962728568732924e-07,-35.28308134716776
0.42,-0.0042042462856539,0.0014316281198275,20.0,10.0,22.363800146984758,5.0,22.915923656145207,True,1.4813920501498157e-08,2.9627841002996316e-07,-35.28299994643726
0.44,-0.0039209767210624,0.0015123097180984,20.0,10.0,22.363510693440322,5.0,22.915641176620383,True,1.48144798922494e-08,2.9628959784498803e-07,-35.28283595492014
0.46,-0.003456954080876,0.0015923194437341,20.0,10.0,22.36305985907056,5.0,22.915201204885218,True,1.481535121870758e-08,2.963070243741516e-07,-35.28258052837287
0.48,-0.0027976903381408,0.0016730891331397,20.0,10.0,22.36243404589852,5.0,22.91459047107675,True,1.4816560837549292e-08,2.9633121675098584e-07,-35.282225957403945
0.5,-0.0019311858753789,0.0017559704257801,20.0,10.0,22.361621918801205,5.0,22.91379791390791,True,1.4818130770893831e-08,2.963626154178766e-07,-35.281765811978346
0.52,-0.0008479982905173,0.0018421390615262,20.0,10.0,22.36061450995852,5.0,22.912814782626935,True,1.4820078508750545e-08,2.964015701750109e-07,-35.28119500029631
0.54,0.0004587696351367,0.0019324898001494,20.0,10.0,22.359405255139905,5.0,22.911634672444873,True,1.4822416941318639e-08,2.964483388263728e-07,-35.28050978918481
0.56,0.0019935136645784,0.0020275173388611,20.0,10.0,22.357990007859893,5.0,22.910253538351835,True,1.4825154331930275e-08,2.965030866386055e-07,-35.27970781209882
0.58,0.0037582663523449,0.0021271805756164,20.0,10.0,22.35636697640869,5.0,22.908669633653044,True,1.4828294436897998e-08,2.9656588873795996e-07,-35.278788033576056
0.6,0.0057528822044235,0.0022308572927486,20.0,10.0,22.354536578474313,5.0,22.906883368069654,True,1.4831836782681086e-08,2.966367356536217e-07,-35.277750667137916
0.62,0.0079752751782572,0.0023373896247563,20.0,10.0,22.35250120833861,5.0,22.904897080510512,True,1.4835777110511455e-08,2.9671554221022913e-07,-35.276597043762706
0.64,0.0104216433758674,0.0024451073344124,20.0,10.0,22.35026502544159,5.0,22.902714832689107,True,1.4840107778409657e-08,2.9680215556819313e-07,-35.27532949255638
0.66,0.0130867707796374,0.0025519618001901,20.0,10.0,22.347833624512447,5.0,22.900342087158634,True,1.4844818391755691e-08,2.9689636783511384e-07,-35.273951154346605
0.68,0.0159643159453867,0.0026556553077211,20.0,10.0,22.345213719450502,5.0,22.89778539876551,True,1.4849896407244042e-08,2.9699792814488083e-07,-35.272465803069764
0.7,0.0190470759661305,0.0027537229124628,20.0,10.0,22.342412870529408,5.0,22.895052148383463,True,1.4855327653302905e-08,2.971065530660581e-07,-35.270877691689286
0.72,0.0223272676520013,0.0028436481967119,20.0,10.0,22.339439181035893,5.0,22.89215024682482,True,1.4861096910558313e-08,2.9722193821116627e-07,-35.26919138072896
0.74,0.0257902506739864,0.0029231078529238,20.0,10.0,22.33630680075763,5.0,22.88909350537001,True,1.4867177218845272e-08,2.9734354437690545e-07,-35.26741486026052
0.76,0.0294213458630904,0.0029898616941846,20.0,10.0,22.333029876988434,5.0,22.88589573266596,True,1.4873541591242559e-08,2.974708318248512e-07,-35.265556121154205
0.78,0.0332060990743397,0.0030418108779509,20.0,10.0,22.32962229230706,5.0,22.882570478796662,True,1.4880163516662052e-08,2.9760327033324105e-07,-35.26362300680336
0.8,0.0371304972664202,0.0030769925179713,20.0,10.0,22.326097473600125,5.0,22.879130848891396,True,1.4887017326353926e-08,2.9774034652707854e-07,-35.26162310510122
0.82,0.0411811601635735,0.0030935557901221,20.0,10.0,22.322468231261848,5.0,22.87558934619378,True,1.4894078503846728e-08,2.9788157007693457e-07,-35.25956365739263
0.84,0.0453397632304594,0.0030903225200371,20.0,10.0,22.318751494306397,5.0,22.871962492637227,True,1.4901314462233095e-08,2.980262892446619e-07,-35.25745424613981
0.86,0.0495892580519667,0.0030666528095267,20.0,10.0,22.314962807959247,5.0,22.868265459378513,True,1.490869523662801e-08,2.981739047325602e-07,-35.25530367343636
0.88,0.0539139679811175,0.0030224973975132,20.0,10.0,22.31111622452447,5.0,22.864511960333616,True,1.491619370126104e-08,2.983238740252208e-07,-35.25311989874518
0.9,0.0582996615972294,0.0029584441524241,20.0,10.0,22.307224216741904,5.0,22.86071416767194,True,1.4923785744776972e-08,2.9847571489553943e-07,-35.25090998926287
