simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.07566638037046,118.62056417620377,0.0,0.0,0.0,-10.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,-51.07566638037046,118.62056417620377,-1.021513327607409,2.3724112835240754,39.999988750000526,-19.9700000028125
[0.04],5.7089844000818895e-05,1.4241057195612679e-08,0.0021195922659028275,4.7943680367953514e-08,0.00024823891382877536,-2.662520361507271e-07,0.0016879687322325465,7.12052859780634e-07,0.06919093670426901,2.398520587648299e-06,0.00739200566697153,-1.331260174044138e-05,-51.07566638037046,118.62056417620377,-2.02259638866267,4.697374341377669,39.999955000008434,-19.940000022499998
[0.06],8.852593795409789e-05,8.439292446650368e-08,0.004056352183547514,2.792044406486472e-07,0.0003847915694065227,-1.5704416808119171e-06,0.001547765689632406,3.5126546482314205e-06,0.09683838308145017,1.1579225544909303e-05,0.006827632775760975,-6.520980756571549e-05,-51.07566638037046,118.62056417620377,-3.0036577884968256,6.975838138074192,39.99989875004272,-19.910000075937482
[0.08],0.00010482450831261693,2.7815140407894066e-07,0.006447093061447979,9.018901250811916e-07,0.00045030718971321155,-5.147798883527365e-06,0.0007689315967921176,9.722579136879872e-06,0.11953734862032377,3.120311106454678e-05,0.0032757809653936177,-0.00017886876150637689,-51.07566638037046,118.62056417620377,-3.9650979603342984,9.208732658836784,39.999820000135,-19.880000179999918
[0.1],9.482432662300212e-05,6.881499553372468e-07,0.00919218064859588,2.1827348996344187e-06,0.00038813864894203054,-1.2657440083170132e-05,-0.0005618157710639845,2.062114177017686e-05,0.13725414026514174,6.421132099316532e-05,-0.0031084273772013153,-0.0003754792184528545,-51.07566233486737,118.62056342075026,-4.907309328735021,11.396969289184124,39.99971875032959,-19.850000351562255
[0.12],4.971135675992759e-05,1.4312534533092104e-06,0.012194150377832738,4.434184759139185e-06,0.00014814178428084417,-2.6144760841547777e-05,-0.002313907815634605,3.745424742899279e-05,0.15009759956963942,0.00011283424049151643,-0.011999844704992909,-0.0006743397946434965,-51.07566233486737,118.62056342075026,-5.830676388857668,13.541441171815446,39.999595000683435,-19.820000607499384
[0.14],-3.635388364284655e-05,2.6482154969245998e-06,0.015360140762289587,8.003073409930979e-06,-0.0003106991273025204,-4.800564757575487e-05,-0.004326714335450052,6.143752088408385e-05,0.15829887972180665,0.00017860635807733576,-0.022942050425703173,-0.0010929425954367895,-51.07566233486737,118.62056342075026,-6.735576107777862,15.643023616794142,39.99944875126615,-19.790000964686172
[0.16],-0.00016582210733767828,4.503590735989157e-06,0.0186038938215637,1.3261037862331624e-05,-0.001018433765971827,-8.095224502610595e-05,-0.006423023756830453,9.375601727419037e-05,0.16218965567481092,0.0002623863986744964,-0.03538674511603335,-0.0016470465903397737,-51.07566233486737,118.62056342075026,-7.6223778323196525,17.702574412873265,39.99928000216,-19.760001439997406
[0.18],-0.00033755111983973477,7.185718616754531e-06,0.021847315384668012,2.0596576936015798e-05,-0.0019930742013393827,-0.00012798000508985497,-0.008421296526905432,0.00013556197278955228,0.16217973701003705,0.0003643822211588338,-0.04873205294592206,-0.002350740546356602,-51.07566233486737,118.62056342075026,-8.491443522370608,19.720934193030804,39.999088753459894,-19.730002050307828
