simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.192939991436216,72.50896257638608,0.0,0.0,0.0,-10.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,-14.192939991436216,72.50896257638608,-0.2838587998287243,1.4501792515277216,39.999988750000526,-19.9700000028125
[0.04],5.691852276420162e-05,4.910211231162917e-09,0.0021195853633760482,1.6530626523888654e-08,0.00024816265561075315,-9.180173355599324e-08,0.001679402705095126,2.4551056155814585e-07,0.06919059071790948,8.269921653902518e-07,0.00738819275607042,-4.590086654665811e-06,-14.192939991436216,72.50896257638608,-0.5620404236608741,2.8713549180248887,39.999955000008434,-19.940000022499998
[0.06],8.751809693852521e-05,2.9098139160176807e-08,0.004056313818342044,9.62676878082625e-08,0.00038435412029947194,-5.414768777239674e-07,0.0015059474779111014,1.2111376241139306e-06,0.09683679945003408,3.992432693058366e-06,0.006809573234064268,-2.248386908258287e-05,-14.192939991436216,72.50896257638608,-0.8346584150163809,4.264107071192113,39.99989875004272,-19.910000075937482
[0.08],0.00010153056858217703,9.590601211407256e-08,0.006446975880139182,3.1096631022492615e-07,0.0004489176214488396,-1.7749280577490234e-06,0.0006546804890692628,3.3522802196887534e-06,0.1195333635478896,1.0758635222411097e-05,0.0032281750515312947,-6.167286521481651e-05,-14.192939991436216,72.50896257638608,-1.1018240465447775,5.629004181295992,39.999820000135,-19.880000179999918
[0.1],8.674998957712637e-05,2.372801357578656e-07,0.009191914482157434,7.526011133566309e-07,0.0003848346712160664,-4.364236606341407e-06,-0.0008006414516732824,7.110073522934407e-06,0.13724658450611232,2.2139859466374697e-05,-0.003204147551897886,-0.00012946441800229245,88.93066602343902,97.51684050436374,-1.3636463654426063,6.9666033491977934,39.99971875032959,-19.850000351562255
[0.12],3.308548302913718e-05,4.935397159965802e-07,0.012193646351590887,1.5289257453346729e-06,0.00014155301704609012,-9.01475805234612e-06,-0.0027409837080299543,1.2914223333461178e-05,0.15008554975012192,3.89057156912762e-05,-0.012164082883494739,-0.00023251690037968958,88.93066602343902,97.51684050436374,0.4422398823350262,8.777608092301111,39.999595000683435,-19.820000607499384
[0.14],-6.61927866217427e-05,9.288266893787703e-07,0.015359322097410682,2.8119258970952653e-06,-0.0003220989739852093,-1.6843605898180303e-05,-0.0049863191763767235,2.196160326988578e-05,0.15828308301485547,6.420541743947319e-05,-0.023182600150024223,-0.00039140694389623755,88.93066602343902,97.51684050436374,2.212008405157106,10.552392740542365,39.99944875126615,-19.790000964686172
[0.16],-0.00021426346941869287,1.6142723170552928e-06,0.01860271171274701,4.77296651613471e-06,-0.0010362007280407728,-2.9044192287317496e-05,-0.007351299709552563,3.460359441207908e-05,0.1621718569286903,9.785554113747189e-05,-0.03570508941799416,-0.0006099288877490944,88.93066602343902,97.51684050436374,3.946381557522744,12.291681695818792,39.99928000216,-19.760001439997406
[0.18],-0.0004104038306753096,2.6219304049405738e-06,0.021845766606453303,7.559214708590295e-06,-0.002018617156984765,-4.675901716140575e-05,-0.009638991495039901,5.0872065162552366e-05,0.16216281943063926,0.00013839460406544013,-0.049120825674251106,-0.0008855063161428762,88.93066602343902,97.51684050436374,5.64606724684107,13.99618487198969,39.999088753459894,-19.730002050307828
[0.2],-0.0006500123391831542,4.0252588196290465e-06,0.025019741218340733,1.129483990261148e-05,-0.0032746793961039534,-7.10807492249796e-05,-0.011660052521392697,7.080604588340807e-05,0.15872259061226002,0.00018432644808665492,-0.06280312114680608,-0.0012156093832730475,89.70582984465868,97.2084347116657,7.311759222373029,15.666597984637171,39.998875005273426,-19.70000281249209
[0.22],-0.0009248069294599104,5.899329406304673e-06,0.028065904235426545,1.6082346690248286e-05,-0.004797504728155626,-0.00010305319193251296,-0.01324090299845773,9.444769397032437e-05,0.15235232630825407,0.0002341403737691926,-0.07614128465381112,-0.0015977535604337829,89.70582984465868,97.2084347116657,8.959640634818742,17.29743471917774,39.998638757720826,-19.67000374342476
[0.24],-0.001223168183376463,8.319575369015903e-06,0.030935870142876964,2.1999946098892948e-05,-0.006568861990977889,-0.00014365117499143726,-0.014229472300355555,0.00012178385728116882,0.14356821131482322,0.0002861415570050326,-0.0885678957748257,-0.0020284514135160843,89.70582984465868,97.2084347116657,10.574564419015541,18.8956547190275,39.998380010934966,-19.640004859980316
[0.26],-0.0015306039941574156,1.1362102006701765e-05,0.03359158826590177,2.9105658393719223e-05,-0.008560483131275949,-0.00019379729950754946,-0.0144992345693869,0.00015284159570021848,0.13288401256566484,0.0003388155846222967,-0.0995811121502163,-0.002505061352440301,89.70582984465868,97.2084347116657,12.157189727528404,20.461910318880264,39.99809876506142,-19.61000617903313
[0.28],-0.0018302978380602916,1.5102825693017211e-05,0.036005032096178155,3.743808736012767e-05,-0.010735710265589088,-0.0002543631013141816,-0.01395117946668054,0.00018764803628126825,0.12079603953428364,0.0003906981387063426,-0.10876144480673622,-0.0030250135594494703,89.70582984465868,97.2084347116657,13.70816252987101,21.99684080673597,39.997795020258366,-19.58000771745746
[0.3],-0.002103707026057947,1.9616293461836462e-05,0.03815763489806828,4.701679300658612e-05,-0.013051369578795349,-0.0003261701436622468,-0.012514264763247875,0.00022623084936182987,0.10777068916214314,0.00044039104265476724,-0.11578309998734192,-0.003585810520223112,89.01526427642202,97.48335972458396,15.228115876166765,23.501072684834565,39.997468776696664,-19.550009492127433
[0.32],-0.0023311787577928404,2.4974255177071898e-05,0.040039519628670354,5.7842285408169584e-05,-0.015459767467985377,-0.00040999106481116735,-0.01014468089779435,0.0002686189584402654,0.09423464799504865,0.0004865772819340089,-0.12042009135916518,-0.004185027352910195,89.01526427642202,97.48335972458396,16.70385884417187,24.980718425629554,39.997120034559835,-19.520011519917055
[0.34],-0.002492565663068112,3.124576392846021e-05,0.041648571343330686,6.990186648334732e-05,-0.017910716924887504,-0.0005065820497067617,-0.0068247801245856264,0.00031492727231827465,0.08056770079090912,0.0005283183195831266,-0.122547751958884,-0.004821883680515653,89.01526427642202,97.48335972458396,18.15008695281687,26.430771251608643,39.99674879404404,-19.490013817700188
[0.36],-0.0025677856880029974,3.8494088329691815e-05,0.042989402101551416,8.316347216012777e-05,-0.020353493797325033,-0.0006166557697681308,-0.0025598832822899386,0.0003652012027378044,0.06709812148662668,0.0005645105920825241,-0.12213922797969261,-0.005494265505970279,89.01526427642202,97.48335972458396,19.567390499288972,27.85182302106815,39.9963550553581,-19.460016402350533
[0.38],-0.0025373341821454394,4.677509409830332e-05,0.04407225321535853,9.757497806988037e-05,-0.022738663008210078,-0.0007408820567245285,0.002623918453181267,0.00041948828674681296,0.054100324318579016,0.0005941620759471804,-0.11925897657932259,-0.006200109858939678,89.01526427642202,97.48335972458396,20.956347974831633,29.244453755138466,39.995938818723495,-19.430019290741637
[0.4],-0.002382725077523273,5.613574128119585e-05,0.04491187885818819,0.00011306361500706697,-0.025019710920701897,-0.0008798886415604335,0.008682623992863554,0.000477837697712911,0.04179462590268471,0.0006164042711974776,-0.11405307308455656,-0.0069374038034210215,91.97687502327341,96.28361430482396,22.31752630086344,30.609231874527374,39.99550008437437,-19.400022499746875
