simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.97924438524218,70.28477232877269,0.0,0.0,20.0,10.0
[0.02],1.8662153964567964e-05,2.062554165487218e-06,0.0007355939840689701,2.480281911720796e-05,9.838268157640478e-05,-0.00011877010985736846,0.0009331076982283981,0.0001031277082743609,0.0367796992034485,0.001240140955860398,0.004919134078820239,-0.0059385054928684225,83.97924438524218,70.28477232877269,1.6795848877048436,1.4056954465754539,20.0,10.0
[0.04],4.209523965777555e-05,8.897432271404057e-06,0.002119044075992532,7.690321722137929e-05,0.00024186637448472576,-0.00038449046074067806,0.0011648083052827598,0.0003435987362579195,0.06917261102696814,0.002606327019239924,0.007173855112521036,-0.0132861954157842,83.97924438524218,70.28477232877269,3.3255780776555905,2.7832769842193987,20.0,10.0
[0.06],5.545991935011134e-05,2.279996157554063e-05,0.004055270459574912,0.00015604103739475992,0.00037137922755370556,-0.0008139050170224268,0.0006445512436465611,0.0007028284554631526,0.09681142414260097,0.00396208405571234,0.006473991466305112,-0.021471225120338777,83.97924438524218,70.28477232877269,4.938651403807322,4.133306891110465,20.0,10.0
[0.08],4.421350410685013e-05,4.556909869475429e-05,0.006445339846030533,0.0002592653955517809,0.0004268472933115906,-0.0014114471735358369,-0.0006076282378198811,0.0011566462007101912,0.11950307287398221,0.005172313644821827,0.0027687411995706715,-0.02987753816629584,83.97924438524218,70.28477232877269,6.519463263436019,5.456336199863709,20.0,10.0
[0.1],-4.7656138678359234e-06,7.850234177141213e-05,0.009189667085317429,0.00038114748572998735,0.0003513646378751797,-0.0021691116454881777,-0.002509847842835781,0.001678779067092837,0.13721487250521572,0.006110274859873846,-0.003783954452920707,-0.03788224037123925,83.97924438524218,70.28477232877269,8.068658885872143,6.752904922441888,20.0,10.0
[0.12],-0.00010226475546756586,0.00012236501158829067,0.012190854495361603,0.0005142153976002172,9.462137373035821e-05,-0.0030671837645678017,-0.004932428013283036,0.0022397479483983215,0.15005680390965603,0.006669173132432162,-0.012854277169830577,-0.04489870706813502,83.97924438524218,70.28477232877269,9.586870595859544,8.023542270568504,20.0,10.0
[0.14],-0.00025601427796529406,0.00017740404586267817,0.015356122927276613,0.0006495033213501271,-0.0003844421240636979,-0.004075757530726298,-0.00771085576077369,0.0028097406532348332,0.15826126880414454,0.006769167819251488,-0.02397910292963372,-0.05041636432425571,83.97924438524218,70.28477232877269,11.074718071647197,9.268766871732588,20.0,10.0
[0.16],-0.0004701645119798653,0.00024340463402296406,0.018599308813080733,0.0007771689052907001,-0.0011157675426665438,-0.005156937610492728,-0.010658531193558432,0.003361685872864872,0.16216125464025233,0.006362496639222541,-0.036601374714894386,-0.054035238678209856,83.97924438524218,70.28477232877269,12.532808597919097,10.48908698087339,20.0,10.0
[0.18],-0.0007449925110783453,0.0003197316634911668,0.02184241921595771,0.000887183146248513,-0.002117089720076253,-0.006267587869521418,-0.013579961440686574,0.0038714704377876613,0.16216781335496497,0.0054387506852330595,-0.05010925186182333,-0.05549355179451429,83.97924438524218,70.28477232877269,13.961737313665559,11.685000687831376,20.0,10.0
