simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.97924438524218,70.28477232877269,0.0,0.0,20.0,10.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,83.97924438524218,70.28477232877269,1.6795848877048436,1.4056954465754539,20.0,10.0
[0.04],5.707688028227195e-05,-1.9299854661901e-09,0.0021195917435950493,-6.4974534569189365e-09,0.0002482331434403819,3.6083175080058867e-08,0.00168732054893042,-9.6499273309505e-08,0.06919091052380316,-3.2505380822043674e-07,0.007391717147551857,1.804158744910056e-06,83.97924438524218,70.28477232877269,3.3255780776555905,2.7832769842193987,20.0,10.0
[0.06],8.844967554411459e-05,-1.1437158806515453e-08,0.004056349280489923,-3.7838537033209575e-08,0.00038475846799283726,2.1283047942966434e-07,0.001544601344419038,-4.7604447062778936e-07,0.09683826324955576,-1.5692479057396683e-06,0.006826266227565346,8.837409298549504e-06,83.97924438524218,70.28477232877269,4.938651403807322,4.133306891110465,20.0,10.0
[0.08],0.00010457525863467305,-3.769599837675118e-08,0.006447084194480504,-1.2222697661332668e-07,0.00045020204167226977,6.976457938616184e-07,0.0007602863205586479,-1.317636686273325e-06,0.11953704707414906,-4.228748818657747e-06,0.003272178683054387,2.424088774176171e-05,83.97924438524218,70.28477232877269,6.519463263436019,5.456336199863709,20.0,10.0
[0.1],9.421334656743411e-05,-9.32615230158127e-08,0.009192160508279113,-2.9581399079761924e-07,0.00038788863520387395,1.7153923783671966e-06,-0.0005798874987593445,-2.79469087344503e-06,0.13725356853246812,-8.702260287953204e-06,-0.003115670329639571,5.088694324934512e-05,83.97924438524218,70.28477232877269,8.068658885872143,6.752904922441888,20.0,10.0
[0.12],4.8453280106323924e-05,-1.9397578571928953e-07,0.01219411223982328,-6.009535292778016e-07,0.00014764319659746553,3.5433280925474347e-06,-0.0023462243061114912,-5.076189011926334e-06,0.15009668779358518,-1.529242869759081e-05,-0.012012271957356341,9.139322543523952e-05,83.97924438524218,70.28477232877269,9.586870595859544,8.023542270568504,20.0,10.0
[0.14],-3.8656636062369974e-05,-3.589261453204598e-07,0.015360077014755252,-1.0846790151572038e-06,-0.000311581771076298,6.50632326633309e-06,-0.004378867448058733,-8.327214527117892e-06,0.15829759395696388,-2.4208147597838664e-05,-0.02296124847271515,0.00014813595843128093,83.97924438524218,70.28477232877269,11.074718071647197,9.268766871732588,20.0,10.0
[0.16],-0.00016969309617787643,-6.10441841651537e-07,0.01860379660259196,-1.7974244871979937e-06,-0.0010198669712521207,1.0972342497172883e-05,-0.006501288575537813,-1.2709078471975586e-05,0.16218801293398702,-3.5567697094084984e-05,-0.03541426025098017,0.00022326253759780357,83.97924438524218,70.28477232877269,12.532808597919097,10.48908698087339,20.0,10.0
[0.18],-0.000343651994811081,-9.741053255198168e-07,0.021847177227030348,-2.7919797708041153e-06,-0.001995253376757203,1.73481706472937e-05,-0.008532549797126237,-1.8379239742166977e-05,0.16217781759624514,-4.9402639409433636e-05,-0.048769320848178505,0.00031870358254301707,83.97924438524218,70.28477232877269,13.961737313665559,11.685000687831376,20.0,10.0
[0.2],-0.0005559403438556438,-1.4787483565031289e-06,0.025021418058010846,-4.122640408760504e-06,-0.0032433845692202727,2.6075363918685656e-05,-0.010297726233459675,-2.5491189877118582e-05,0.15873290399848106,-6.566238438328167e-05,-0.06240656084121517,0.00043618455713437905,83.96893778781359,70.36412745192061,15.362087455097091,12.856996120650203,20.0,10.0
[0.22],-0.0007985453383926402,-2.1564008926619343e-06,0.028067728645643206,-5.84449165063937e-06,-0.004757790087386014,3.7626408653948526e-05,-0.011636169832425443,-3.419442717063509e-05,0.1523540710963865,-8.421934136554891e-05,-0.07572027828867124,0.0005772370314987487,83.96893778781359,70.36412745192061,16.73422446175142,14.007138747275611,20.0,10.0
[0.24],-0.0010603515474160523,-3.0420458872652047e-06,0.030937665671393957,-8.01234810962715e-06,-0.006520717417684078,5.249887978336859e-05,-0.01240743862764484,-4.4628728983898975e-05,0.14355750761642924,-0.00010485483151169623,-0.08814637085945023,0.0007430999692290029,83.96893778781359,70.36412745192061,18.078918728272665,15.134278521368511,20.0,10.0
[0.26],-0.0013275813558562858,-4.173490839297825e-06,0.033593126122825646,-1.0680459204437963e-05,-0.008504413030981567,7.121390902823112e-05,-0.012495440085400177,-5.6935283385607294e-05,0.1328573252965634,-0.00012730382712294424,-0.09918478815909776,0.0009349368653319674,83.96893778781359,70.36412745192061,19.396719109463483,16.238875499979553,20.0,10.0
[0.28],-0.0015843192017775886,-5.591025814878714e-06,0.03600603976275917,-1.3901766955463735e-05,-0.01067274150380296,9.431291237579506e-05,-0.01181042475684325,-7.125225397831021e-05,0.1207504873777191,-0.0001512433326954555,-0.10841643596983813,0.0011537504644651793,83.96893778781359,70.36412745192061,20.688163483030486,17.321380539018374,20.0,10.0
[0.3],-0.0018130878462842676,-7.336964116870536e-06,0.0381578068774554,-1.7727029281985905e-05,-0.012983035280314907,0.00012235447682257104,-0.010289548041875651,-8.7715403002669e-05,0.10770430422850924,-0.0001762993819747905,-0.1155147083046898,0.0014003925111270722,83.96893778781359,70.36412745192061,21.953778969126148,18.382235477276417,20.0,10.0
[0.32],-0.0019954445254352507,-9.455072946449591e-06,0.040038529472037176,-2.2203777667255743e-05,-0.015388070686542044,0.00015591139921043614,-0.00789623831767324,-0.00010645877202294338,0.09414657664209738,-0.0002020544958645463,-0.12025180003318298,0.0016755730062584591,83.96893778781359,70.36412745192061,23.194082145499898,19.4218733167693,20.0,10.0
[0.34],-0.002112567855097164,-1.1989911124016921e-05,0.04164608484452531,-2.7375102796055862e-05,-0.01783807346619598,0.0001955678716748458,-0.0046186828623796744,-0.00012761534383084385,0.08045836141364464,-0.00022805563051588997,-0.12250018297346249,0.001979868902415241,83.96893778781359,70.36412745192061,24.40957925834617,20.440718399472328,20.0,10.0
[0.36],-0.0021458105090565883,-1.4986098756468035e-05,0.04298508995437378,-3.3278287527206006e-05,-0.020282667604342774,0.0002419168102074647,-0.0004676972818286164,-0.0001513176091149263,0.06696924817176177,-0.00025382264030352744,-0.12222977029179523,0.0023137321825749775,83.96893778781359,70.36412745192061,25.60076642893552,21.439186580521294,20.0,10.0
[0.38],-0.002077197571818969,-1.848754903221505e-05,0.04406580322483989,-3.994333090678578e-05,-0.02267269375280942,0.0002955573251105755,0.0045258110381634145,-0.00017769796877915134,0.05395496620848385,-0.0002788572620187357,-0.11950139659202742,0.0026774972889824365,83.96893778781359,70.36412745192061,26.76812985611308,22.41768539794928,20.0,10.0
[0.4],-0.0018898556880116244,-2.2536694780407047e-05,0.04490300741373848,-4.7391427713084663e-05,-0.024961837422362985,0.0003570923344761057,0.010313628878211249,-0.00020688891585171328,0.04163708483595878,-0.00030265259558799677,-0.11445730625044795,0.003071387895153036,83.94126818522109,70.57668040653594,27.91214601474709,23.376614239028708,20.0,10.0
[0.42],-0.001568363331459722,-2.7173742019597617e-05,0.045514913033081285,-5.563348354410968e-05,-0.027108021573865593,0.00042712632386586447,0.016833161423577096,-0.0002390229581040242,0.03018453007407162,-0.0003247030157212853,-0.10730937335346352,0.003495523042863251,83.94126818522109,70.57668040653594,29.03272845815657,24.32061556237885,20.0,10.0
[0.44],-0.0010990073227662063,-3.243542972211644e-05,0.04592211731804196,-6.466664006082031e-05,-0.02907452821762073,0.0005062530517745194,0.024010921430857365,-0.0002742049816120137,0.019716634056819886,-0.0003444225081539196,-0.09832555205950326,0.003949412650899681,83.94126818522109,70.57668040653594,30.13089925269786,25.245736859261992,20.0,10.0
[0.46],-0.00046997518042094335,-3.8354934477661314e-05,0.046146644990971236,-7.447525109318033e-05,-0.03083084611564616,0.0005950635008013248,0.03176451660882191,-0.00031256421110883016,0.010307311463202271,-0.00036134264504040836,-0.0878161817499643,0.004432966965999791,83.94126818522109,70.57668040653594,31.207106631348324,26.15235573020747,20.0,10.0
[0.48],0.0003285433569414826,-4.496136007266444e-05,0.04621109484016001,-8.503009164668153e-05,-0.03235322596615376,0.0006941441612189716,0.04000608565040296,-0.00035422790225041884,0.001990185821338541,-0.0003750291939430796,-0.07611936109179496,0.004946009706642826,83.94126818522109,70.57668040653594,32.26178986242578,27.040842223734042,20.0,10.0
[0.5],0.0013043297823934043,-5.2279334190898186e-05,0.046137906552717205,-9.628794315968565e-05,-0.033624955599759095,0.0008040754704513385,0.048645150038369445,-0.0003993202434149139,-0.0052357412787815095,-0.00038509197326158634,-0.0635869485792763,0.005488282214955794,83.94126818522109,70.57668040653594,33.29537942888169,27.91155898739008,20.0,10.0
[0.52],0.0024631771458478763,-6.0328712240768746e-05,0.04594875631138827,-0.00010819161099776479,-0.03463637267778812,0.0009254304038703269,0.057591324693589366,-0.00044796111034407776,-0.011400140176730007,-0.0003911941242311223,-0.05057143758760958,0.0060594473911350435,83.94126818522109,70.57668040653594,34.308297204008475,28.764861415772998,20.0,10.0
[0.54],0.0038089877958725786,-6.912438001960598e-05,0.04566408341206197,-0.00012067040911697758,-0.03538464049264909,0.0010587732072149267,0.0667568342345143,-0.0005002647459900536,-0.0165553810262879,-0.00039306052439318874,-0.03741411142007455,0.00665909350128927,83.94126818522109,70.57668040653594,35.30095662363273,29.601097795588256,20.0,10.0
[0.56],0.00534391836188019,-7.86761394748137e-05,0.045302744554439556,-0.00013364112339333598,-0.035873318646981914,0.0012046582557983141,0.07605877998313432,-0.0005563384453869043,-0.0207707630219467,-0.00039048507151390665,-0.024434787188188443,0.007286737935436095,83.94126818522109,70.57668040653594,36.27376285486449,30.42060944780721,20.0,10.0
[0.58],0.007068561607663898,-8.89886557077411e-05,0.044881787710597476,-0.00014700944095832246,-0.03611176461495271,0.0013636290212475962,0.08542110507357341,-0.0006162813275012456,-0.024127128907614738,-0.00038333658572375326,-0.011923359860225259,0.007941830973597862,83.94126818522109,70.57668040653594,37.227112961471626,31.223730866981782,20.0,10.0
[0.6],0.008982155007799086,-0.00010006143896920376,0.04441633372489487,-0.00016067180958743928,-0.03611440452680825,0.0015362171234901403,0.09477621183604333,-0.0006801832727992524,-0.026712007069223005,-0.0003715631100315233,-0.00013326336828973877,0.008623759596723693,83.89674840628523,70.91719245040922,38.16139606594662,32.01078985777286,20.0,10.0
[0.62],0.011082806426091617,-0.00011188883296728096,0.043919551111420645,-0.00017451767016052778,-0.03589991209670215,0.0017229414445509813,0.10406619681744393,-0.0007481240971024422,-0.028615381772258107,-0.00035519443333590153,0.010723122278277986,0.009331851357756547,83.89674840628523,70.91719245040922,39.076103112753394,32.78891790962559,20.0,10.0
[0.64],0.01336774975149491,-0.0001244587640258617,0.0434027095501102,-0.00018842722509948098,-0.03549032392981573,0.0019242852261843807,0.11324477239682297,-0.0008201140782314406,-0.029926108084993235,-0.0003341441702010089,0.02047765226211134,0.010064276328574687,83.89674840628523,70.91719245040922,39.97251601862403,33.55148340044126,20.0,10.0
[0.66],0.01583355705246571,-0.00013775385820027957,0.04287528996588959,-0.0002022792506032612,-0.034910157471836956,0.0021407173302324203,0.12227550257658111,-0.0008962089603551913,-0.03072918541578247,-0.00030861962114866743,0.02900628458298707,0.010820256436234413,83.89674840628523,70.91719245040922,40.85100066637725,34.298797581440624,20.0,10.0
[0.68],0.01847636588093596,-0.00015175128855301993,0.042345140264603474,-0.0002159540432127307,-0.034185531563849826,0.0023726914992870064,0.13113293612868718,-0.0009764534428817052,-0.031103576082499647,-0.00027890913272154766,0.036228949909603556,0.011598969988855871,83.89674840628523,70.91719245040922,41.711915621175415,35.03116547881999,20.0,10.0
[0.7],0.021292093842136577,-0.0001664225302188031,0.04181865927219523,-0.00022933636220054396,-0.03334332869894479,0.002620645608288496,0.1398022791018976,-0.0010608817686396505,-0.03112074658894757,-0.0002453763435839591,0.0421074664930086,0.012399555429492637,83.89674840628523,70.91719245040922,42.55561227687761,35.74888601825178,20.0,10.0
[0.72],0.024276635505388305,-0.00018173301099803837,0.041300994882923915,-0.00024231826693112962,-0.032410422152426066,0.002885000904652387,0.14827874720509662,-0.0011495186838165825,-0.03084381883213258,-0.00020845261955221338,0.046642296470120796,0.013221115013881356,83.89674840628523,70.91719245040922,43.382434999465765,36.45225214689493,20.0,10.0
[0.74],0.02742603779310878,-0.0001976416524324565,0.040796244366972684,-0.0002548017542330352,-0.03141298609822873,0.0031661612409112534,0.15656665125939428,-0.001242380741755,-0.030327257522275768,-0.00016862786903601296,0.04986839652044479,0.014062718375708572,83.89674840628523,70.91719245040922,44.19272126760215,37.14155095296521,20.0,10.0
