simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0
[0.02],1.8662153964567964e-05,2.062554165487218e-06,0.0007355939840689701,2.480281911720796e-05,9.838268157640478e-05,-0.00011877010985736846,0.0009331076982283981,0.0001031277082743609,0.0367796992034485,0.001240140955860398,0.004919134078820239,-0.0059385054928684225,0.0,0.0,0.0,0.0,20.0,11.5
[0.04],4.181808393461129e-05,8.899395452352554e-06,0.0021190329088767706,7.690971474728313e-05,0.00024174300818176987,-0.0003845265469755941,0.0011509505625635328,0.000343695235531229,0.06917205130542185,0.002606652073048144,0.007167686752623121,-0.013287999574529108,0.0,0.0,0.0,0.0,20.0,11.5
[0.06],5.382947371799089e-05,2.2811937160442533e-05,0.004055208384227498,0.0001560788840573645,0.00037067155128127924,-0.0008141178613131285,0.0005768990961923993,0.0007033035129363629,0.09680886225304379,0.00396365100028433,0.006444775148687545,-0.021480060818593435,0.0,0.0,0.0,0.0,20.0,11.5
[0.08],3.8884631644865104e-05,4.561010753712052e-05,0.00644515020708467,0.00025938743113620543,0.00042459934328990985,-0.0014121434690313405,-0.0007924639955426354,0.0011579507121140388,0.11949662633213341,0.0051765109076741785,0.002691722609453716,-0.02990169881700285,0.0,0.0,0.0,0.0,20.0,11.5
[0.1],-1.782840745551279e-05,7.860854235606013e-05,0.009189236198525231,0.00038144147313794695,0.00034601965017205593,-0.0021708157898232064,-0.002896235651021787,0.0016815044490610226,0.13720265065461973,0.006118808688062137,-0.003938824025938963,-0.03793259221482286,0.0,0.0,0.0,0.0,20.0,11.5
[0.12],-0.00012916319688474008,0.0001225974246214862,0.012190038148849633,0.0005148077437029494,8.396228554336351e-05,-0.003070676558812783,-0.005623417426741812,0.002244585190969961,0.15003731542250567,0.00668388200336392,-0.01312002948764024,-0.04498803450555107,0.0,0.0,0.0,0.0,20.0,11.5
[0.14],-0.00030524990887021927,0.00017785780362430628,0.015354757404289343,0.000650559284029863,-0.00040331140024857577,-0.004082099571568115,-0.008826064237225201,0.002817431050970133,0.15823379280606933,0.006791823085730793,-0.024389715479794353,-0.050558601145368066,0.0,0.0,0.0,0.0,20.0,11.5
[0.16],-0.0005529331013085658,0.0002442194080854262,0.018597224155399758,0.000778889481370598,-0.0011464055931723035,-0.005167477521988539,-0.012332213939542633,0.0033729727331275492,0.1621261644533048,0.006394622602580962,-0.037190006913496054,-0.05424471028368835,0.0,0.0,0.0,0.0,20.0,11.5
[0.18],-0.0008754423277888465,0.0003211026762121311,0.021839452533766124,0.0008897995664183271,-0.0021636713100982394,-0.006283959263707912,-0.01595925456042415,0.003887064552195228,0.16212684281746817,0.00548150722073534,-0.0509067511789824,-0.0557844165950045,0.0,0.0,0.0,0.0,20.0,11.5
[0.2],-0.0012722609134352397,0.0004075840209783019,0.02501276209290209,0.0009737757945434234,-0.0034608090330606805,-0.007386505572926278,-0.01952436344666099,0.004340519805051448,0.15870429435699368,0.00407953410845493,-0.064905912613226,-0.0550694549775878,89.68754298861089,-85.40427563021935,0.0,0.0,20.0,11.5
[0.22],-0.0017391837860043296,0.0005024665483545225,0.028058487089109862,0.001022435418559898,-0.00503112370929628,-0.008431051378692135,-0.022853376346839,0.004719920475075705,0.15236172937747353,0.002252232883631994,-0.07856655394442466,-0.05215049604944844,89.68754298861089,-85.40427563021935,1.7937508597722178,-1.708085512604387,20.0,11.5
[0.24],-0.0022684455297025444,0.0006043556395049452,0.030928309184769187,0.0010290626317442373,-0.0068563003773704605,-0.009377346844070752,-0.025782843852553722,0.0050180067914535696,0.14361758309185813,9.331518586929875e-05,-0.09130716138322759,-0.04722084347177743,89.68754298861089,-85.40427563021935,3.551626702348991,-3.3820093149566866,20.0,11.5
[0.26],-0.0028490062704570242,0.0007117214090622574,0.03358424612091764,0.0009890861422809983,-0.008907657153841515,-0.010191549658988091,-0.028165928952157426,0.005232705960229396,0.13298777091159533,-0.00227794323966638,-0.10260967680793759,-0.04060361361464488,89.68754298861089,-85.40427563021935,5.2743450280742294,-5.022454641261939,20.0,11.5
[0.28],-0.003467017395066849,0.000823014419696386,0.03599833702445176,0.0009004651555883964,-0.011147791934167569,-0.010848588574443993,-0.029879254302232174,0.005369095037597327,0.12097024393638706,-0.004723679334520904,-0.11203917633859747,-0.03273984207623225,89.68754298861089,-85.40427563021935,6.962608987284963,-6.630091061041087,20.0,11.5
