simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59454456066662,-84.59452858020052,0.0,0.0,30.0,0.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,84.59454456066662,-84.59452858020052,1.6918908912133324,-1.6918905716040105,30.0,1.5
[0.04],5.686890912156372e-05,-1.0340630699466855e-08,0.0021195833644440795,-3.481257649965905e-08,0.0002481405716703622,1.933293252739667e-07,0.001676922033010252,-5.170315349733427e-07,0.06919049052225401,-1.7415993265991679e-06,0.007387088559050873,9.666466214979735e-06,84.59454456066662,-84.59452858020052,3.349943964602398,-3.3499433317759406,30.0,1.5
[0.06],8.722623200353809e-05,-6.127908580397006e-08,0.0040563027079801766,-2.0273435165223064e-07,0.0003842274375934683,1.140319842215654e-06,0.0014938371648690327,-2.550587325786035e-06,0.09683634083960836,-8.40783809592002e-06,0.006804343294506943,4.7349761266062094e-05,84.59454456066662,-84.59452858020052,4.974835976523682,-4.974835036744432,30.0,1.5
[0.08],0.00010057666286928971,-2.019730511397266e-07,0.006446941944800848,-6.548768764595733e-07,0.0004485152109990349,3.7378933860919206e-06,0.0006215940277133484,-7.059692739838126e-06,0.11953220949639258,-2.2657029190475473e-05,0.003214388643947395,0.00012987931927377222,84.59454456066662,-84.59452858020052,6.567230148206541,-6.567228907613554,30.0,1.5
[0.1],8.441170999327953e-05,-4.997006050245208e-07,0.009191837399744912,-1.5849282107966365e-06,0.0003838778618038139,9.190785143798299e-06,-0.0008698039842860075,-1.4973234732256975e-05,0.1372443964215682,-4.6624851957616345e-05,-0.0032318676383089745,0.00027264244398659756,84.59454456066662,-84.59452858020052,8.127776436455742,-8.127774901065294,30.0,1.5
[0.12],2.8270735078646158e-05,-1.0393739878556197e-06,0.012193500378714686,-3.2197900264103393e-06,0.00013964496382964041,1.8984292715444395e-05,-0.0028646623836838625,-2.7195739449817068e-05,0.15008206028334237,-8.193106631337654e-05,-0.0122116456747936,0.0004896559879213663,84.59454456066662,-84.59452858020052,9.657111798939958,-9.657109974647998,30.0,1.5
[0.14],-7.559785340378853e-05,-1.9233441284255932e-06,0.015359054235731187,-5.811382989851649e-06,-0.0003257402867736021,3.485840944247481e-05,-0.0052155328942468165,-4.460953203269243e-05,0.1582769659283692,-0.00012969048519451392,-0.02326926508560762,0.0007936309064690739,84.59454456066662,-84.59452858020052,11.15586045417449,-11.155858346759048,30.0,1.5
[0.16],-0.00023179114800763888,-3.2714283263320955e-06,0.01860223665660634,-9.629732994797358e-06,-0.0010428553636871547,5.8783180214978285e-05,-0.007756844903064511,-6.807436085391499e-05,0.16216165597095014,-0.00019052783716955497,-0.035855760796872096,0.0011960301036225065,84.59454456066662,-84.59452858020052,12.624634136304334,-12.624631751427877,30.0,1.5
[0.18],-0.00044151897782627124,-5.221039062047547e-06,0.021844960064541438,-1.4957271208013559e-05,-0.0020302031594469955,9.293511081184542e-05,-0.010317306956505857,-9.842554566185894e-05,0.16214701708467807,-0.00026459613478342896,-0.049367406229392785,0.0017071202064359602,84.59454456066662,-84.59452858020052,14.06403234479158,-14.06402968800333,30.0,1.5
[0.2],-0.0007025712931999714,-7.927256731561002e-06,0.025018438775918497,-2.2084125004960573e-05,-0.0032938361043857705,0.0001396744671138508,-0.012730461283769385,-0.00013647155714173497,0.15870010600930662,-0.00035159817366487475,-0.06318168219446062,0.002336017973638125,84.59454690838889,-84.59452969031449,15.47464258910908,-15.474639665847274,30.0,1.5
[0.22],-0.001009465085445328,-1.1562677696322495e-05,0.0280639040052974,-3.1304061440796424e-05,-0.004827625282525892,0.00020152331521853145,-0.014843069351878724,-0.0001829917047776255,0.15232297431658767,-0.00045081084176527684,-0.07668952718181918,0.0030907320093934514,84.59454690838889,-84.59452969031449,16.857040675494677,-16.857037466336617,30.0,1.5
[0.24],-0.0013537439052280335,-1.6316881610790926e-05,0.03093293740321732,-4.291068003304194e-05,-0.006614082995656112,0.0002811441737779915,-0.016521259731416615,-0.00023873434934907543,0.1435330932198632,-0.0005611120207751144,-0.08932301023410545,0.0039782003659870205,84.59454690838889,-84.59452969031449,18.21179080015256,-18.211787310816174,30.0,1.5
[0.26],-0.0017243987005048332,-2.239539525678276e-05,0.03358746095875288,-5.719344086827702e-05,-0.008625636051306874,0.0003813191718823112,-0.01765456355545839,-0.00030441580409470634,0.13284583846659223,-0.0006810099957225051,-0.1005778676141034,0.00500432448890663,84.59454690838889,-84.59452969031449,19.539445922317288,-19.53944215840614,30.0,1.5
[0.28],-0.0021083764119781134,-3.001807853028342e-05,0.03599942623584482,-7.443315541987284e-05,-0.01082624152146867,0.0005049296287259112,-0.018158091463556215,-0.00038071987680033574,0.1207593577410911,-0.0008086754480037546,-0.11003062680034797,0.006173999903173441,84.59454690838889,-84.59452969031449,20.84054794203872,-20.840543909044307,30.0,1.5
[0.3],-0.0024911424763694816,-3.941691489286453e-05,0.038150249372926576,-9.489665357860535e-05,-0.013173236288591607,0.0006549359930132012,-0.017973172693944425,-0.0004682978416889783,0.10774201442982792,-0.0009419762376640002,-0.11735029627070503,0.0074911439397823115,84.59454690838889,-84.59452969031449,22.115627921365725,-22.11562362466971,30.0,1.5
[0.32],-0.00285726489847453,-5.083324660247696e-05,0.04003004028136386,-0.00011883046068973747,-0.015619315676040506,0.0008343581024466059,-0.017066791968986368,-0.0005677685274326106,0.09422248564376606,-0.001078515281379542,-0.12230482007576914,0.008958720808540068,84.59454690838889,-84.59452969031449,23.365206301106188,-23.365201745982606,30.0,1.5
[0.34],-0.0031909905640265506,-6.451454804580404e-05,0.04163667515018733,-0.0001464534596254148,-0.01811454408390096,0.0010462557473353076,-0.015430136936673123,-0.0006797181593281434,0.08058249100320264,-0.0012156718650712232,-0.12476267835332876,0.01057876435914218,84.59454690838889,-84.59452969031449,24.589793113251844,-24.589788304869245,30.0,1.5
[0.36],-0.0034767886111707774,-8.071087344495073e-05,0.042974760754396116,-0.00017794866097049121,-0.020608311020151482,0.001293709548166615,-0.013076522962388728,-0.0008046995945391054,0.06715204261988865,-0.0013506466851665533,-0.12469015720129743,0.012352398957820738,84.59454690838889,-84.59452969031449,25.789888189154585,-25.78988313257815,30.0,1.5
[0.38],-0.003699840562189262,-9.96711445971632e-05,0.04405453719691234,-0.00021345434539011437,-0.02305115844521469,0.0015798021846325878,-0.010038906544891769,-0.0009432306307068705,0.054207035961496605,-0.0014805107855400805,-0.12214491426884334,0.014279859026743336,84.59454690838889,-84.59452969031449,26.96598136353927,-26.965976063732878,30.0,1.5
[0.4],-0.0038464621459260925,-0.00012163945826843102,0.04489076262877244,-0.00025305496367724483,-0.025396419188654838,0.001907600041615913,-0.006367144343574735,-0.0010957911414499106,0.041968945495021205,-0.0016022583547444513,-0.11726653206498489,0.016360507930863244,84.59455318078821,-84.59453198349159,28.118552674436263,-28.11854713626451,30.0,1.5
[0.42],-0.003904446955605794,-0.00014685159110598524,0.04550161927146113,-0.00029677227160294803,-0.027601620663686138,0.0022801353634740655,-0.0021251090557393576,-0.0012628188888851718,0.030606347695157528,-0.001712863086309412,-0.11026478229677847,0.01859285703272189,84.59455318078821,-84.59453198349159,29.2480726845633,-29.24806683320905,30.0,1.5
[0.44],-0.0038633269835187146,-0.00017553186354735101,0.04590767485442279,-0.00034455723124780807,-0.02962962258250639,0.002700389028930604,0.0026122600896727136,-0.0014447039762693536,0.02023796664959379,-0.0018093375100458828,-0.10140632508203479,0.02097458586889478,84.59455318078821,-84.59453198349159,30.3550022944878,-30.3549961362147,30.0,1.5
[0.46],-0.003714549425205891,-0.0002078904952239477,0.04613092758950745,-0.0003962832234587748,-0.031449471326569514,0.0031712740698221957,0.0077619148946070715,-0.001641782018129554,0.010936923494957042,-0.0018887943772645148,-0.0910005405832843,0.023502564381543484,84.59455318078821,-84.59453198349159,31.43979331221381,-31.43978685316024,30.0,1.5
[0.48],-0.0034515727953998584,-0.00024412154601971423,0.04619395629800249,-0.00045174108802822015,-0.03303696659312632,0.003695620061503351,0.013235615949560684,-0.0018543262336508338,0.0027358695246798674,-0.0019485089281526607,-0.07938514143350407,0.026172878346464902,84.59455318078821,-84.59453198349159,32.5028885095853,-32.502881755766865,30.0,1.5
[0.5],-0.003069888279362566,-0.0002844014923035297,0.046119190585894414,-0.0005106364402542116,-0.034374947556088116,0.0042761585027777166,0.0189427638004874,-0.0020825387687298433,-0.004367307039970421,-0.0019859805889271614,-0.06691214681976063,0.028980858907736644,84.59455318078821,-84.59453198349159,33.54472180300935,-33.54471476032136,30.0,1.5
[0.52],-0.002566974346991108,-0.00032888844084111746,0.04592830934248735,-0.0005725896115320351,-0.03545331576126348,0.00491550928543892,0.02479309373016036,-0.0023265416492428952,-0.010403490273084386,-0.0019989924832792653,-0.05393471737539701,0.031921117109774716,84.59455318078821,-84.59453198349159,34.56571843056493,-34.56571110478477,30.0,1.5
[0.54],-0.0019421940353277277,-0.00037772193700155607,0.045641769615169143,-0.000637138435048639,-0.036268820131573135,0.005616168328200236,0.030699180473654362,-0.00258636783512711,-0.01542632258414194,-0.0019856670385496275,-0.040795258729132394,0.03498758412220683,84.59455318078821,-84.59453198349159,35.5662951255694,-35.566287522358905,30.0,1.5
[0.56],-0.001196645045524781,-0.00043102328246452106,0.045278462350112736,-0.0007037439551078901,-0.036824635682520236,0.0063804964209821175,0.03657869738309905,-0.002861952882974844,-0.019506393044822677,-0.0019445159547660813,-0.027815105032178464,0.03817355761994499,84.59455318078821,-84.59453198349159,36.54686028667377,-36.54685241158156,30.0,1.5
[0.58],-0.0003329730111501424,-0.0004888962435852901,0.04485548678998289,-0.0007717989903136914,-0.03712977182276946,0.0072107092972924875,0.04235637665348743,-0.0031531277297413797,-0.02272581373570607,-0.001874482881957624,-0.015285996291830804,0.04147175450588018,84.59455318078821,-84.59453198349159,37.50781414455606,-37.50780600301976,30.0,1.5
[0.6],0.0006448419109471927,-0.0005514280071373058,0.04438803162229555,-0.0008406393367976477,-0.037198348498616876,0.008108868928580445,0.04796562397427882,-0.0034596130813203526,-0.02517332788692229,-0.0017749773130776541,-0.0034634688138332013,0.04487436986455557,84.59456914777869,-84.59453716988635,38.4495489252807,-38.44954052262919,30.0,1.5
[0.62],0.0017317154923379937,-0.0006186902268247089,0.04388934834052856,-0.0009095572669452947,-0.03704877906308909,0.009076876017851492,0.05334975215996713,-0.0037810158294824324,-0.026940051463543887,-0.0016458984363082706,0.007437810043449551,0.04837314173184796,84.59456914777869,-84.59453716988635,39.372449329730664,-39.372440455574335,30.0,1.5
[0.64],0.0029216980298238555,-0.0006907400024586726,0.04337080070906558,-0.0009778168693943805,-0.036702897795714784,0.010116463663287915,0.0584628130254088,-0.004116827837362333,-0.028115909396261192,-0.0014876479990460834,0.017246810440331307,0.051959421041916025,84.59456914777869,-84.59453716988635,40.27689172609163,-40.276882389860575,30.0,1.5
[0.66],0.004208213069015567,-0.0007676206434685101,0.042841973644772886,-0.001044670691254644,-0.03618506770001048,0.011229192158385047,0.06327002316203084,-0.004466427310463043,-0.028786790435003956,-0.00130113151863588,0.025837126820018798,0.055624245538579434,84.59456914777869,-84.59453716988635,41.163245274525366,-41.16323548546109,30.0,1.5
[0.68],0.005584289220799789,-0.0008493620893139165,0.04231082512731678,-0.0011093770911497053,-0.035521300811643966,0.012416444910970681,0.06774779697440672,-0.004829082886455139,-0.029032411737148055,-0.001087747662125811,0.03312635250721691,0.0593584168772936,84.59456914777869,-84.59453716988635,42.03187175199043,-42.031861519149594,30.0,1.5
[0.7],0.007042779064302585,-0.0009359808884177708,0.04178386577409865,-0.0011712176872800697,-0.03473841904367113,0.013679425471004982,0.07188341575403483,-0.0052039604229236576,-0.028924856701579432,-0.0008493658746650934,0.03907405243278821,0.06315257935421614,84.59456914777869,-84.59453716988635,42.883125699906195,-42.883115032164326,30.0,1.5
[0.72],0.008576560190684767,-0.001027479672981316,0.04126635229525138,-0.001229514291914275,-0.03386327883859478,0.01501915567237606,0.07567437551256247,-0.005590132363649121,-0.028527727581584294,-0.0005882927684183223,0.04367857180829067,0.06699729894359224,84.59456914777869,-84.59453716988635,43.71735456886365,-43.71734347491876,30.0,1.5
[0.74],0.010178714508053474,-0.0011238461063656027,0.04076248300421771,-0.00128364475844605,-0.03292207785275328,0.016436474905908202,0.07912746664145039,-0.005986589456958804,-0.027895838239115567,-0.00030722812148419927,0.04697293298342647,0.07088314124794534,84.59456914777869,-84.59453716988635,44.53489886044195,-44.53488734881812,30.0,1.5
[0.76],0.011842682982040336,-0.0012250513197767936,0.040275585733464576,-0.0013330572260814252,-0.03193975680290709,0.017932040547885875,0.08225764515917047,-0.006392254512581745,-0.02707536186075715,-9.211651981997162e-06,0.04902007531810156,0.0748007470162674,84.59456914777869,-84.59453716988635,45.336092266188686,-45.33608034523948,30.0,1.5
[0.78],0.013562394011273784,-0.0013310478929448254,0.03980829074385669,-0.0013772823257879854,-0.030939504665042156,0.019506329568520463,0.08508675822068389,-0.0068059978159765765,-0.026104343153615702,0.0003024379967890491,0.04990768513729036,0.07874090399096058,84.59456914777869,-84.59453716988635,46.12126180382049,-46.12124948173242,30.0,1.5
[0.8],0.015332364613105004,-0.0014417674667939228,0.03936268339517783,-0.0014159430042113442,-0.029942370803947495,0.021159641336989478,0.08764218595738728,-0.007226653772495916,-0.025013483909782783,0.0006241904068415276,0.04974284643920848,0.08269461399396448,89.04086758741843,-85.2992644705941,46.89072795069965,-46.8907152354955,30.0,1.5
[0.82],0.01714777450255913,-0.001557118102701748,0.03894043336669824,-0.001448761724441377,-0.02896698346445193,0.02289210162414693,0.08995545809088462,-0.007653038327665435,-0.023827114181587176,0.000952374860459879,0.048646719853855463,0.08665315434389377,89.04086758741843,-85.2992644705941,47.73373074343402,-47.65888622019747,30.0,1.5
[0.84],0.019004958524158684,-0.0016769924782646661,0.038542929889234,-0.0014756476240564745,-0.028029171863060538,0.024704063195911872,0.09208314268317705,-0.008085024505398898,-0.022563369403313407,0.0012796910693122436,0.046759330940628105,0.09062790966549306,89.04086758741843,-85.2992644705941,48.55987348031371,-48.41169378520541,30.0,1.5
[0.86],0.02090097450631608,-0.0018012513094035226,0.0381713225847199,-0.0014966050798836937,-0.027142115759618956,0.0265956956124355,0.09406051389728674,-0.008521442909909183,-0.021237393020630893,0.00160282460217185,0.04421324261033264,0.0946098161183487,89.04086758741843,-85.2992644705941,49.369493362455806,-49.149445198913185,30.0,1.5
[0.88],0.022833603428289134,-0.0019297207297504278,0.037826577024733424,-0.001511731867523852,-0.02631634737347807,0.028566991077730582,0.09592314137264392,-0.008961162542848854,-0.019861259349242967,0.001918588641430393,0.041140914914779954,0.09859015152463743,89.04086758741843,-85.2992644705941,50.16292084695506,-49.8724415843468,30.0,1.5
[0.9],0.02480133023370261,-0.0020621899684952127,0.03750950973240012,-0.0015212150993889793,-0.02555982654317144,0.030617771565846746,0.09770586927925128,-0.009403105891877176,-0.018444947208701854,0.0022239795341774046,0.037671040514471225,0.10256058543040811,89.04086758741843,-85.2992644705941,50.94047978176433,-50.58097804207175,30.0,1.5
[0.92],0.02680330821504382,-0.0021984094394651424,0.03722080547933113,-0.0015253251426434501,-0.024878077214739013,0.032747697093440706,0.09944194603523494,-0.009846262735894232,-0.016997199720171,0.0025162278132667463,0.03392547621563401,0.10651322218047116,89.04086758741843,-85.2992644705941,51.70248753787742,-51.275343770642195,30.0,1.5
[0.94],0.028839310069449776,-0.002338089334056272,0.03696102012711207,-0.0015244077760463712,-0.02427437288733316,0.03495627498308683,0.10116231454009368,-0.010289702392671723,-0.015526244712551774,0.0027928435139976207,0.03001679347428841,0.11044063681799957,89.04086758741843,-85.2992644705941,52.44925513886824,-51.955822184641235,30.0,1.5
[0.96],0.030909668773434037,-0.0024808987863501664,0.0367305724406578,-0.0015188748878934494,-0.023749958689894195,0.03724286994308974,0.10289506547362821,-0.010732584183922563,-0.014040360944889214,0.003051654797064715,0.026046445662280773,0.11433590376459268,89.04086758741843,-85.2992644705941,53.18108738783924,-52.62269103036029,30.0,1.5
[0.98],0.03301521135456266,-0.002626465651988243,0.03652972829098951,-0.001509194045406845,-0.023304298237660784,0.039606714778621405,0.10466504990403333,-0.011174165945987052,-0.0125482850793001,0.0032908390993895134,0.02210352837692449,0.11819261836899042,89.04086758741843,-85.2992644705941,53.898282991830825,-53.27622249916497,30.0,1.5
[1.],0.03515718846716835,-0.00277437691480557,0.03635858050127899,-0.001495877279212308,-0.022935334244272593,0.04204692154577121,0.10649364223119835,-0.011613810469788745,-0.011059462780778753,0.0035089462625150585,0.01826409145306603,0.12200491153111198,94.72138481874735,-86.24290536910163,54.60113468374258,-53.91668333859356,30.0,1.5
[1.02],0.03733720242556099,-0.0029241797084199285,0.03621702730535854,-0.001479469425897994,-0.022639752964323075,0.04456249296404512,0.10839864038862139,-0.012050989810029507,-0.009584154323080567,0.0037049133243468287,0.014590947709888792,0.12576745771156492,94.72138481874735,-86.24290536910163,55.40353968644268,-54.56320777920372,30.0,3.0
[1.04],0.03955779340324165,-0.0030753850519722086,0.036104793487790776,-0.0014606556323595546,-0.02241295034467195,0.04715292177633739,0.11042715691668017,-0.012486860371982721,-0.008132082946751856,0.003872772603745166,0.011148544737145633,0.12950488403740057,94.72138481874735,-86.24290536910163,56.18989658908877,-55.19680173100168,30.0,3.0
[1.06],0.041821693381935,-0.0032274617852297758,0.036021361385507426,-0.0014401137899829174,-0.02224962666562769,0.04981756823042964,0.11258897466399659,-0.012921087202538555,-0.006715407259278307,0.004012971549314364,0.007971617644800836,0.1332106460075888,94.72138481874735,-86.24290536910163,56.96052635368194,-55.81772380376368,30.0,3.0
[1.08],0.044131761442018885,-0.0033798392895762752,0.035965958212847496,-0.0014185029310901636,-0.02214401658676079,0.05255567132367131,0.11489061908349671,-0.013353455709884504,-0.00534677577549868,0.004126380205086185,0.005083388334000712,0.1368787314865729,94.72138481874735,-86.24290536910163,57.71574352298325,-56.42622743507044,30.0,3.0
[1.1],0.04649092517111075,-0.003531910532713427,0.03593755038924845,-0.0013964527044495112,-0.022090095242162877,0.055366360170400565,0.117335659103964,-0.013783866402706315,-0.004039003573235337,0.004214254028546659,0.0024967649399332483,0.14050367071202838,94.72138481874735,-86.24290536910163,58.455856348898536,-57.022560993751064,30.0,3.0
[1.12],0.04890212894578816,-0.0036830353384415854,0.03593484550055538,-0.0013745540940393005,-0.022081757794744812,0.058248665350726314,0.11992504943057325,-0.014212327946040819,-0.002804713764038573,0.004278191412762545,0.00021567098687509797,0.14408053997685646,94.72138481874735,-86.24290536910163,59.18116691829551,-57.60696788125807,30.0,3.0
[1.14],0.05136828949079278,-0.0038325437822097357,0.035956302068838236,-0.0013533514998194751,-0.02211297115795462,0.061201530115721124,0.12265749644464129,-0.014638948776422264,-0.0016559669981380237,0.0043200869949319804,-0.0017635607637780742,0.14760495932696882,94.72138481874735,-86.24290536910163,59.891971276304545,-58.179686631014945,30.0,3.0
[1.16],0.053892258808448036,-0.003979739616625015,0.036000146895232635,-0.0013333362545450028,-0.022177897743180252,0.06422382134068524,0.1255298316702985,-0.01506392754070626,-0.0006039000038404127,0.0043420818742607266,-0.0034507873448111964,0.15107308471356407,94.72138481874735,-86.24290536910163,60.5885595471534,-58.74095100577668,30.0,3.0
[1.18],0.05647679430486399,-0.004123903638291842,0.03606439938597721,-0.0013149416082399678,-0.022270992071767744,0.06731434013432164,0.1285373789078136,-0.01548754263549554,0.0003416086695526311,0.0043465118725841394,-0.004860696600411969,0.1544815951173846,94.72138481874735,-86.24290536910163,61.27121605258528,-59.29099009304318,30.0,3.0
[1.2],0.059124535722338674,-0.004264296917498575,0.036146901980717634,-0.0012985391731745828,-0.02238707189089609,0.07047183202701496,0.13167430347802506,-0.01591014112319192,0.0011722307825139658,0.004335854949654883,-0.006011530270873474,0.15782767522198515,91.86109155921102,-63.21790444598999,61.940219427908524,-59.830028398564345,30.0,3.0
