simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.02948867258303,-39.744660674696945,0.0,0.0,20.0,10.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,116.02948867258303,-39.744660674696945,2.3205897734516605,-0.7948932134939389,20.0,10.0
[0.04],5.708962678649597e-05,-1.313874405688977e-08,0.00211959225715127,-4.423265329584763e-08,0.00024823881714270465,2.4564309443879496e-07,0.0016879578715603876,-6.569372028444885e-07,0.06919093626560074,-2.2128657783918173e-06,0.007392000832667995,1.2282154660038184e-05,116.02948867258303,-39.744660674696945,4.594767751434288,-1.573888562717999,20.0,10.0
[0.06],8.852466013234249e-05,-7.786058820771283e-08,0.004056352134904863,-2.5759294313760717e-07,0.0003847910147671285,1.4488834554773158e-06,0.0015477126692594535,-3.2407617160200615e-06,0.09683838107360683,-1.068294904013272e-05,0.006827609878560058,6.0162318201559426e-05,116.02948867258303,-39.744660674696945,6.8234621698572635,-2.337304004957578,20.0,10.0
[0.08],0.0001048203319490022,-2.5662150353384525e-07,0.0064470929128730104,-8.320806001214698e-07,0.0004503054277974622,4.749340822063714e-06,0.0007687867401969385,-8.970018268906599e-06,0.11953734356791929,-2.8787882164590353e-05,0.0032757206090078526,0.00016502369991485484,116.02948867258303,-39.744660674696945,9.00758269991178,-3.085451138352365,20.0,10.0
[0.1],9.481408895499309e-05,-6.348853475253164e-07,0.009192180311108787,-2.0137851555342014e-06,0.0003881344591255497,1.1677718982908078e-05,-0.000562118574466009,-1.9025022545881525e-05,0.13725413068682085,-5.92412220799477e-05,-0.003108548721842973,0.0003464162863567094,116.02948867258303,-39.74185331027435,11.148020819365204,-3.8186353290792567,20.0,10.0
[0.12],4.969027522261059e-05,-1.3204735065305591e-06,0.01219414973870383,-4.090974369689036e-06,0.00014813342701281608,2.412112877872797e-05,-0.002314449304366638,-3.455532507432783e-05,0.15009758429894032,-0.00010410094650821738,-0.012000052858529953,0.0006221462773994631,116.02948867258303,-39.74185331027435,13.24565017642956,-4.537099688703159,20.0,10.0
[0.14],-3.6392457004420946e-05,-2.443250676199081e-06,0.015360139694503519,-7.3836512828113375e-06,-0.0003107139198255353,4.429009877481028e-05,-0.0043275873640244026,-5.6682634405887493e-05,0.15829885823589374,-0.00016478323058781067,-0.02294237146726251,0.0010083546320944503,116.02948867258303,-39.74185331027435,15.30132694635263,-5.241194761134583,20.0,10.0
[0.16],-0.00016588691538455263,-4.1550491755197125e-06,0.018603892194368307,-1.2234725635502357e-05,-0.0010184577804349115,7.468707545668983e-05,-0.006424332438999165,-8.650071042408888e-05,0.16218962831759973,-0.000242081479453366,-0.035387204251537435,0.001519587473993847,116.02948867258303,-39.74185331027435,17.315890180877236,-5.9312079321173785,20.0,10.0
[0.18],-0.0003376532051061711,-6.6296615412269264e-06,0.021847313074098713,-1.9002706226560077e-05,-0.0019931107143146783,0.00011807613951111409,-0.008423154916103246,-0.00012507340605494283,0.16217970520554678,-0.00033618953344125404,-0.048732673232991935,0.0021688558468577136,116.02948867258303,-39.74185331027435,19.290162150711353,-6.607420839680518,20.0,10.0
[0.2],-0.0005469521243502967,-1.0062689190186094e-05,0.02502160056157178,-2.8055631587535616e-05,-0.0032402910729560043,0.0001774537125127241,-0.010148610260566225,-0.000173432113798597,0.1587349136834433,-0.00044672896811953926,-0.06235907433742402,0.0029676877625273023,116.02948867258303,-39.690530335087445,21.22494868114879,-7.270109489092395,20.0,10.0
