simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794347420669118,-12.273331598244383,0.0,0.0,30.0,0.0
[0.02],1.8662153964567964e-05,2.062554165487218e-06,0.0007355939840689701,2.480281911720796e-05,9.838268157640478e-05,-0.00011877010985736846,0.0009331076982283981,0.0001031277082743609,0.0367796992034485,0.001240140955860398,0.004919134078820239,-0.0059385054928684225,4.794347420669118,-12.273331598244383,0.09588694841338237,-0.24546663196488766,30.0,1.5
[0.04],4.1816590148236114e-05,8.899294583730757e-06,0.0021190328486871287,7.690937455870682e-05,0.00024174234322854056,-0.0003845246577986437,0.0011508758741407522,0.00034369018315449175,0.06917204828871701,0.002606635054326213,0.007167653507304511,-0.013287905114857439,4.794347420669118,-12.273331598244383,0.18985615785849708,-0.48602393129047755,30.0,1.5
[0.06],5.382068592264691e-05,2.281134199755706e-05,0.004055208049626631,0.00015607690518265144,0.0003706677363476662,-0.0008141067311493171,0.0005765344742898344,0.0007032786228593729,0.09680884844608939,0.003963568939997696,0.006444617692512017,-0.021479598754963115,4.794347420669118,-12.273331598244383,0.28194598311470953,-0.7217700846295556,30.0,1.5
[0.08],3.885590891154796e-05,4.56081591177539e-05,0.006445149184790123,0.00025938105262988134,0.00042458722276625215,-0.0014121070636567384,-0.0007934602056594967,0.0011578820042895254,0.11949659159401613,0.005176290343586988,0.0026913075863720694,-0.029900434986465677,4.794347420669118,-12.273331598244383,0.3721940118657977,-0.9528013149018522,30.0,1.5
[0.1],-1.789882039144881e-05,7.860376546616245e-05,0.009189233875401274,0.00038142608371181263,0.0003459908238948872,-0.00217072655302161,-0.0028983182086723016,0.0016813592932085814,0.13720258481146066,0.006118356560718967,-0.003939658386459699,-0.03792995045246135,5.2393168318174075,-12.397771388920843,0.4606370800418641,-1.1792119205687028,30.0,1.5
[0.12],-0.00012930820064425906,0.00012258759977944877,0.012190033746623016,0.0005147766028412587,8.390478238615569e-05,-0.00307049295597692,-0.005627141854823443,0.00224432284628211,0.15003721047307386,0.0066830915021153185,-0.013121460839514838,-0.044983315859916356,5.2393168318174075,-12.397771388920843,0.556210675077375,-1.4035831099357456,30.0,1.5
[0.14],-0.0003055150227757599,0.00017783982559540595,0.015354750051835191,0.0006505032287051845,-0.0004034130822864549,-0.00408176339212254,-0.008832058850748344,0.00281700156834698,0.15823364560474673,0.006790573814485234,-0.024391918921953692,-0.05055097193856823,5.2393168318174075,-12.397771388920843,0.6498727982121757,-1.6234668755154475,30.0,1.5
[0.16],-0.0005533779712232113,0.00024418917920357674,0.01859721295949745,0.0007787967880676463,-0.001146570385406575,-0.005166911911911168,-0.012341181657667323,0.0033723184676945667,0.1621259777679137,0.00639278981326145,-0.03719315191967448,-0.05423323878526194,5.2393168318174075,-12.397771388920843,0.7416616788842804,-1.8389529657835555,30.0,1.5
[0.18],-0.0008761420512567938,0.00032105500259639694,0.02183943664850499,0.0008896558615256789,-0.002163921319455709,-0.006283066976012625,-0.015971963976830626,0.0038861204220076153,0.16212662666603256,0.005478966169820527,-0.05091099414223558,-0.055768084119625604,5.2393168318174075,-12.397771388920843,0.8316147819429429,-2.0501293342463014,30.0,1.5
