simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794347420669118,-12.273331598244383,0.0,0.0,30.0,0.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,4.794347420669118,-12.273331598244383,0.09588694841338237,-0.24546663196488766,30.0,1.5
[0.04],5.679823053087127e-05,-1.0104753474606288e-10,0.0021195805168060713,-3.401847658702905e-10,0.0002481091113360514,1.889193442916519e-09,0.0016733881177884123,-5.052376737303144e-09,0.06919034778555203,-1.701872193127665e-08,0.007385515542335332,9.445967166975304e-08,4.794347420669118,-12.273331598244383,0.18985615785849708,-0.48602393129047755,30.0,1.5
[0.06],8.681044710585594e-05,-5.988135222804541e-10,0.00405628688036471,-1.9810993390394213e-09,0.000384046967918885,1.1143087623987502e-08,0.0014765850580692134,-2.4924076346541984e-08,0.09683568751264669,-8.21605274303619e-08,0.006796892829141523,4.626970070116341e-07,4.794347420669118,-12.273331598244383,0.28194598311470953,-0.7217700846295556,30.0,1.5
[0.08],9.921774772762459e-05,-1.9736756522559143e-09,0.006446893600917124,-6.399409500935268e-09,0.0004479419443678929,3.6526406272239145e-08,0.0005744597233409152,-6.898682120490511e-08,0.11953056546203546,-2.2140292741093956e-07,0.0031947488224478805,1.2691721679314063e-06,4.794347420669118,-12.273331598244383,0.3721940118657977,-0.9528013149018522,30.0,1.5
[0.1],8.108064132866439e-05,-4.883152722792796e-09,0.00919172758772412,-1.5487942933422024e-08,0.0003825148046483453,8.981236861858082e-08,-0.0009683315405671442,-1.4631899250800901e-07,0.1372412793529177,-4.5562012246347305e-07,-0.003271356985994428,2.6642769152657577e-06,4.861260350365304,-12.246989034802436,0.4606370800418641,-1.1792119205687028,30.0,1.5
[0.12],2.1411728197964773e-05,-1.0157310944356999e-08,0.012193292419799877,-3.1464447287784145e-08,0.000136926763420634,1.8551778996088062e-07,-0.0030408525861624815,-2.657643461535801e-07,0.15007708941213696,-8.006556547008953e-07,-0.01227940206145968,4.785080534351979e-06,4.861260350365304,-12.246989034802436,0.5486495454483329,-1.4005674628533775,30.0,1.5
[0.14],-8.815215157100033e-05,-1.879857038608422e-08,0.015358706585607501,-5.6796708398657805e-08,-0.00033055202880773014,3.406792535200453e-07,-0.005499865432935928,-4.360265463543189e-07,0.15826995669529378,-1.2676753433910018e-06,-0.023373939611662297,7.757337657139601e-06,4.861260350365304,-12.246989034802436,0.6349017615466723,-1.6174958942923587,30.0,1.5
[0.16],-0.0002528945781167638,-3.198158283045767e-08,0.018601706344554634,-9.41321962148742e-08,-0.0010506678457163174,5.745986422747723e-07,-0.008183521870988126,-6.655541455987636e-07,0.16215270188580555,-1.8629082644547081e-06,-0.0360057908460936,1.1693923788355061e-05,4.861260350365304,-12.246989034802436,0.7194289333230449,-1.8300857571025602,30.0,1.5
[0.18],-0.0004747776402988848,-5.10553934597772e-08,0.02184420614988661,-1.4624357336727892e-07,-0.002042080569923899,9.08620362174938e-07,-0.010923807503298279,-9.62578116353902e-07,0.16213655704919522,-2.5880215668051553e-06,-0.04957063621195096,1.6696410583965987e-05,4.861260350365304,-12.246989034802436,0.8022655616638901,-2.038423822656558,30.0,1.5
[0.2],-0.0007524010070299328,-7.754547563335536e-08,0.025017425331572467,-2.1598452873157928e-07,-0.00331098164374129,1.3659211240213932e-06,-0.013557141158310752,-1.335098639193053e-06,0.15868897471318152,-3.4403555506479468e-06,-0.06344505369421274,2.285571198630659e-05,5.300081516919295,-12.06318724644496,0.8834454574379184,-2.2425951268994755,30.0,1.5
[0.22],-0.001081141352857119,-1.1315406905046497e-07,0.02806260225393753,-3.0625273429063246e-07,-0.004851358377598869,1.971311507442012e-06,-0.01593280187413362,-1.790875131019902e-06,0.15231243410536327,-4.4131886387276835e-06,-0.07701883669941487,3.0252718377728195e-05,5.300081516919295,-12.06318724644496,0.9717781786275459,-2.4390069692903853,30.0,1.5
[0.24],-0.0014534435914679326,-1.597723064959332e-07,0.03093132684227443,-4.200077610996496e-07,-0.0066458123121585725,2.751327991772825e-06,-0.017919035052243727,-2.3381705655703502e-06,0.14352484970997495,-5.498545107339552e-06,-0.08972269673992493,3.897288744081574e-05,5.300081516919295,-12.06318724644496,1.058344245393381,-2.6314905748334767,30.0,1.5
[0.26],-0.0018592371837423444,-2.1946089065951969e-07,0.033585529236542545,-5.601903343858876e-07,-0.008666830985394867,3.733816941086895e-06,-0.019407271502899892,-2.9844003280684505e-06,0.1328420294409371,-6.682659209715067e-06,-0.10105093368243802,4.908092045794159e-05,5.300081516919295,-12.06318724644496,1.1431789908238992,-2.8201245082657063,30.0,1.5
