;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_14:06:33:509753;1742907993.5097537;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1742907966.2024176;27.30733609199524;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-03-25_14:06:36:630264;1742907996.6290753;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1742907993.5097537;3.119321584701538;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-03-25_14:06:36:739090;1742907996.7380986;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907996.6290753;0.1090233325958252;0.0;0.0;0.0;-0.0;0.954929658551372;1112.066769448913;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-79.60215431767203;-20.0;-20.299999999999997
2025-03-25_14:06:36:848972;1742907996.8479726;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907996.7380986;0.10987401008605957;0.0;0.0;0.0;-0.0;198.50708572596827;884.5554112570447;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66172268476387;-20.0;-20.449999999999996
2025-03-25_14:06:36:957422;1742907996.957422;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907996.8479726;0.10944938659667969;0.0;0.0;0.0;-0.0;208.5677221808222;886.2122224147979;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.60597174141609;-20.0;-20.599999999999994
2025-03-25_14:06:37:066807;1742907997.0658076;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907996.957422;0.10838556289672852;0.0;0.0;0.0;-0.0;218.17815998702446;887.8697713406689;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.55026960985176;-20.0;-20.749999999999993
2025-03-25_14:06:37:177240;1742907997.176237;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.0658076;0.11042952537536621;0.0;0.0;0.0;-0.0;227.3466418927077;889.540491362536;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.49674432443815;-20.0;-20.89999999999999
2025-03-25_14:06:37:285295;1742907997.2842867;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.176237;0.10804963111877441;0.0;0.0;0.0;-0.0;236.21860894960375;891.1993631577485;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.44113196912191;-20.0;-21.04999999999999
2025-03-25_14:06:37:392608;1742907997.391121;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.2842867;0.10683417320251465;0.0;0.0;0.0;-0.0;244.747628679399;892.8679734677986;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.38712547802318;-20.0;-21.19999999999999
2025-03-25_14:06:37:501734;1742907997.5007358;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.391121;0.10961484909057617;0.0;0.0;0.0;-0.0;252.9801971306489;894.5428818166743;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.33414743591535;-20.0;-21.349999999999987
