simTime,simData_0,simData_1,simData_2,simData_3,simData_4,simData_5,simData_6,simData_7,simData_8,simData_9,simData_10,simData_11,simData_12,simData_13,simData_14,simData_15,targetData_0,targetData_1
[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.019948772196937,77.09648074610439,0.0,0.0,0.0,-10.0
[0.02],2.3191535785550396e-05,0.0,0.0007357769281925515,0.0,0.00010039880048934474,0.0,0.0011595767892775197,0.0,0.036788846409627575,0.0,0.005019940024467237,0.0,22.019948772196937,77.09648074610439,0.44039897544393874,1.5419296149220878,39.999992800000214,-19.97600000144
[0.04],5.694829806199561e-05,4.98719493823463e-09,0.002119586563021781,1.678979845155449e-08,0.0002481759091407631,-9.324102759692925e-08,0.0016808914639551726,2.493597469117315e-07,0.069190650849666,8.399579869432944e-07,0.007388855432570918,-4.662051356349913e-06,22.019948772196937,77.09648074610439,0.8719899713789987,3.053020637545734,39.99997120000346,-19.95200001152
[0.06],8.769325774401828e-05,2.9554335497549918e-08,0.004056320486147899,9.777699520607414e-08,0.0003844301480960214,-5.499663055693422e-07,0.0015132154017859767,1.2301262375140178e-06,0.09683707468204926,4.055027248222223e-06,0.006812711947379497,-2.2836377579423774e-05,22.019948772196937,77.09648074610439,1.2949491473953576,4.533889839716908,39.9999352000175,-19.928000038879993
[0.08],0.00010210304884450641,9.740944597393849e-08,0.006446996246143985,3.158416515255463e-07,0.00044915912559635284,-1.8027558306067735e-06,0.0006745371092276822,3.4048394496323256e-06,0.11953405614462846,1.0927313318512644e-05,0.0032364488688918576,-6.263978807348177e-05,22.019948772196937,77.09648074610439,1.7094491398913891,5.9851416578446575,39.9998848000553,-19.904000092159972
[0.1],8.815329321588276e-05,2.409987676799782e-07,0.009191960742212377,7.644000795102346e-07,0.0003854088953340817,-4.432659853846052e-06,-0.0007591340145854753,7.221557287795585e-06,0.137247897673651,2.2486983666822527e-05,-0.0031875115546450574,-0.00013149418114887835,88.92248084384829,97.52007758939708,2.1156591325375,7.4073684396098525,39.999820000135,-19.880000179999918
[0.12],3.597502540589194e-05,5.012704133052126e-07,0.0121937339542189,1.5528943234103428e-06,0.00014269812842534392,-9.15609138854598e-06,-0.002666758757846754,1.3116744862454432e-05,0.15008764394483243,3.951573481925074e-05,-0.0121355385259629,-0.00023616228278798652,88.92248084384829,97.52007758939708,3.851795566763716,9.209622622605597,39.99974080027994,-19.8560003110398
[0.14],-6.057910134840302e-05,9.249178010390903e-07,0.015359481608433992,2.793929956813743e-06,-0.000319927316536077,-1.6762870893469492e-05,-0.004850293795496905,2.1383968971136054e-05,0.1582866921614704,6.210605532992066e-05,-0.023131272838669385,-0.00038030305095197487,88.92248084384829,97.52007758939708,5.553209272305407,10.975831721941427,39.999647200518616,-19.832000493919566
[0.16],-0.00020400441886483283,1.5601799480370213e-06,0.018602986592033674,4.586632685209067e-06,-0.0010323207840011424,-2.8027675259266432e-05,-0.007119381748859123,3.2096009015114256e-05,0.16217753507532068,8.945494049123748e-05,-0.03561967494676788,-0.0005631406705903591,88.92248084384829,97.52007758939708,7.220594703736265,12.70671663929054,39.99953920088473,-19.80800073727915
[0.18],-0.00039296594786900367,2.457173421890477e-06,0.021846203247264544,7.017090714988901e-06,-0.002012195488502137,-4.370933989869525e-05,-0.009280670700909415,4.532868257101061e-05,0.1621704995943199,0.00012071347621600635,-0.04899373882083423,-0.0007838580979025373,88.92248084384829,97.52007758939708,8.854632426538505,14.402983858292671,39.999416801417176,-19.78400104975847
[0.2],-0.0006223163229095015,3.668083349268764e-06,0.025020380583398477,1.01590238427109e-05,-0.003264798267077393,-6.455017322504413e-05,-0.011148145121615187,6.115809281440511e-05,0.15873161996018958,0.00015499986626126507,-0.06263014623930696,-0.0010416000753489109,92.97639730347007,95.86636528676884,10.4559893948847,16.065325732914758,39.99928000216,-19.760001439997406
[0.22],-0.0008832892332917574,5.247151661424475e-06,0.028066775401813758,1.4074517035971994e-05,-0.004783221689247306,-9.127527567473378e-05,-0.012551288703498396,7.965896753000548e-05,0.1523615294752068,0.00019141206400488778,-0.07592118467955322,-0.0013354767159243857,92.97639730347007,95.86636528676884,12.106397553056407,17.66134652399184,39.99912880316245,-19.736001916635825
[0.24],-0.00116379594140594,7.2432792505246485e-06,0.030936987752414456,1.8789987375476762e-05,-0.006549242509245873,-0.0001244583815994759,-0.013338743532183379,0.00010054697640485318,0.14357606050347035,0.00022783743963839133,-0.08830106434272483,-0.001657893521522159,92.97639730347007,95.86636528676884,13.723797548064681,19.225446899247377,39.99896320447897,-19.71200248831355
[0.26],-0.0014489153987478987,9.705066306801774e-06,0.03359295026284935,2.431770821912349e-05,-0.008534640724821943,-0.00016462991015455216,-0.013385961427888862,0.0001238120524522056,0.1328886404576855,0.0002632314820979238,-0.09926994850159553,-0.002006668070673035,92.97639730347007,95.86636528676884,15.308849543172789,20.758265266997807,39.998783206169165,-19.688003163670377
[0.28],-0.0017214390203478369,1.2680067983282499e-05,0.03600661910930557,3.065670089717239e-05,-0.010702839407037496,-0.00021227873099042026,-0.012595731802424659,0.00014944427065010897,0.1207953368101059,0.00029661660240808076,-0.10840999201211962,-0.002379717991857492,92.97639730347007,95.86636528676884,16.862200498378733,22.260427267393226,39.99858880829783,-19.66400395134606
[0.3],-0.001962465508349681,1.62138500485601e-05,0.03815941104671452,3.779332196876213e-05,-0.013010771405018138,-0.0002678538526652383,-0.01089864407152491,0.00017743449943740652,0.10776240776666306,0.0003270910412616933,-0.11539668502742027,-0.002775059250580931,93.2648305750547,95.74477984335898,18.38448443448056,23.73254602778074,39.998380010934966,-19.640004859980316
[0.32],-0.0021520136130200504,2.034890793950742e-05,0.040041434482425975,4.570158112600955e-05,-0.015410868521977506,-0.00033176605237765294,-0.008252363818450383,0.00020777508251054044,0.09421650497158447,0.00035383677986679707,-0.12000497652475979,-0.0031908041282955424,93.2648305750547,95.74477984335898,19.88209135729204,25.172790704092304,39.998156814155735,-19.616005898212823
[0.34],-0.002269617609090222,2.5122715218093823e-05,0.04165056368901657,5.434031992032387e-05,-0.017853073764526543,-0.0004043744411026341,-0.004639725561073792,0.0002404201920516603,0.0805375122314152,0.00037599123763493706,-0.12211042789613671,-0.0036244077059477122,93.2648305750547,95.74477984335898,21.349746141647294,26.584230486877637,39.99791921804047,-19.5920070746832
[0.36],-0.0022948983552941817,3.056728757445829e-05,0.04299140338373197,6.36559735524435e-05,-0.020286798899430778,-0.0004860016958411545,-6.710391448503782e-05,0.00027536117945807715,0.06705385365017166,0.00039292168227273875,-0.12168647831276287,-0.004074099847109356,93.2648305750547,95.74477984335898,22.788047830315442,27.967441474007263,39.99766722267473,-19.568008398031022
[0.38],-0.002208073137467262,3.670812208987334e-05,0.04407419118841155,7.358264481792516e-05,-0.022662745654040254,-0.0005769357711864016,0.005438457472948978,0.00031259152977955354,0.054040168971845506,0.0004041018249894784,-0.11879762685508502,-0.004538206022418625,93.2648305750547,95.74477984335898,24.197583485210227,29.3229882413943,39.99740082814921,-19.54400987689582
